"year","loans","county_name","state_name"
"2008","19419","",""
"2008","11","","Alabama"
"2008","38","","Alaska"
"2008","33","","Arizona"
"2008","3","","Arkansas"
"2008","224","","California"
"2008","20","","Colorado"
"2008","10","","Connecticut"
"2008","5","","Delaware"
"2008","1","","District of Columbia"
"2008","155","","Florida"
"2008","78","","Georgia"
"2008","2","","Hawaii"
"2008","32","","Idaho"
"2008","34","","Illinois"
"2008","63","","Indiana"
"2008","51","","Iowa"
"2008","4","","Kansas"
"2008","50","","Kentucky"
"2008","184","","Louisiana"
"2008","3","","Maine"
"2008","30","","Maryland"
"2008","8","","Massachusetts"
"2008","18","","Michigan"
"2008","17","","Minnesota"
"2008","47","","Missouri"
"2008","4","","Montana"
"2008","15","","Nebraska"
"2008","6","","Nevada"
"2008","2","","New Hampshire"
"2008","24","","New Jersey"
"2008","26","","New Mexico"
"2008","16","","New York"
"2008","72","","North Carolina"
"2008","73","","Ohio"
"2008","93","","Oklahoma"
"2008","13","","Oregon"
"2008","133","","Pennsylvania"
"2008","2","","Rhode Island"
"2008","45","","South Carolina"
"2008","4","","South Dakota"
"2008","117","","Tennessee"
"2008","319","","Texas"
"2008","7","","Utah"
"2008","11","","Vermont"
"2008","44","","Virginia"
"2008","20","","Washington"
"2008","18","","West Virginia"
"2008","88","","Wisconsin"
"2008","13","","Wyoming"
"2008","62","Abbeville County","South Carolina"
"2008","239","Acadia Parish","Louisiana"
"2008","128","Accomack County","Virginia"
"2008","4456","Ada County","Idaho"
"2008","50","Adair County","Iowa"
"2008","28","Adair County","Kentucky"
"2008","110","Adair County","Missouri"
"2008","48","Adair County","Oklahoma"
"2008","6018","Adams County","Colorado"
"2008","9","Adams County","Idaho"
"2008","238","Adams County","Illinois"
"2008","220","Adams County","Indiana"
"2008","15","Adams County","Iowa"
"2008","145","Adams County","Mississippi"
"2008","130","Adams County","Nebraska"
"2008","11","Adams County","North Dakota"
"2008","79","Adams County","Ohio"
"2008","777","Adams County","Pennsylvania"
"2008","104","Adams County","Washington"
"2008","62","Adams County","Wisconsin"
"2008","151","Addison County","Vermont"
"2008","20","Adjuntas Municipio","Puerto Rico"
"2008","88","Aguada Municipio","Puerto Rico"
"2008","320","Aguadilla Municipio","Puerto Rico"
"2008","57","Aguas Buenas Municipio","Puerto Rico"
"2008","80","Aibonito Municipio","Puerto Rico"
"2008","1289","Aiken County","South Carolina"
"2008","32","Aitkin County","Minnesota"
"2008","1648","Alachua County","Florida"
"2008","1321","Alamance County","North Carolina"
"2008","10598","Alameda County","California"
"2008","59","Alamosa County","Colorado"
"2008","2375","Albany County","New York"
"2008","382","Albany County","Wyoming"
"2008","842","Albemarle County","Virginia"
"2008","20","Alcona County","Michigan"
"2008","175","Alcorn County","Mississippi"
"2008","5","Aleutians East Borough","Alaska"
"2008","5","Aleutians West Census Area","Alaska"
"2008","7","Alexander County","Illinois"
"2008","175","Alexander County","North Carolina"
"2008","1754","Alexandria city","Virginia"
"2008","11","Alfalfa County","Oklahoma"
"2008","23","Alger County","Michigan"
"2008","21","Allamakee County","Iowa"
"2008","716","Allegan County","Michigan"
"2008","482","Allegany County","Maryland"
"2008","176","Allegany County","New York"
"2008","46","Alleghany County","North Carolina"
"2008","75","Alleghany County","Virginia"
"2008","10426","Allegheny County","Pennsylvania"
"2008","3532","Allen County","Indiana"
"2008","76","Allen County","Kansas"
"2008","116","Allen County","Kentucky"
"2008","705","Allen County","Ohio"
"2008","74","Allen Parish","Louisiana"
"2008","10","Allendale County","South Carolina"
"2008","87","Alpena County","Michigan"
"2008","2","Alpine County","California"
"2008","169","Amador County","California"
"2008","78","Amelia County","Virginia"
"2008","200","Amherst County","Virginia"
"2008","34","Amite County","Mississippi"
"2008","4045","Anchorage Municipality","Alaska"
"2008","42","Anderson County","Kansas"
"2008","143","Anderson County","Kentucky"
"2008","1424","Anderson County","South Carolina"
