Technology shop:,,
Vendor name,Total count in group,Percentage in group
Cart Functionality,413,17.5%
Magento,158,6.69%
Magento Enterprise,96,4.06%
Shopify,78,3.3%
Oracle Commerce,56,2.37%
WooCommerce,50,2.11%
Demandware,36,1.52%
AbleCommerce,33,1.39%
Squarespace Commerce,27,1.14%
Drupal Commerce,23,0.97%
IBM Websphere Commerce,23,0.97%
Hybris,20,0.84%
Ascentium Commerce Server,19,0.8%
Miva Merchant,19,0.8%
Ubercart,18,0.76%
Yahoo Store,17,0.72%
Magento 1.7,17,0.72%
osCommerce,16,0.67%
BigCommerce,15,0.63%
NetSuite eCommerce,14,0.59%
WebCollage,13,0.55%
Spree,10,0.42%
WooCommerce 2.3,9,0.38%
VirtueMart,9,0.38%
Volusion,9,0.38%
Magento 1.6,9,0.38%
WooCommerce 2.2,8,0.33%
X-Cart,8,0.33%
AspDotNetStorefront,8,0.33%
GSI Commerce,7,0.29%
Digital River,7,0.29%
WooCommerce 2.1,6,0.25%
Amplience,6,0.25%
Venda,6,0.25%
Znode,6,0.25%
ProductCart,5,0.21%
Intershop,5,0.21%
Elastic Path,5,0.21%
WebLinc,4,0.16%
Shappify,4,0.16%
Unbound Commerce,4,0.16%
Beetailer,4,0.16%
3D Cart,4,0.16%
Amazon Webstore,4,0.16%
MadMobile,4,0.16%
Magento 1.9,4,0.16%
Magento 1.8,4,0.16%
Zen Cart,4,0.16%
ViArt,4,0.16%
Kiosked,4,0.16%
OpenCart,4,0.16%
E-junkie,3,0.12%
Tjoos,3,0.12%
AdVantShop,3,0.12%
CS Cart,3,0.12%
Loaded Commerce,3,0.12%
FastSpring,3,0.12%
OXID EShop,3,0.12%
WooCommerce 2.0,2,0.08%
ePages,2,0.08%
Shopp,2,0.08%
Zoovy,2,0.08%
ShopGate,2,0.08%
Goodsie,2,0.08%
Lengow,2,0.08%
PrestaShop,2,0.08%
Nexternal,2,0.08%
Open Canvas,2,0.08%
Magento 1.5,2,0.08%
Magento 1.4,2,0.08%
Shopify Buy Button,2,0.08%
Ecwid,2,0.08%
StackCommerce,2,0.08%
BV Commerce,2,0.08%
Pinnacle Cart,2,0.08%
ShopSite,2,0.08%
Symphony Commerce,2,0.08%
nopCommerce,2,0.08%
Upshot Commerce,1,0.04%
UltraCart,1,0.04%
Dynamic Converter,1,0.04%
UniteU,1,0.04%
PDG Software,1,0.04%
ProStores,1,0.04%
Mozu,1,0.04%
Interspire,1,0.04%
Kalio,1,0.04%
WebAssist eCart,1,0.04%
Simple Cart (js),1,0.04%
Interchange,1,0.04%
Sana Commerce,1,0.04%
Avail,1,0.04%
K-eCommerce,1,0.04%
OXID EShop Community,1,0.04%
OneStop Internet,1,0.04%
Viskan,1,0.04%
eShop,1,0.04%
Snow Valley CMS,1,0.04%
Magento Go,1,0.04%
Litium,1,0.04%
Avactis,1,0.04%
KonaKart,1,0.04%
Highwire Commerce,1,0.04%
WP eCommerce,1,0.04%
nsCommerceSpace,1,0.04%
Celerant,1,0.04%
Order Dynamics,1,0.04%
Etsy,1,0.04%
VP-ASP,1,0.04%
BT Fresca,1,0.04%
GetShopped,1,0.04%

Technology analytics:,,
Vendor name,Total count in group,Percentage in group
Google Analytics,2314,98.09%
Google Universal Analytics,1870,79.27%
Google Analytics Classic,1634,69.26%
Google Conversion Tracking,1464,62.06%
New Relic,1232,52.22%
Rapleaf,1180,50.02%
Optimizely,1149,48.7%
comScore,1133,48.02%
Twitter Analytics,1110,47.05%
Facebook Domain Insights,1045,44.29%
MediaMath,1037,43.95%
Datalogix,1005,42.6%
Quantcast Measurement,973,41.24%
DoubleClick Floodlight,928,39.33%
CrazyEgg,883,37.43%
Google Analytics with Ad Tracking,840,35.6%
Lotame Crowd Control,698,29.58%
Facebook Tag API,647,27.42%
Omniture SiteCatalyst,641,27.17%
Acxiom,612,25.94%
Yahoo Web Analytics,497,21.06%
Invite Media,426,18.05%
MediaMind,424,17.97%
Atlas Action Tags,380,16.1%
Google Analytics Enhanced Link Attribution,371,15.72%
Google Analytics Event Tracking,364,15.43%
Mixpanel,356,15.09%
Chartbeat,330,13.98%
Adometry,310,13.14%
WordPress Stats,304,12.88%
Marketo,297,12.59%
Bing Universal Event Tracking,292,12.37%
Dotomi,287,12.16%
KISSmetrics,287,12.16%
Krux Digital,285,12.08%
ClickTale,267,11.31%
Omniture Adobe Test and Target,262,11.1%
Visual Website Optimizer,256,10.85%
Nielsen//NetRatings,245,10.38%
Hubspot,243,10.3%
OwnerIQ,239,10.13%
Compuware Analytics,239,10.13%
Google Analytics Enhanced Ecommerce,239,10.13%
Bizo Insights,232,9.83%
VoiceFive,228,9.66%
Moat,220,9.32%
Efficient Frontier,219,9.28%
Netmining,211,8.94%
Google Content Experiments,208,8.81%
Yahoo Dot,195,8.26%
Everest Technologies,194,8.22%
Hotjar,187,7.92%
InsightExpress,178,7.54%
Marin Software,178,7.54%
Google Website Optimizer,177,7.5%
Pingdom RUM,175,7.41%
Piwik Web Analytics,170,7.2%
WebTrends,169,7.16%
Convertro,169,7.16%
Safe Count,165,6.99%
Signal,161,6.82%
Demandbase,155,6.57%
Inspectlet,144,6.1%
Adobe Dynamic Tag Management,138,5.84%
Segment.io,138,5.84%
Eloqua,133,5.63%
SteelHouse,131,5.55%
Pardot,128,5.42%
Fastly,127,5.38%
Satellite,127,5.38%
DataXu,126,5.34%
Salesforce,125,5.29%
Facebook Conversion Tracking,121,5.12%
Bazaarvoice,120,5.08%
Buysight,114,4.83%
Google Analytics Multiple Trackers,113,4.79%
Google Analytics Anonymize IP,110,4.66%
Yieldr,105,4.45%
Clicky,103,4.36%
Coremetrics,103,4.36%
StatCounter,101,4.28%
Adobe Target Standard,100,4.23%
Interclick,95,4.02%
Google Analytics Ecommerce,95,4.02%
Trackalyzer,92,3.89%
TeaLeaf,92,3.89%
Tynt Tracer,90,3.81%
