Time,Value1,Value2
2016-07-18 13:00:00,19,8.64
2016-07-18 13:00:01,50,36.6
2016-07-18 13:00:02,20,6.26
2016-07-18 13:00:03,26,12.61
2016-07-18 13:00:04,0,26.41
2016-07-18 13:00:05,28,15.34
2016-07-18 13:00:06,41,44.17
2016-07-18 13:00:07,10,39.91
2016-07-18 13:00:08,48,46.82
2016-07-18 13:00:09,42,38.93
2016-07-18 13:00:10,27,18.28
2016-07-18 13:00:11,9,35.01
2016-07-18 13:00:12,31,26.33
2016-07-18 13:00:13,9,20.46
2016-07-18 13:00:14,42,40.21
2016-07-18 13:00:15,44,30.79
2016-07-18 13:00:16,38,20.12
2016-07-18 13:00:17,35,26.05
2016-07-18 13:00:18,48,36.63
2016-07-18 13:00:19,29,12.83
2016-07-18 13:00:20,13,6.08
2016-07-18 13:00:21,24,12.95
2016-07-18 13:00:22,41,11.81
2016-07-18 13:00:23,35,21.19
2016-07-18 13:00:24,7,18.87
2016-07-18 13:00:25,12,47.1
2016-07-18 13:00:26,49,48.81
2016-07-18 13:00:27,31,21.35
2016-07-18 13:00:28,7,30.07
2016-07-18 13:00:29,27,6.88
2016-07-18 13:00:30,48,49.4
2016-07-18 13:00:31,25,22.79
2016-07-18 13:00:32,29,7.16
2016-07-18 13:00:33,36,25.1
2016-07-18 13:00:34,20,32.92
2016-07-18 13:00:35,37,15.09
2016-07-18 13:00:36,32,14.2
2016-07-18 13:00:37,9,46.2
2016-07-18 13:00:38,24,40.37
2016-07-18 13:00:39,10,28.42
2016-07-18 13:00:40,3,7.46
2016-07-18 13:00:41,15,24.03
2016-07-18 13:00:42,27,15.44
2016-07-18 13:00:43,47,29.87
2016-07-18 13:00:44,34,19.63
2016-07-18 13:00:45,12,46.74
2016-07-18 13:00:46,49,6.18
2016-07-18 13:00:47,10,35.69
2016-07-18 13:00:48,5,10.31
2016-07-18 13:00:49,12,0.31
2016-07-18 13:00:50,42,30.92
2016-07-18 13:00:51,39,16.88
2016-07-18 13:00:52,49,48.74
2016-07-18 13:00:53,50,39.56
2016-07-18 13:00:54,0,11.33
2016-07-18 13:00:55,29,13.03
2016-07-18 13:00:56,12,41.52
2016-07-18 13:00:57,35,33.83
2016-07-18 13:00:58,49,5.11
