Date & Time,Entry,Mode,Cost
6/25/18 8:45:51 AM,Spring Garden Station - MFL,Subway,$2.00
6/25/18 2:31:06 PM,2nd St Station - MFL,Subway,$2.00
7/5/18 8:26:42 AM,Girard Station - MFL,Subway,$2.00
7/5/18 2:58:25 PM,2nd St Station - MFL,Subway,$2.00
7/11/2018 11:26:25 AM,Girard Station - MFL,Subway,$2.00
7/11/18 1:05:22 PM,15th St Station - MFL,Subway,$2.00
7/11/18 1:45:42 PM,2nd St Station - MFL,Subway,$1.00
7/12/18 8:06:37 AM,Girard Station - MFL,Subway,$2.00
7/12/18 3:01:18 PM,2nd St Station - MFL,Subway,$2.00
7/13/18 4:21:55 PM,Spring Garden Station - MFL,Subway,$2.00
7/13/18 9:18:23 PM,5th St Station - MFL,Subway,$2.00
7/13/2018 10:34:50 PM,13th St Station - MFL,Subway,$1.00
7/14/18 6:14:26 AM,Girard Station - MFL,Subway,$2.00
7/14/18 7:34:26 AM,5th St Station - MFL,Subway,$1.00
7/16/18 3:47:08 PM,2nd St Station - MFL,Subway,$2.00
7/19/18 7:54:57 AM,Girard Station - MFL,Subway,$2.00
7/23/18 5:15:27 AM,Girard Station - MFL,Subway,$2.00
7/23/18 7:11:29 PM,5th St Station - MFL,Subway,$2.00
7/25/18 9:32:40 AM,Girard Station - MFL,Subway,$2.00
7/26/18 9:50:15 AM,Girard Station - MFL,Subway,$2.00
7/26/18 2:13:33 PM,2nd St Station - MFL,Subway,$2.00
7/27/2018 10:17:27 AM,Spring Garden Station - MFL,Subway,$2.00
7/28/2018 12:13:06 PM,Spring Garden Station - MFL,Subway,$2.00
7/28/18 2:08:05 PM,15th St Station - MFL,Subway,$2.00
7/29/2018 12:43:50 PM,15th St Station - MFL,Subway,$2.00
8/1/2018 12:03:42 PM,Girard Station - MFL,Subway,$2.00
8/1/18 2:33:58 PM,2nd St Station - MFL,Subway,$2.00
8/3/2018 10:31:35 AM,Girard Station - MFL,Subway,$2.00
8/3/18 2:49:19 PM,2nd St Station - MFL,Subway,$2.00
8/3/18 7:53:41 PM,Girard Station - MFL,Subway,$2.00
8/3/18 8:09:12 PM,2nd St Station - MFL,Subway,$1.00
8/4/18 4:44:32 PM,11th St Station - MFL,Subway,$2.00
8/5/18 6:38:42 PM,Spring Garden Station - MFL,Subway,$2.00
8/5/2018 10:08:56 PM,11th St Station - MFL,Subway,$2.00
8/10/18 5:15:47 PM,Girard Station - MFL,Subway,$2.00
8/10/18 9:42:09 PM,15th St Station - MFL,Subway,$2.00
8/22/2018 11:40:06 AM,Girard Station - MFL,Subway,$2.00
8/22/18 4:56:41 PM,2nd St Station - MFL,Subway,$2.00
8/28/18 3:01:10 PM,2nd St Station - MFL,Subway,$2.00
8/30/18 3:02:41 PM,2nd St Station - MFL,Subway,$2.00
8/31/18 8:44:15 PM,2nd St Station - MFL,Subway,$2.00
9/4/18 7:01:33 AM,Girard Station - MFL,Subway,$2.00
9/4/18 3:04:05 PM,2nd St Station - MFL,Subway,$2.00
9/7/18 2:39:30 PM,2nd St Station - MFL,Subway,$2.00
9/8/18 4:29:34 PM,2nd St Station - MFL,Subway,$2.00
9/15/18 2:18:41 PM,2nd St Station - MFL,Subway,$2.00
9/15/18 7:51:45 PM,Girard Station - MFL,Subway,$2.00
9/15/2018 10:36:54 PM,11th St Station - MFL,Subway,$2.00
9/16/18 2:58:37 PM,Spring Garden Station - MFL,Subway,$2.00
9/16/18 7:26:55 PM,5th St Station - MFL,Subway,$2.00
9/16/18 9:25:53 PM,40th St Station - MFL,Subway,$2.00
9/17/2018 10:13:04 AM,Girard Station - MFL,Subway,$2.00
9/18/18 6:23:29 AM,Girard Station - MFL,Subway,$2.00
9/19/18 4:18:54 PM,2nd St Station - MFL,Subway,$2.00
9/20/18 7:02:35 AM,Girard Station - MFL,Subway,$2.00
9/20/18 3:27:06 PM,2nd St Station - MFL,Subway,$2.00
10/9/18 5:57:53 PM,Broad St & Oregon Av,Bus,$2.00
10/10/18 9:14:02 AM,Girard Station - MFL,Subway,$2.00
10/10/18 4:34:39 PM,15th St Station - MFL,Subway,$2.00
10/19/18 6:58:36 PM,Spring Garden St & 19th St,Bus,$2.00
10/24/18 1:26:05 PM,4th St & Poplar St,Bus,$2.00
10/24/18 2:16:44 PM,3rd St & South St,Bus,$2.00
10/25/18 6:03:42 PM,Girard Station - MFL,Subway,$2.00
10/25/2018 10:26:44 PM,2nd St Station - MFL,Subway,$2.00
10/26/2018 12:26:06 PM,2nd St & Girard Av,Bus,$2.00
10/26/18 5:05:40 PM,3rd St & Market St,Bus,$2.00
10/26/18 9:15:15 PM,Delaware Av & Frankford Av,Bus,$2.00
10/27/18 1:23:35 PM,Spring Garden St & 12th St,Bus,$2.00
10/29/18 5:40:45 PM,4th St & Spring Garden St,Bus,$2.00
10/29/18 6:48:15 PM,Girard Station - MFL,Subway,$1.00
10/29/2018 10:58:22 PM,15th St Station - MFL,Subway,$2.00
10/31/2018 12:16:17 PM,Girard Station - MFL,Subway,$2.00
10/31/18 1:19:14 PM,Chestnut St & 10th St,Bus,$1.00
10/31/18 1:29:33 PM,3rd St & Chestnut St,Bus,$1.00
11/1/2018 12:12:53 PM,4th St & Girard Av - FS,Bus,$2.00
11/2/18 5:25:31 PM,Spring Garden Station - MFL,Subway,$2.00
11/2/18 6:36:15 PM,46th St Station - MFL,Subway,$1.00
11/3/18 6:33:11 PM,Frankford Av & Girard Av,Bus,$2.00
11/3/18 9:57:07 PM,Thompson St & Clementine St - detour,Bus,$2.00
11/4/18 8:39:14 AM,Girard Station - MFL,Subway,$2.00
11/4/18 3:14:00 PM,11th St Station - MFL,Subway,$2.00
11/6/18 8:39:32 PM,Girard Station - MFL,Subway,$2.00
11/6/2018 11:45:37 PM,52nd St Station - MFL,Subway,$2.00
11/7/18 5:45:03 PM,Girard Av & 2nd St,Trolley,$2.00
11/10/18 6:26:11 PM,Girard Station - MFL,Subway,$2.00
11/11/18 5:39:24 PM,Spring Garden Station - BSL,Subway,$2.00
11/11/18 8:46:23 PM,34th St Station - MFL,Subway,$2.00
11/12/18 5:11:22 PM,4th St & Market St,Bus,$2.00
11/12/18 6:02:39 PM,Olney Transportation Center,Bus,$1.00
11/20/18 2:35:35 PM,5th St Station - MFL,Subway,$2.00
11/21/18 9:11:07 PM,Girard Station - MFL,Subway,$2.00
11/22/2018 12:27:10 AM,13th St Station - MFL,Subway,$2.00
11/23/2018 11:07:33 PM,11th St Station - MFL,Subway,$2.00
11/28/18 6:02:38 PM,2nd St Station - MFL,Subway,$2.00
12/4/18 4:46:13 PM,Girard Station - MFL,Subway,$2.00
12/5/2018 11:18:17 AM,Girard Station - MFL,Subway,$2.00
12/5/18 3:38:15 PM,2nd St Station - MFL,Subway,$2.00
