Train,Stations,Subway transfers,Connections,Station Label
1,Van Cortlandt Park–242nd Street,None,None,1
1,238th Street,None,None,2
1,231st Street,None,None,3
1,Marble Hill–225th Street,None,None,4
1,215th Street,None,None,5
1,207th Street,None,None,6
1,Dyckman Street,None,None,7
1,191st Street,None,None,8
1,181st Street,None,None,9
1,168th Street,A ​C (IND Eighth Avenue Line),None,10
1,157th Street,None,None,11
1,145th Street,None,None,12
1,137th Street–City College,None,None,13
1,125th Street,None,None,14
1,116th Street–Columbia University,None,None,15
1,Cathedral Parkway–110th Street,None,None,16
1,103rd Street,None,None,17
1,96th Street,​2 ​3,None,18
1,86th Street,2,None,19
1,79th Street,2,None,20
1,72nd Street,​2 ​3,None,21
1,66th Street–Lincoln Center,2,None,22
1,59th Street–Columbus Circle,2 A ​B ​C ​D (IND Eighth Avenue Line),None,23
1,50th Street,2,None,24
1,Times Square–42nd Street,​2 ​3 7 <7> ​ (IRT Flushing Line) A ​C ​E (IND Eighth Avenue Line at 42nd Street–Port Authority Bus Terminal) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle),None,25
1,34th Street–Penn Station,​2 ​3,None,26
1,28th Street,2,None,27
1,23rd Street,2,None,28
1,18th Street,2,None,29
1,14th Street,​2 ​3 F ​M (IND Sixth Avenue Line at 14th Street) L (BMT Canarsie Line at Sixth Avenue),None,30
1,Christopher Street–Sheridan Square,2,None,31
1,Houston Street,2,None,32
1,Canal Street,2,None,33
1,Franklin Street,2,None,34
1,Chambers Street,​2 ​3,None,35
1,Cortlandt Street,None,None,36
1,Rector Street,2,None,37
1,South Ferry,2 N ​R ​W (BMT Broadway Line) Out-of-system transfer with MetroCard on weekends only: 4 ​5 (IRT Lexington Avenue Line at Bowling Green),None,38
2,Wakefield–241st Street,5,Metro-North Railroad Harlem Line at Wakefield,1
2,Eastchester–Dyre Avenue,None,None,2
2,East 180th Street,5,None,3
2,West Farms Square–East Tremont Avenue,5,Q44 Select Bus Service,4
2,174th Street,5,None,5
2,Freeman Street,5,None,6
2,Simpson Street,5,None,7
2,Intervale Avenue,5,Bx6 Select Bus Service,8
2,Prospect Avenue,5,None,9
2,Jackson Avenue,5,None,10
2,Third Avenue–149th Street,5,Bx41 Select Bus Service,11
2,149th Street–Grand Concourse,5 4 (IRT Jerome Avenue Line),None,12
2,135th Street,3,None,13
2,125th Street,3,M60 Select Bus Service to LaGuardia Airport,14
2,116th Street,3,None,15
2,Central Park North–110th Street,3,None,16
2,96th Street,1 ​​3,None,17
2,86th Street,1,M86 Select Bus Service,18
2,79th Street,1,M79 Select Bus Service,19
2,72nd Street,1 ​​3,None,20
2,66th Street–Lincoln Center,1,None,21
2,59th Street–Columbus Circle,1 A ​D (IND Eighth Avenue Line),None,22
2,50th Street,1,None,23
2,Times Square–42nd Street,1 ​​3 7 <7> ​ (IRT Flushing Line) A ​C ​E (IND Eighth Avenue Line at 42nd Street–Port Authority Bus Terminal) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle),Port Authority Bus Terminal,24
2,34th Street–Penn Station,1 ​​3,"M34 / M34A Select Bus Service Amtrak, LIRR and NJ Transit at Pennsylvania Station",25
2,28th Street,1,None,26
2,23rd Street,1,M23 Select Bus Service,27
2,18th Street,1,None,28
2,14th Street,1 ​​3 F ​M (IND Sixth Avenue Line at 14th Street) L (BMT Canarsie Line at Sixth Avenue),PATH at 14th Street,29
2,Christopher Street–Sheridan Square,1,PATH at Christopher Street,30
2,Houston Street,1,None,31
2,Canal Street,1,None,32
2,Franklin Street,1,None,33
2,Chambers Street,1 ​​3,None,34
2,Cortlandt Street,None,Closed due to heavy damage sustained from the September 11 attacks; expected to open when rehabilitation project is complete in 2018,35
2,N ​R ​W (BMT Broadway Line) Out-of-system transfer with MetroCard when the 2 operates here: 4 ​5 (IRT Lexington Avenue Line at Bowling Green),None,None,36
2,Park Place,3 A ​C (IND Eighth Avenue Line at Chambers Street) E (IND Eighth Avenue Line at World Trade Center) N ​R ​W (BMT Broadway Line at Cortlandt Street),PATH at World Trade Center,37
2,Clark Street,3,None,38
2,Hoyt Street,3,None,39
2,President Street,5,None,40
2,5,None,None,41
2,5,None,None,42
2,5,None,None,43
2,5,None,None,44
2,5,None,None,45
2,5,None,None,46
2,Nostrand Avenue,3,B44 Select Bus Service,47
2,3,None,None,48
2,​3 ​4 ​5,None,None,49
2,Sutter Avenue–Rutland Road,​3 ​4 ​5,B15 bus to JFK Airport,50
2,​3 ​4 ​5,None,None,51
2,​3 ​4 ​5,None,None,52
2,​3 ​4 ​5,None,None,53
2,​3 ​4 ​5,None,None,54
2,​3 ​4 ​5,None,None,55
2,​3 ​4 ​5,None,None,56
3,Harlem–148th Street,None,None,1
3,145th Street,None,None,2
3,135th Street,2,None,3
3,125th Street,2,None,4
3,116th Street,2,None,5
3,Central Park North–110th Street,2,None,6
3,96th Street,1 ​2 ​,None,7
3,72nd Street,1 ​2 ​,None,8
3,Times Square–42nd Street,1 ​2 ​ 7 <7> ​ (IRT Flushing Line) A ​C ​E (IND Eighth Avenue Line at 42nd Street–Port Authority Bus Terminal) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle),None,9
3,34th Street–Penn Station,1 ​2 ​,None,10
3,14th Street,1 ​2 ​ F ​M (IND Sixth Avenue Line at 14th Street) L (BMT Canarsie Line),None,11
3,Chambers Street,1 ​2 ​,None,12
3,Park Place,2 A ​C (IND Eighth Avenue Line at Chambers Street) E (IND Eighth Avenue Line at World Trade Center) N ​R ​W (BMT Broadway Line at Cortlandt Street),None,13
3,Fulton Street,2 4 ​5 (IRT Lexington Avenue Line) A ​C (IND Eighth Avenue Line) J ​Z (BMT Nassau Street Line),None,14
3,Wall Street,2,None,15
3,Clark Street,2,None,16
3,Borough Hall,2 4 ​5 (IRT Eastern Parkway Line) R ​W (BMT Fourth Avenue Line),None,17
3,Hoyt Street,2,None,18
3,Nevins Street,2 ​​4 ​5,None,19
3,Atlantic Avenue–Barclays Center,2 ​​4 ​5 B ​Q (BMT Brighton Line) D ​N ​R ​W (BMT Fourth Avenue Line),None,20
3,Bergen Street,2 ​​4,None,21
3,Grand Army Plaza,2 ​​4,None,22
3,Eastern Parkway–Brooklyn Museum,2 ​​4,None,23
3,Franklin Avenue,2 ​​4 ​5 S (BMT Franklin Avenue Line),None,24
3,Nostrand Avenue,2,None,25
3,Kingston Avenue,2,None,26
3,Crown Heights–Utica Avenue,2 ​​4 ​5,None,27
3,Sutter Avenue–Rutland Road,2 ​​4 ​5,None,28
3,Saratoga Avenue,2 ​​4 ​5,None,29
3,Rockaway Avenue,2 ​​4 ​5,None,30
3,Junius Street,2 ​​4 ​5,None,31
3,Pennsylvania Avenue,2 ​​4 ​5,None,32
3,Van Siclen Avenue,2 ​​4 ​5,None,33
3,New Lots Avenue,2 ​​4 ​5,None,34
4,Woodlawn,None,None,1
4,Mosholu Parkway,None,None,2
4,Bedford Park Boulevard–Lehman College,None,None,3
4,Kingsbridge Road,None,None,4
4,Fordham Road,None,None,5
4,183rd Street,None,None,6
4,Burnside Avenue,None,None,7
4,176th Street,None,None,8
4,Mount Eden Avenue,None,None,9
4,170th Street,None,None,10
4,167th Street,None,None,11
4,161st Street–Yankee Stadium,B ​D (IND Concourse Line),None,12
4,149th Street–Grand Concourse,2 ​5 (IRT White Plains Road Line),None,13
4,138th Street–Grand Concourse,5,None,14
4,125th Street,​5 ​6 <6>,None,15
4,116th Street,6,None,16
4,110th Street,6,None,17
4,103rd Street,6,None,18
4,96th Street,6,None,19
4,86th Street,​5 ​6 <6>,None,20
4,77th Street,6,None,21
4,68th Street–Hunter College,6,None,22
4,59th Street,​5 ​6 <6> N ​R ​W (BMT Broadway Line) Out-of-system transfer with MetroCard: F ​ N ​Q ​R (63rd Street Lines at Lexington Avenue–63rd Street),None,23
4,51st Street,6 E (IND Queens Boulevard Line at Lexington Avenue–53rd Street),None,24
4,Grand Central–42nd Street,​5 ​6 <6> 7 <7> ​ (IRT Flushing Line) S (42nd Street Shuttle),None,25
4,33rd Street,6,None,26
4,28th Street,6,None,27
4,23rd Street,6,None,28
4,14th Street–Union Square,​5 ​6 <6> L (BMT Canarsie Line) N ​Q ​R ​W (BMT Broadway Line),None,29
4,Astor Place,6,None,30
4,Bleecker Street,6 D ​F (IND Sixth Avenue Line at Broadway–Lafayette Street),None,31
4,Spring Street,6,None,32
4,Canal Street,6 N ​Q (BMT Broadway Line) J (BMT Nassau Street Line),None,33
4,Brooklyn Bridge–City Hall,​5 ​6 <6> J M Z ​ (BMT Nassau Street Line at Chambers Street),None,34
4,Fulton Street,5 2 ​3 (IRT Broadway–Seventh Avenue Line) A ​C (IND Eighth Avenue Line) J ​Z (BMT Nassau Street Line) Connection to N ​R ​W (BMT Broadway Line) at Cortlandt Street via Dey Street Passageway,None,35
4,Wall Street,5,None,36
4,Bowling Green,5 Out-of-system transfers with MetroCard on weekends only: 1 ​2 (IRT Broadway–Seventh Avenue Line at South Ferry) N ​R ​ (BMT Broadway Line at Whitehall Street–South Ferry),None,37
4,Borough Hall,5 2 ​3 (IRT Broadway–Seventh Avenue Line) N R ​W (BMT Fourth Avenue Line),None,38
4,Nevins Street,2 ​3 ​​5,None,39
4,Atlantic Avenue–Barclays Center,2 ​3 ​​5 B ​Q (BMT Brighton Line) D ​N ​R ​W (BMT Fourth Avenue Line),None,40
4,Bergen Street,2 ​​5,None,41
4,Grand Army Plaza,2 ​​5,None,42
4,Eastern Parkway–Brooklyn Museum,2 ​​5,None,43
4,Franklin Avenue,2 ​3 ​​5 S (BMT Franklin Avenue Line),None,44
4,Nostrand Avenue,None,None,45
4,Kingston Avenue,None,None,46
4,Crown Heights–Utica Avenue,2 ​3 ​​5,None,47
5,Eastchester–Dyre Avenue,None,Northern terminal for weekday and weekday late night service,1
5,Wakefield–241st Street,2,Station is served by limited northbound a.m. rush hour service that terminates here only Northern terminal for weekend and weekend late night service,2
5,East 180th Street,2,Some southbound rush hour trips begin at this station Some northbound a.m. rush hour trips terminate at this station Southern terminal for weekday late night service,3
5,West Farms Square–East Tremont Avenue,2,Q44 Select Bus Service,4
5,174th Street,2,None,5
5,Freeman Street,2,None,6
5,Simpson Street,2,None,7
5,Intervale Avenue,2,Bx6 Select Bus Service,8
5,Prospect Avenue,2,None,9
5,Jackson Avenue,2,None,10
5,Third Avenue–149th Street,2,Bx41 Select Bus Service,11
5,149th Street–Grand Concourse,2 4 (IRT Jerome Avenue Line),None,12
5,138th Street–Grand Concourse,4,None,13
5,125th Street,4 ​​6 <6>,Metro-North Railroad at Harlem–125th Street M60 Select Bus Service to LaGuardia Airport,14
5,86th Street,4 ​​6 <6>,M86 Select Bus Service,15
5,59th Street,4 ​​6 <6> N ​R ​W (BMT Broadway Line) Out-of-system transfer with MetroCard: F ​ N ​Q ​R (63rd Street Lines at Lexington Avenue–63rd Street),Roosevelt Island Tramway,16
5,Grand Central–42nd Street,4 ​​6 <6> 7 <7> ​ (IRT Flushing Line) S (42nd Street Shuttle),Metro-North Railroad at Grand Central Terminal,17
5,14th Street–Union Square,4 ​​6 <6> L (BMT Canarsie Line) N ​Q ​R ​W (BMT Broadway Line),None,18
5,Brooklyn Bridge–City Hall,4 ​​6 <6> J M Z ​ (BMT Nassau Street Line at Chambers Street),None,19
5,Fulton Street,4 2 ​3 (IRT Broadway–Seventh Avenue Line) A ​C (IND Eighth Avenue Line) J ​Z (BMT Nassau Street Line) Connection to N ​R ​W (BMT Broadway Line) at Cortlandt Street via Dey Street Passageway,None,20
5,Wall Street,4,None,21
5,Bowling Green,4 Out-of-system transfers with MetroCard on weekends only: 1 ​2 (IRT Broadway–Seventh Avenue Line at South Ferry) N ​R ​ (BMT Broadway Line at Whitehall Street–South Ferry),"Staten Island Ferry at Whitehall Terminal Southern terminal for weekday evening service, as well as some rush hour service",22
5,Borough Hall,4 2 ​3 (IRT Broadway–Seventh Avenue Line) R ​W (BMT Fourth Avenue Line),Station is ADA-accessible in the northbound direction only,23
5,Nevins Street,2 ​3 ​4 ​,None,24
5,Atlantic Avenue–Barclays Center,2 ​3 ​4 ​ B ​Q (BMT Brighton Line) D ​N ​R ​W (BMT Fourth Avenue Line),LIRR Atlantic Branch at Atlantic Terminal,25
5,Bergen Street,4,None,26
5,Grand Army Plaza,4,None,27
5,Eastern Parkway–Brooklyn Museum,4,None,28
5,Franklin Avenue,2 ​3 ​4 ​ S (BMT Franklin Avenue Line),None,29
5,President Street,2,None,30
5,Sterling Street,2,B44 Select Bus Service,31
5,Winthrop Street,2,B44 Select Bus Service,32
5,Church Avenue,2,B44 Select Bus Service,33
5,Beverly Road,2,None,34
5,Newkirk Avenue,2,B44 Select Bus Service,35
5,Flatbush Avenue–Brooklyn College,2,B44 Select Bus Service,36
5,Nostrand Avenue,2 ​3 ​4,One rush-hour train to the Bronx stops here,37
5,Sutter Avenue–Rutland Road,2 ​3 ​4 ​,B15 bus to JFK Airport,38
6,Pelham Bay Park,None,None,1
6,Buhre Avenue,None,None,2
6,Middletown Road,None,None,3
6,Westchester Square–East Tremont Avenue,None,None,4
6,Zerega Avenue,None,None,5
6,Castle Hill Avenue,None,None,6
6,Parkchester,None,None,7
6,St. Lawrence Avenue,None,None,8
6,Morrison Avenue–Soundview,None,None,9
6,Elder Avenue,None,None,10
6,Whitlock Avenue,None,None,11
6,Hunts Point Avenue,None,None,12
6,Longwood Avenue,None,None,13
6,East 149th Street,None,None,14
6,East 143rd Street–St. Mary's Street,None,None,15
6,Cypress Avenue,None,None,16
6,Brook Avenue,None,None,17
6,Third Avenue–138th Street,None,None,18
6,125th Street,4 ​5 ​,None,19
6,116th Street,4,None,20
6,110th Street,4,None,21
6,103rd Street,4,None,22
6,96th Street,4,None,23
6,86th Street,4 ​5 ​,None,24
6,77th Street,4,None,25
6,68th Street–Hunter College,4,None,26
6,59th Street,4 ​5 ​ N ​R ​W (BMT Broadway Line at Lexington Avenue/59th Street) Out-of-system transfer with MetroCard: F ​ N ​Q ​R (63rd Street Lines at Lexington Avenue–63rd Street),None,27
6,51st Street,4 E ​M (IND Queens Boulevard Line at Lexington Avenue–53rd Street),None,28
6,Grand Central–42nd Street,4 ​5 ​ 7 <7> ​ (IRT Flushing Line) S (42nd Street Shuttle),None,29
6,33rd Street,4,None,30
6,28th Street,4,None,31
6,23rd Street,4,None,32
6,14th Street–Union Square,4 ​5 ​ L (BMT Canarsie Line) N ​Q ​R ​W (BMT Broadway Line),None,33
6,Astor Place,4,None,34
6,Bleecker Street,4 B ​D ​F ​M (IND Sixth Avenue Line at Broadway–Lafayette Street),None,35
6,Spring Street,4,None,36
6,Canal Street,4 N ​Q ​R ​W (BMT Broadway Line) J M Z ​ (BMT Nassau Street Line),None,37
6,Brooklyn Bridge–City Hall,4 ​5 ​ J M Z ​ (BMT Nassau Street Line at Chambers Street),None,38
7,Flushing–Main Street,None,None,1
7,Mets–Willets Point,None,None,2
7,111th Street,None,None,3
7,103rd Street–Corona Plaza,None,None,4
7,Junction Boulevard,None,None,5
7,90th Street–Elmhurst Avenue,None,None,6
7,82nd Street–Jackson Heights,None,None,7
7,74th Street–Broadway,E ​F ​M ​R (IND Queens Boulevard Line),None,8
7,69th Street,None,None,9
7,61st Street–Woodside,None,None,10
7,52nd Street,None,None,11
7,46th Street–Bliss Street,None,None,12
7,40th Street–Lowery Street,None,None,13
7,33rd Street–Rawson Street,None,None,14
7,Queensboro Plaza,N ​W (BMT Astoria Line),None,15
7,Court Square,G (IND Crosstown Line) E ​M (IND Queens Boulevard Line at Court Square–23rd Street),None,16
7,Hunters Point Avenue,None,None,17
7,Vernon Boulevard–Jackson Avenue,None,None,18
7,Grand Central,4 ​5 ​6 <6> (IRT Lexington Avenue Line) S (42nd Street Shuttle),None,19
7,Fifth Avenue,B ​D ​F ​M (IND Sixth Avenue Line at 42nd Street–Bryant Park),None,20
7,Times Square,1 ​2 ​3 (IRT Broadway–Seventh Avenue Line) A ​C ​E (IND Eighth Avenue Line at 42nd Street–Port Authority Bus Terminal) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle),None,21
7,34th Street–Hudson Yards,None,None,22
A,Inwood–207th Street,None,None,1
A,Dyckman Street,None,None,2
A,190th Street,None,None,3
A,181st Street,None,None,4
A,175th Street,None,None,5
A,168th Street,C 1 (IRT Broadway–Seventh Avenue Line),None,6
A,163rd Street–Amsterdam Avenue,None,None,7
A,155th Street,None,None,8
A,145th Street,C B ​D (IND Concourse Line),None,9
A,135th Street,None,None,10
A,125th Street,​B ​C ​D,None,11
A,116th Street,None,None,12
A,Cathedral Parkway–110th Street,None,None,13
A,103rd Street,None,None,14
A,96th Street,None,None,15
A,86th Street,None,None,16
A,81st Street–Museum of Natural History,None,None,17
A,72nd Street,None,None,18
A,59th Street–Columbus Circle,​B ​C ​D 1 ​2 (IRT Broadway–Seventh Avenue Line),None,19
A,50th Street,E (IND Queens Boulevard Line),None,20
A,42nd Street–Port Authority Bus Terminal,​C ​E 1 ​2 ​3 (IRT Broadway–Seventh Avenue Line) 7 <7> ​ (IRT Flushing Line) N ​Q ​R ​W (BMT Broadway Line) S (42nd Street Shuttle) at Times Square–42nd Street,None,21
A,34th Street–Penn Station,​C ​E,None,22
A,23rd Street,E,None,23
A,14th Street,​C ​E L (BMT Canarsie Line),None,24
A,West Fourth Street–Washington Square,​C ​E B ​D ​F ​M (IND Sixth Avenue Line),None,25
A,Spring Street,E,None,26
A,Canal Street,​C ​E,None,27
A,Chambers Street,​C ​E 2 ​3 (IRT Broadway–Seventh Avenue Line at Park Place) N ​R ​W (BMT Broadway Line at Cortlandt Street),None,28
A,Fulton Street,C 2 ​3 (IRT Broadway–Seventh Avenue Line) 4 ​5 (IRT Lexington Avenue Line) J ​Z (BMT Nassau Street Line) Connection to N ​R ​W (BMT Broadway Line) at Cortlandt Street via Dey Street Passageway,None,29
A,High Street,C,None,30
A,Jay Street–MetroTech,C F N R ​W (BMT Fourth Avenue Line),None,31
A,Hoyt–Schermerhorn Streets,C G (IND Crosstown Line),None,32
A,Lafayette Avenue,None,None,33
A,Clinton–Washington Avenues,None,None,34
