Id,Label,timeset,module,cached,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
0,preBuild,,:core,false,1,0,1,1,0,1,0,0,0,0,0,0,1,0.117565,0,0,0,0.399217
1,preBuild,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0,0,0,0.085248,0,1,0,0.213186
2,preDebugBuild,,:bypass,false,12,1,13,12,1,13,1,1,1,35,0.001708,0,0,0.093233,0,2,0.064103,0.573833
3,preDebugBuild,,:core,false,23,1,24,23,1,24,1,1,1,35,0.435526,0,1,0.131221,0,3,0.057971,1
4,compileDebugAidl,,:bypass,false,4,1,5,4,1,5,2,0.666667,0.75,5.9,0.012932,0.000265,0,0.016994,0,4,0.15,0.206079
5,compileDebugAidl,,:core,false,6,2,8,6,2,8,3,0.555556,0.666667,15.733333,0.33088,0.069577,2,0.013052,0,5,0.160714,0.190798
6,compileDebugRenderscript,,:bypass,false,4,1,5,4,1,5,2,0.666667,0.75,2.166667,0.002191,0.000265,0,0.016219,0,6,0.15,0.137832
7,checkDebugManifest,,:bypass,false,2,1,3,2,1,3,2,0.666667,0.75,0,0.000086,0.000265,0,0.014915,0,7,0.333333,0.076398
8,generateDebugBuildConfig,,:bypass,false,3,2,5,3,2,5,2,0.75,0.833333,11.833333,0.002137,0.000278,0,0.011446,0,8,0.2,0.117054
9,generateDebugResValues,,:bypass,false,1,1,2,1,1,2,2,0.666667,0.75,1,0.000054,0.000265,0,0.010752,0,9,0,0.020778
10,generateDebugResources,,:bypass,false,1,2,3,1,2,3,3,0.571429,0.708333,25,0.000042,0.000348,0,0.01123,0,10,0,0.048921
11,packageDebugResources,,:bypass,false,2,2,4,2,2,4,2,0.625,0.7,46,0.01163,0.000272,0,0.012356,0,11,0.083333,0.133177
12,processDebugManifest,,:bypass,false,1,2,3,1,2,3,2,0.75,0.833333,7.333333,0.000329,0.000278,0,0.009583,0,12,0.333333,0.075431
13,checkDebugManifest,,:core,false,2,1,3,2,1,3,2,0.666667,0.75,0,0.022027,0.067571,1,0.015241,0,13,0.333333,0.129353
14,generateDebugBuildConfig,,:core,false,5,2,7,5,2,7,2,0.75,0.833333,11.583333,0.273997,0.070988,2,0.01257,0,14,0.166667,0.182786
15,prepareLintJar,,:core,false,1,0,1,1,0,1,0,0,0,0,0.021848,0,2,0.008427,0,15,0,0.047233
16,generateDebugRFile,,:bypass,false,3,3,6,3,3,6,3,0.533333,0.645833,55.866667,0.016007,0.00212,0,0.012716,0,16,0.133333,0.197405
17,dataBindingMergeDependencyArtifactsDebug,,:core,false,2,1,3,2,1,3,2,0.666667,0.75,0.5,0.03904,0.067571,1,0.009793,0,17,0.333333,0.143255
18,dataBindingMergeGenClassesDebug,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,0,0.012668,0.067571,1,0.008507,0,18,0.5,0.091568
19,generateDebugResValues,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,1,0.006929,0.067571,1,0.011364,0,19,0,0.041073
20,processDebugManifest,,:core,false,2,2,4,2,2,4,2,0.75,0.833333,3.75,0.071178,0.070988,1,0.009223,0,20,0.333333,0.106238
21,mergeDebugConsumerProguardFiles,,:core,false,1,0,1,1,0,1,0,0,0,0,0.056883,0,3,0.006462,0,21,0,0.008012
22,mergeDebugShaders,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,0,0.010742,0.067571,1,0.012122,0,22,0.5,0.017463
23,compileDebugShaders,,:core,false,2,2,4,2,2,4,2,0.75,0.833333,6,0.011292,0.069237,1,0.014444,0,23,0.25,0.020654
24,generateDebugAssets,,:core,false,1,1,2,1,1,2,3,0.5,0.583333,0,0.011021,0.001752,1,0.007809,0,24,0.5,0.010003
25,packageDebugAssets,,:core,false,1,3,4,1,3,4,2,0.714286,0.8,6,0.056883,0.071032,1,0.006462,0,25,0.25,0.008012
26,packageDebugRenderscript,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,0,0.056883,0.067571,3,0.006462,0,26,0.5,0.008012
27,prepareLintJarForPublish,,:core,false,1,0,1,1,0,1,0,0,0,0,0.056883,0,3,0.006462,0,27,0,0.008012
28,processDebugJavaRes,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,1,0.008752,0.067571,1,0.007984,0,28,0,0.01065
29,mergeDebugJniLibFolders,,:core,false,1,1,2,1,1,2,2,0.666667,0.75,4,0,0.067571,3,0.015728,0,29,0,0.01065
30,transformNativeLibsWithMergeJniLibsForDebug,,:core,false,1,1,2,1,1,2,3,0.5,0.611111,5,0,0,3,0.011469,0,30,0,0.010003
31,transformNativeLibsWithSyncJniLibsForDebug,,:core,false,1,1,2,1,1,2,4,0.4,0.520833,4,0.056883,0,3,0.006462,0,31,0,0.008012
32,compileDebugKotlin,,:bypass,false,3,4,7,3,4,7,4,0.5,0.628788,29.266667,0.001045,0.005161,0,0.013813,0,32,0.142857,0.152237
33,prepareLintJar,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0.000426,0,0,0.00747,0,33,0,0.017875
34,generateDebugSources,,:bypass,false,1,4,5,1,4,5,3,0.636364,0.761905,13,0.000911,0.002744,0,0.00702,0,34,0.15,0.038505
35,javaPreCompileDebug,,:bypass,false,1,2,3,1,2,3,5,0.4,0.495833,0,0.000911,0.000427,0,0.00702,0,35,0.333333,0.038505
36,compileDebugJavaWithJavac,,:bypass,false,1,8,9,1,8,9,4,0.6,0.738889,56.266667,0.000068,0.005871,0,0.009791,0,36,0.208333,0.095858
37,bundleLibCompileDebug,,:bypass,false,6,3,9,6,3,9,5,0.421053,0.517708,106.566667,0.30096,0.000438,2,0.013453,0,37,0.138889,0.209767
38,packageDebugRenderscript,,:bypass,false,1,1,2,1,1,2,2,0.666667,0.75,8,0.010742,0.000265,0,0.013615,0,38,0,0.098024
39,compileDebugRenderscript,,:core,false,6,2,8,6,2,8,3,0.555556,0.666667,26.333333,0.280926,0.069237,2,0.017954,0,39,0.107143,0.223859
40,generateDebugSources,,:core,false,2,4,6,2,4,6,4,0.5,0.628788,20,0.087452,0.14082,2,0.011519,0,40,0.133333,0.104283
41,dataBindingExportBuildInfoDebug,,:core,false,4,2,6,4,2,6,5,0.4,0.495833,9.666667,0.252149,0.081139,2,0.010122,0,41,0.2,0.135552
42,generateDebugResources,,:core,false,2,2,4,2,2,4,4,0.4375,0.559524,25,0.022321,0.04466,1,0.012672,0,42,0,0.104085
43,mergeDebugResources,,:core,false,2,3,5,2,3,5,3,0.48,0.569444,40.366667,0.03904,0.072838,1,0.009793,0,43,0.1,0.143255
44,dataBindingGenBaseClassesDebug,,:core,false,6,4,10,6,4,10,4,0.394737,0.522222,39.3,0.335404,0.08165,1,0.011892,0,44,0.188889,0.195252
45,packageDebugResources,,:core,false,2,2,4,2,2,4,5,0.4,0.535417,15.333333,0.071178,0.071034,1,0.009223,0,45,0.25,0.106238
46,generateDebugRFile,,:core,false,7,4,11,7,4,11,4,0.418605,0.523148,67.75,0.354787,0.09214,2,0.012989,0,46,0.181818,0.205255
47,kaptGenerateStubsDebugKotlin,,:core,false,1,7,8,1,7,8,5,0.418605,0.514815,7.833333,0.026372,0.330325,2,0.007266,0,47,0.053571,0.051687
48,kaptDebugKotlin,,:core,false,3,6,9,3,6,9,4,0.41573,0.495495,32.133333,0.187509,0.16998,1,0.009081,0,48,0.208333,0.1027
49,compileDebugKotlin,,:core,false,5,8,13,5,8,13,5,0.426966,0.527193,47.683333,0.195711,0.359416,2,0.013005,0,49,0.166667,0.09878
50,javaPreCompileDebug,,:core,false,1,3,4,1,3,4,6,0.345133,0.407692,0,0.074864,0.144628,2,0.007217,0,50,0.333333,0.038937
51,compileDebugJavaWithJavac,,:core,false,5,12,17,5,12,17,5,0.45977,0.584167,94.783333,0.159122,0.482534,2,0.017445,0,51,0.165441,0.05334
52,extractDebugAnnotations,,:core,false,2,10,12,2,10,12,5,0.44086,0.549593,16.466667,0.076266,0.452947,2,0.00756,0,52,0.234848,0.018016
53,transformResourcesWithMergeJavaResForDebug,,:core,false,1,3,4,1,3,4,6,0.328125,0.392063,3,0.019383,0.056409,2,0.007077,0,53,0.25,0.010003
54,transformClassesAndResourcesWithSyncLibJarsForDebug,,:core,false,1,5,6,1,5,6,5,0.366667,0.440909,4.583333,0.056883,0.124936,2,0.006462,0,54,0.366667,0.008012
55,bundleDebugAar,,:core,false,1,15,16,1,15,16,5,0.436508,0.560303,49.083333,0,0.366636,3,0.008519,0,55,0.1,0.003992
56,compileDebugSources,,:core,false,1,1,2,1,1,2,6,0.320312,0.365041,5.916667,0,0.024687,3,0.008519,0,56,0,0.003992
57,assembleDebug,,:core,false,0,2,2,0,2,2,6,0.311475,0.362281,0,0,0,3,0.00598,0,57,0,0
