zip,folder
GTFS_AM.zip,amtrak
GTFS_AS.zip,lawa
GTFS_AT.zip,alhambra_community
GTFS_AV.zip,antelope_valley
GTFS_BC.zip,beach_cities
GTFS_BF.zip,bellflower_bus
GTFS_BG.zip,bell_gardens
GTFS_BO.zip,bolt_bus
GTFS_BP.zip,baldwin_park
GTFS_BU.zip,burbank_bus
GTFS_CA.zip,carson_circuit
GTFS_CC.zip,culver_city
GTFS_CE.zip,catalina_express
GTFS_CH.zip,cudahy_cart
GTFS_CK.zip,corona_cruiser
GTFS_CL.zip,camarillo_area
GTFS_CM.zip,city_commerce
GTFS_CO.zip,la_county
GTFS_CR.zip,compton_renaissance
GTFS_CT.zip,calabasas_trolley
GTFS_CW.zip,cerritos_wheels
GTFS_CX.zip,commuter_express
GTFS_DA.zip,dash
GTFS_DO.zip,downeylink
GTFS_DT.zip,duarte_transit
GTFS_EM.zip,el_monte
GTFS_ES.zip,el_segundo
GTFS_FA.zip,flyaway
GTFS_FZ.zip,foothill_transit
GTFS_GA.zip,gardena_municipal
GTFS_GB.zip,glendale_beeline
GTFS_GC.zip,gold_coast
GTFS_HP.zip,huntington_park
GTFS_IN.zip,inglewood_iline
GTFS_IR.zip,irvine_ishuttle
GTFS_KA.zip,kanan_shuttle
GTFS_LB.zip,long_beach
GTFS_LH.zip,la_habra
GTFS_LL.zip,la_puente
GTFS_LT.zip,lawndale_trolley
GTFS_LY.zip,lynwood_trolley
GTFS_MB.zip,montebello_bus
GTFS_ME.zip,megabus
GTFS_ML.zip,metrolink
GTFS_MP.zip,monterey_park
GTFS_MR.zip,moorpark_transit
GTFS_MV.zip,monrovia_trolley
GTFS_NT.zip,norwalk_transit
GTFS_OC.zip,orange_county
GTFS_OM.zip,omnitrans
GTFS_OT.zip,ojai_trolley
GTFS_PA.zip,pasadena_transit
GTFS_PP.zip,palos_verdes
GTFS_PT.zip,paramount_easy
GTFS_RA.zip,riverside_transit
GTFS_RS.zip,rosemead_explorer
GTFS_SC.zip,santa_clarita
GTFS_SG.zip,sierra_madre
GTFS_SM.zip,bigbluebus
GTFS_SO.zip,south_gate
GTFS_ST.zip,sunLine_transit
GTFS_SV.zip,simi_valley
GTFS_SW.zip,south_whittier
GTFS_TH.zip,thousand_oaks
GTFS_TO.zip,torrance_transit
GTFS_VE.zip,valley_express
GTFS_VS.zip,ventura_vista
GTFS_WC.zip,go_west
GTFS_WH.zip,west_hollywood
MT_GTFS_Bus.zip,metro_bus
MT_GTFS_Rail.zip,metro_rail
