x,y,value
Arabian,Arabian,1.2
Bangladeshi,Bangladeshi,1.2
Beer Bar,Beer Bar,1.2
Brazilian,Brazilian,1.2
Breweries,Breweries,1.2
Cafes,Cafes,1.2
Cambodian,Cambodian,1.2
Cantonese,Cantonese,1.2
Caribbean,Caribbean,1.2
Cheese Shops,Cheese Shops,1.2
Cuban,Cuban,1.2
Cupcakes,Cupcakes,1.2
Delis,Delis,1.2
Desserts,Desserts,1.2
Dominican,Dominican,1.2
Egyptian,Egyptian,1.2
Ethnic Food,Ethnic Food,1.2
Falafel,Falafel,1.2
Fast Food,Fast Food,1.2
Filipino,Filipino,1.2
Food Court,Food Court,1.2
Food Delivery Services,Food Delivery Services,1.2
Gelato,Gelato,1.2
Hot Pot,Hot Pot,1.2
Indonesian,Indonesian,1.2
Italian,Italian,1.2
Laotian,Laotian,1.2
Latin American,Latin American,1.2
Live/Raw Food,Live/Raw Food,1.2
Meat Shops,Meat Shops,1.2
Mediterranean,Mediterranean,1.2
Middle Eastern,Middle Eastern,1.2
Patisserie/Cake Shop,Patisserie/Cake Shop,1.2
Persian/Iranian,Persian/Iranian,1.2
Piano Bars,Piano Bars,1.2
Pizza,Pizza,1.2
Pubs,Pubs,1.2
Salad,Salad,1.2
Shanghainese,Shanghainese,1.2
Shaved Ice,Shaved Ice,1.2
Soup,Soup,1.2
Spanish,Spanish,1.2
Specialty Food,Specialty Food,1.2
Sushi Bars,Sushi Bars,1.2
Taiwanese,Taiwanese,1.2
Thai,Thai,1.2
Turkish,Turkish,1.2
Ukrainian,Ukrainian,1.2
Vegetarian,Vegetarian,1.2
Wine Bars,Wine Bars,1.2
Cafes,Food Delivery Services,1
Cafes,Food Court,1
Cafes,Cupcakes,1
Cafes,Pizza,1
Cafes,Fast Food,1
Cafes,Specialty Food,1
Cafes,Piano Bars,1
Cafes,Delis,1
Cupcakes,Pizza,1
Cupcakes,Fast Food,1
Cupcakes,Specialty Food,1
Cupcakes,Piano Bars,1
Cupcakes,Delis,1
Cupcakes,Cafes,1
Cupcakes,Food Delivery Services,1
Cupcakes,Food Court,1
Delis,Cafes,1
Delis,Food Delivery Services,1
Delis,Food Court,1
Delis,Cupcakes,1
Delis,Pizza,1
Delis,Fast Food,1
Delis,Specialty Food,1
Delis,Piano Bars,1
Fast Food,Specialty Food,1
Fast Food,Piano Bars,1
Fast Food,Delis,1
Fast Food,Cafes,1
Fast Food,Food Delivery Services,1
Fast Food,Food Court,1
Fast Food,Cupcakes,1
Fast Food,Pizza,1
Food Court,Cupcakes,1
Food Court,Pizza,1
Food Court,Fast Food,1
Food Court,Specialty Food,1
Food Court,Piano Bars,1
Food Court,Delis,1
Food Court,Cafes,1
Food Court,Food Delivery Services,1
Food Delivery Services,Food Court,1
Food Delivery Services,Cupcakes,1
Food Delivery Services,Pizza,1
Food Delivery Services,Fast Food,1
Food Delivery Services,Specialty Food,1
Food Delivery Services,Piano Bars,1
Food Delivery Services,Delis,1
Food Delivery Services,Cafes,1
Piano Bars,Delis,1
Piano Bars,Cafes,1
Piano Bars,Food Delivery Services,1
Piano Bars,Food Court,1
Piano Bars,Cupcakes,1
Piano Bars,Pizza,1
Piano Bars,Fast Food,1
Piano Bars,Specialty Food,1
Pizza,Fast Food,1
Pizza,Specialty Food,1
Pizza,Piano Bars,1
Pizza,Delis,1
Pizza,Cafes,1
Pizza,Food Delivery Services,1
Pizza,Food Court,1
Pizza,Cupcakes,1
Specialty Food,Piano Bars,1
Specialty Food,Delis,1
Specialty Food,Cafes,1
Specialty Food,Food Delivery Services,1
Specialty Food,Food Court,1
Specialty Food,Cupcakes,1
Specialty Food,Pizza,1
Specialty Food,Fast Food,1
Food Court,Wine Bars,0.332498954137136
Wine Bars,Food Court,0.332498954137136
Spanish,Specialty Food,0.330501991961208
Specialty Food,Spanish,0.330501991961208
Shaved Ice,Specialty Food,0.329541713060876
Specialty Food,Shaved Ice,0.329541713060876
Caribbean,Piano Bars,0.328687194519351
Piano Bars,Caribbean,0.328687194519351
Cafes,Spanish,0.326459946039085
Spanish,Cafes,0.326459946039085
Specialty Food,Wine Bars,0.325329818730477
Wine Bars,Specialty Food,0.325329818730477
Fast Food,Hot Pot,0.324203332756673
Hot Pot,Fast Food,0.324203332756673
Cafes,Italian,0.321334500200792
Italian,Cafes,0.321334500200792
Indonesian,Piano Bars,0.321241200614268
Piano Bars,Indonesian,0.321241200614268
Delis,Desserts,0.31848219095212
Desserts,Delis,0.31848219095212
Food Delivery Services,Patisserie/Cake Shop,0.31736580186571
Patisserie/Cake Shop,Food Delivery Services,0.31736580186571
Cuban,Food Court,0.316724601422384
Food Court,Cuban,0.316724601422384
Delis,Italian,0.315798756020918
Italian,Delis,0.315798756020918
Arabian,Cafes,0.31347015621925
Cafes,Arabian,0.31347015621925
Delis,Spanish,0.312926052847101
Spanish,Delis,0.312926052847101
Cafes,Falafel,0.310322302991209
Falafel,Cafes,0.310322302991209
Beer Bar,Piano Bars,0.309467587115263
Piano Bars,Beer Bar,0.309467587115263
Food Delivery Services,Pubs,0.306670484282027
Pubs,Food Delivery Services,0.306670484282027
Patisserie/Cake Shop,Piano Bars,0.304819615402577
Piano Bars,Patisserie/Cake Shop,0.304819615402577
Cafes,Sushi Bars,0.304107775858097
Sushi Bars,Cafes,0.304107775858097
Food Delivery Services,Thai,0.300371064014671
Thai,Food Delivery Services,0.300371064014671
Caribbean,Food Court,0.300178733823043
Food Court,Caribbean,0.300178733823043
Cuban,Fast Food,0.300162180291221
Fast Food,Cuban,0.300162180291221
Caribbean,Cupcakes,0.299459490554105
Cupcakes,Caribbean,0.299459490554105
Cupcakes,Thai,0.294553080034381
Thai,Cupcakes,0.294553080034381
Pizza,Sushi Bars,0.294289652817304
Sushi Bars,Pizza,0.294289652817304
Italian,Specialty Food,0.291972303161759
Specialty Food,Italian,0.291972303161759
Falafel,Food Delivery Services,0.289519754170802
Food Delivery Services,Falafel,0.289519754170802
Gelato,Specialty Food,0.288141959006519
Specialty Food,Gelato,0.288141959006519
Cafes,Mediterranean,0.288060030831636
Mediterranean,Cafes,0.288060030831636
Delis,Falafel,0.287779034122519
Falafel,Delis,0.287779034122519
Cupcakes,Falafel,0.286690007849312
Falafel,Cupcakes,0.286690007849312
Beer Bar,Ethnic Food,0.286316806518413
Ethnic Food,Beer Bar,0.286316806518413
Food Court,Hot Pot,0.285714666349894
Hot Pot,Food Court,0.285714666349894
Delis,Soup,0.28072174290967
Soup,Delis,0.28072174290967
Cafes,Cuban,0.280064307346201
Cuban,Cafes,0.280064307346201
Cupcakes,Shaved Ice,0.279918842860737
Shaved Ice,Cupcakes,0.279918842860737
Beer Bar,Indonesian,0.27778997511509
Indonesian,Beer Bar,0.27778997511509
Food Court,Mediterranean,0.277052308403104
Mediterranean,Food Court,0.277052308403104
Specialty Food,Thai,0.275069020653016
Thai,Specialty Food,0.275069020653016
Breweries,Pizza,0.274857951610771
Pizza,Breweries,0.274857951610771
Cafes,Indonesian,0.274725256123795
Indonesian,Cafes,0.274725256123795
Fast Food,Latin American,0.274086809450734
Latin American,Fast Food,0.274086809450734
Food Delivery Services,Shaved Ice,0.273061581008286
Shaved Ice,Food Delivery Services,0.273061581008286
Cupcakes,Soup,0.271721968052456
Soup,Cupcakes,0.271721968052456
Food Delivery Services,Hot Pot,0.271456940661758
Hot Pot,Food Delivery Services,0.271456940661758
Beer Bar,Cafes,0.269684994586261
Cafes,Beer Bar,0.269684994586261
Desserts,Fast Food,0.267085681744252
Fast Food,Desserts,0.267085681744252
Beer Bar,Food Delivery Services,0.266633708860777
Food Delivery Services,Beer Bar,0.266633708860777
Beer Bar,Specialty Food,0.266138445842012
Specialty Food,Beer Bar,0.266138445842012
Cupcakes,Patisserie/Cake Shop,0.264613773094337
Patisserie/Cake Shop,Cupcakes,0.264613773094337
Cupcakes,Wine Bars,0.264486920139643
Wine Bars,Cupcakes,0.264486920139643
Desserts,Food Court,0.262599028112786
Food Court,Desserts,0.262599028112786
Cupcakes,Latin American,0.262204098778765
Latin American,Cupcakes,0.262204098778765
Cafes,Salad,0.261445850047418
Salad,Cafes,0.261445850047418
Food Court,Indonesian,0.261171038681028
Indonesian,Food Court,0.261171038681028
Cafes,Latin American,0.256144329521195
Latin American,Cafes,0.256144329521195
Cupcakes,Ethnic Food,0.255094974034035
Ethnic Food,Cupcakes,0.255094974034035
Fast Food,Thai,0.254514213457979
Thai,Fast Food,0.254514213457979
Delis,Wine Bars,0.252125710591344
Wine Bars,Delis,0.252125710591344
Desserts,Latin American,0.251143553474341
Latin American,Desserts,0.251143553474341
Cafes,Ethnic Food,0.249296684672137
Ethnic Food,Cafes,0.249296684672137
Caribbean,Pizza,0.249179028131985
Pizza,Caribbean,0.249179028131985
Arabian,Gelato,0.248687380991204
Gelato,Arabian,0.248687380991204
Cafes,Wine Bars,0.248659091308775
Wine Bars,Cafes,0.248659091308775
Arabian,Pizza,0.248213686287902
Pizza,Arabian,0.248213686287902
Soup,Specialty Food,0.247808456713896
Specialty Food,Soup,0.247808456713896
Arabian,Beer Bar,0.247686264620538
Beer Bar,Arabian,0.247686264620538
Desserts,Salad,0.247540593049352
Salad,Desserts,0.247540593049352
Caribbean,Desserts,0.244419744156733
Desserts,Caribbean,0.244419744156733
Cuban,Delis,0.244240335538201
Delis,Cuban,0.244240335538201
Delis,Indonesian,0.244186815615538
Indonesian,Delis,0.244186815615538
Desserts,Falafel,0.24414601101158
Falafel,Desserts,0.24414601101158
Beer Bar,Sushi Bars,0.242559344337201
Sushi Bars,Beer Bar,0.242559344337201
Mediterranean,Thai,0.241216766033692
Thai,Mediterranean,0.241216766033692
Hot Pot,Spanish,0.241096024901275
Spanish,Hot Pot,0.241096024901275
Food Delivery Services,Gelato,0.24108579789983
Gelato,Food Delivery Services,0.24108579789983
Patisserie/Cake Shop,Sushi Bars,0.240869123466469
Sushi Bars,Patisserie/Cake Shop,0.240869123466469
Latin American,Specialty Food,0.238966578083408
Specialty Food,Latin American,0.238966578083408
Desserts,Indonesian,0.238895318681629
Indonesian,Desserts,0.238895318681629
Breweries,Desserts,0.237923133907662
Desserts,Breweries,0.237923133907662
Breweries,Indonesian,0.236540100341831
Indonesian,Breweries,0.236540100341831
Cuban,Latin American,0.236200016012696
Latin American,Cuban,0.236200016012696
Delis,Sushi Bars,0.235381028448836
Sushi Bars,Delis,0.235381028448836
Desserts,Italian,0.233877803253465
Italian,Desserts,0.233877803253465
Latin American,Thai,0.233175687031821
Thai,Latin American,0.233175687031821
Sushi Bars,Thai,0.23314371929655
Thai,Sushi Bars,0.23314371929655
Indonesian,Salad,0.232847206961544
Salad,Indonesian,0.232847206961544
Ethnic Food,Food Delivery Services,0.231304187146482
Food Delivery Services,Ethnic Food,0.231304187146482
Desserts,Spanish,0.231286303802945
Spanish,Desserts,0.231286303802945
Ethnic Food,Falafel,0.231275119709715
Falafel,Ethnic Food,0.231275119709715
Indonesian,Specialty Food,0.231271951215955
Specialty Food,Indonesian,0.231271951215955
Italian,Wine Bars,0.230708551102101
Wine Bars,Italian,0.230708551102101
Arabian,Shaved Ice,0.22917438267851
Shaved Ice,Arabian,0.22917438267851
Beer Bar,Caribbean,0.228307925224975
Caribbean,Beer Bar,0.228307925224975
Breweries,Food Delivery Services,0.227763273874804
Food Delivery Services,Breweries,0.227763273874804
Delis,Hot Pot,0.22772781440866
Hot Pot,Delis,0.22772781440866
Breweries,Cafes,0.227077018503066
Cafes,Breweries,0.227077018503066
Cuban,Desserts,0.226379532714297
Desserts,Cuban,0.226379532714297
Breweries,Shaved Ice,0.22596832974928
Shaved Ice,Breweries,0.22596832974928
Desserts,Pubs,0.225130008725954
Pubs,Desserts,0.225130008725954
Beer Bar,Hot Pot,0.224890197804047
Hot Pot,Beer Bar,0.224890197804047
Hot Pot,Indonesian,0.224872770409218
Indonesian,Hot Pot,0.224872770409218
Fast Food,Spanish,0.224424253601442
Spanish,Fast Food,0.224424253601442
Ethnic Food,Wine Bars,0.224295943729141
Wine Bars,Ethnic Food,0.224295943729141
Shaved Ice,Thai,0.22303087356056
Thai,Shaved Ice,0.22303087356056
Fast Food,Shaved Ice,0.222561425859132
Shaved Ice,Fast Food,0.222561425859132
Falafel,Food Court,0.222547949038241
Food Court,Falafel,0.222547949038241
Beer Bar,Breweries,0.222471836036595
Breweries,Beer Bar,0.222471836036595
Arabian,Salad,0.22160055849097
Salad,Arabian,0.22160055849097
Caribbean,Indonesian,0.220917459912182
Indonesian,Caribbean,0.220917459912182
Arabian,Wine Bars,0.220298129970309
