site,participants,lat,lon,type
"AIDS RESOURCE CENTER OF WI, INC. - 1397",20,"43,040,634","-87,912,493",Food Pantry
ALIVE MKE INC.,20,"43,063,146","-87,948,334",Food Pantry
ALL PEOPLE'S CHURCH - 1555,20,"43,065,914","-87,912,072",Food Pantry
AMANI COMMUNITY FOOD PANTRY - 2195,20,"43,063,146","-87,948,334",Food Pantry
APOSTOLIC TABERNACLE - 1403,20,"43,075,442","-87,964,884",Food Pantry
ASCENSION LUTHERAN CHURCH-1947,20,"43,018,503","-87,947,116",Food Pantry
Bay View Community Center,20,"42,988,556","-87,892,405",Food Pantry
BETHANY LUTHERAN CHURCH -01250,20,"43,057,212","-87,961,401",Food Pantry
BETHANY LUTHERAN SOUP FOR THE SOUL II 2953,20,"43,057,212","-87,961,401",Food Pantry
BETHANY LUTHERAN/KIDS FOR CHRIST - 2134,20,"43,057,212","-87,961,401",Food Pantry
BETHEL C.M.E CHURCH - 2797,20,"4,307,883","-87,946,219",Food Pantry
BETHEL C.M.E FOOD PANTRY-A1094,20,"4,307,883","-87,946,219",Food Pantry
BETHEL TABERNACLE C.O.G.I.C - 1012,20,"43,104,342","-87,981,302",Food Pantry
BETHEL TABERNACLE C.O.G.I.C - 2021,20,"43,104,342","-87,981,302",Food Pantry
BETHEL TEMPLE C.O.G.I.C. PANTRY - 1249,20,"4,306,556","-87,916,615",Food Pantry
BETHESDA BAPTIST CHURCH - A1296,20,"43,071,631","-87,937,742",Food Pantry
BETHESDA C.O.G.I.C. - 1248,20,"43,045,005","-8,794,948",Food Pantry
BETHESDA COMMUNITY SR CTR PANTRY-1034,20,"43,068,865","-87,949,585",Food Pantry
BLOOD OF THE LAMB - A1187,20,"43,077,755","-87,961,169",Food Pantry
BOUNTIFUL HARVEST CHURCH OF GOD - A1347,20,"4,307,927","-87,961,691",Food Pantry
BRENTWOOD CHURCH OF CHRIST - A1018,20,"4,313,553","-87,986,668",Food Pantry
CAMP GAN - 1341,20,"4,319,406","-87,896,038",Food Pantry
CARTER'S CHRISTIAN ACADEMY - A1163,20,"43,113,338","-87,956,031",Food Pantry
CENTRAL CITY CHURCHES-OUR SAVIOR'S - 1059,20,"43,039,526","-87,952,414",Food Pantry
CHRIST EV. LUTHERAN CHURCH - FOOD - A1129,20,"43,016,727","-87,942,001",Food Pantry
CITY OF FAITH - A1196,20,"43,058,638","-87,939,486",Food Pantry
CITY OF PRAISE MILWAUKEE - A1221,20,"43,110,117","-87,958,483",Food Pantry
CITY ON A HILL -1955,20,"43,042,434","-87,940,477",Food Pantry
COA YOUTH AND FAMILY CENTER - A1408,20,"43,075,755","-87,941,629",Food Pantry
CROSS LUTHERAN CHURCH PANTRY - 1037,20,"43,054,325","-87,933,094",Food Pantry
DESPENSA DE LA PAZ FOOD PANTRY- A1253,20,"43,013,751","-87,941,289",Food Pantry
EASTBROOK CHURCH - FOOD PANTRY - A1367,20,"43,090,221","-87,923,152",Food Pantry
EASTSIDE CHURCH OF CHRIST - 1670,20,"43,059,971","-87,907,482",Food Pantry
EBENEZER CHURCH OF GOD IN CHRIST- A1334,20,"43,063,146","-87,948,334",Food Pantry
EBENEZER STONE MINISTRIES - 1134,20,"43,063,146","-87,948,334",Food Pantry
EL SHADDAI - 1685,20,"4,307,313","-87,946,868",Food Pantry
FAITH SANTA FE LUTHERAN CHURCH PANTRY - A1194,20,"43,020,834","-87,947,364",Food Pantry
FAITH TEMPLE PENTECOSTAL CHURCH - 1374,20,"4,305,314","-87,943,149",Food Pantry
FIRST PENTACOSTAL CHURCH,20,"43,012,193","-87,936,146",Food Pantry
FRIEDENS - Coggs Center Pantry 1042,20,"43,048,859","-87,927,886",Food Pantry
Friedens Community Ministries at Hope House,20,"43,015,839","-87,912,921",Food Pantry
Friedens Community Ministries at Zion Rock,20,"43,139,767","-88,039,463",Food Pantry
GARDEN HOMES LUTHERAN PANTRY- A1207,20,"43,095,702","-87,943,851",Food Pantry
GOD'S HELP FOOD PANTRY - A1184,20,"42,987,989","-87,896,223",Food Pantry
GOOD SAMARITAN C.O.G.I.C. - 1533,20,"43,075,512","-87,979,023",Food Pantry
GOSPEL LUTHERAN FOOD PANTRY - A1355,20,"43,063,146","-87,948,334",Food Pantry
Great Faith Progressive Missionary Baptist Church Food Pantry,20,"43,103,926","-87,959,956",Food Pantry
GREATER GALILEE BAPTIST CHURCH - 2256,20,"43,062,488","-87,928,186",Food Pantry
GREATER NEW BIRTH M.B. CHURCH - 1569,20,"43,122,431","-87,999,212",Food Pantry
HAMPTON AVE CHURCH OF CHRIST - 1958,20,"43,104,652","-88,066,659",Food Pantry
HELPING COMMUNITY FOOD PANTRY- 01076,20,"43,063,146","-87,948,334",Food Pantry
HMONG/AMERICAN FRIENDSHIP PANTRY - 1146,20,"43,049,007","-87,961,597",Food Pantry
HOLY GHOST LUTH. CHURCH FOOD PANTRY - 1255,20,"43,041,739","-87,952,979",Food Pantry
HOPE LUTHERAN CHURCH - 1046,20,"43,044,889","-87,958,077",Food Pantry
HOUSE OF PEACE - 01177,20,"43,052,979","-87,934,539",Food Pantry
HOUSE OF PRAYER HOLY REFORMATION - 1439,20,"43,094,887","-8,798,214",Food Pantry
IGLESIA PENTECOSTAL JEHOVA RAFA - A1410,20,"42,988,762","-87,958,481",Food Pantry
INCARNATION LUTHERAN CHURCH - 1317,20,"4,308,188","-87,930,249",Food Pantry
INTERCHANGE INC.- 1071,20,"43,063,146","-87,948,334",Food Pantry
Jeremiah Missionary Baptist Church Food Pantry,20,"43,111,628","-87,969,722",Food Pantry
JERUSALEM MISSIONARY BAPTIST CHURCH- A1340,20,"43,063,146","-87,948,334",Food Pantry
JEWISH COMMUNITY PANTRY - 1120,20,"43,068,381","-879,506",Food Pantry
JEWISH REACH INC. - 1873,20,"43,074,937","-87,872,538",Food Pantry
KING SOLOMON M.B. CHURCH - 1561,20,"43,061,943","-87,916,024",Food Pantry
LAD LAKE INDEPENDENT LIVING SERVICE - A1103,20,"43,089,011","-8,791,301",Food Pantry
