UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00033094,2018-10-01,Pesticide Residues,Cereals & Bakery Products,India (IN),Local Authority,356
ICID00033103,2018-10-01,Allergens,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00033104,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,China (CN),RASFF,156
ICID00033105,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00033106,2018-10-02,Labelling Absent / Incomplete / Incorrect,Food Contact Materials,United States (US),Administrative Assistance & Cooperation System (AAC),840
ICID00033109,2018-10-02,Clandestine Detection,Confectionery,Latvia (LV),Border Inspection Posts (BIPs),428
ICID00033110,2018-10-02,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Philippines (PH),RASFF,608
ICID00033111,2018-10-02,Food Additives & Flavourings,Non-Alcoholic Beverages,Vietnam (VN),RASFF,704
ICID00033112,2018-10-02,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00033113,2018-10-02,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033115,2018-10-02,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00033116,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Border Inspection Posts (BIPs),156
ICID00033117,2018-10-02,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Border Inspection Posts (BIPs),156
ICID00033118,2018-10-02,Novel Food,Other Food Product / Mixed,United States (US),EU Member States,840
ICID00033120,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00033121,2018-10-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00033123,2018-10-04,Chemical Contamination (other),Fish & Fish Products,Vietnam (VN),Border Inspection Posts (BIPs),704
ICID00033129,2018-10-04,Pesticide Residues,Herbs & Spices,India (IN),Health & Safety Executive,356
ICID00033132,2018-10-04,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force,250
ICID00033135,2018-10-04,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,Poland (PL),Home Office / Border Force,616
ICID00033137,2018-10-05,Clandestine Detection,Confectionery,Tunisia (TN),Industry,788
ICID00033140,2018-10-05,Allergens,Milk & Milk Products,Germany (DE),Industry,276
ICID00033146,2018-10-08,Labelling Absent / Incomplete / Incorrect,Crustaceans & Products Thereof,India (IN),Local Authority,356
ICID00033147,2018-10-08,Pesticide Residues,Nuts / Nut Products / Seeds,Vietnam (VN),Industry,704
ICID00033153,2018-10-09,Allergens,Prepared Dishes & Snacks,Australia (AU),Industry,36
ICID00033154,2018-10-09,Mycotoxins,Confectionery,France (FR),Industry,250
ICID00033156,2018-10-09,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Vietnam (VN),Local Authority,704
ICID00033158,2018-10-09,Mycotoxins,Cereals & Bakery Products,France (FR),RASFF,250
ICID00033161,2018-10-10,Food Additives & Flavourings,Alcoholic Beverages,Czech Republic (CZ),EU Member States,203
ICID00033163,2018-10-10,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Border Inspection Posts (BIPs),840
ICID00033164,2018-10-10,Food Additives & Flavourings,Non-Alcoholic Beverages,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00033165,2018-10-10,Pesticide Residues,Nuts / Nut Products / Seeds,Netherlands (NL),Local Authority,528
ICID00033166,2018-10-10,Biocontaminants,Fats & Oils,Ukraine (UA),RASFF,804
ICID00033167,2018-10-11,Allergens,Nuts / Nut Products / Seeds,Egypt (EG),Local Authority,818
ICID00033170,2018-10-11,Clandestine Detection,Milk & Milk Products,Germany (DE),Home Office / Border Force,276
ICID00033177,2018-10-12,Pathogenic Micro-Organisms,Milk & Milk Products,Ireland (IE),RASFF,372
ICID00033179,2018-10-12,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033180,2018-10-12,Mycotoxins,Nuts / Nut Products / Seeds,Brazil (BR),Port Health Authority (PHA),76
ICID00033181,2018-10-12,Pesticide Residues,Fruits & Vegetables,Belgium (BE),RASFF,56
ICID00033189,2018-10-12,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00033191,2018-10-12,Adulteration / Fraud,Non-Alcoholic Beverages,Nigeria (NG),National Food Crime Unit (NFCU),566
ICID00033193,2018-10-15,Composition,Fish & Fish Products,Vietnam (VN),Local Authority,704
ICID00033196,2018-10-16,Clandestine Detection,Poultry Meat & Poultry Meat Products,Poland (PL),Home Office / Border Force,616
ICID00033204,2018-10-17,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,Ireland (IE),Industry,372
ICID00033209,2018-10-17,Pesticide Residues,Fruits & Vegetables,China (CN),Border Inspection Posts (BIPs),156
ICID00033211,2018-10-17,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Italy (IT),RASFF,380
ICID00033213,2018-10-17,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Sudan (SD),RASFF,729
ICID00033215,2018-10-18,Mycotoxins,Nuts / Nut Products / Seeds,Tanzania United Republic (TZ),Port Health Authority (PHA),834
ICID00033216,2018-10-17,Food Additives & Flavourings,Fruits & Vegetables,Lebanon (LB),Border Inspection Posts (BIPs),422
ICID00033217,2018-10-18,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Italy (IT),RASFF,380
ICID00033218,2018-10-18,Poor or Insufficient Controls,Other Food Product / Mixed,South Africa (ZA),Local Authority,710
ICID00033221,2018-10-19,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force,250
ICID00033223,2018-10-19,Foreign Bodies,Other Food Product / Mixed,Netherlands (NL),Local Authority,528
ICID00033224,2018-10-19,Migration,Food Contact Materials,China (CN),Port Health Authority (PHA),156
ICID00033228,2018-10-19,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Port Health Authority (PHA),404
ICID00033229,2018-10-20,Clandestine Detection,Soups / Broths / Sauces & Condiments,Italy (IT),Home Office / Border Force,380
ICID00033230,2018-10-21,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,Poland (PL),Home Office / Border Force,616
ICID00033231,2018-10-21,Clandestine Detection,Milk & Milk Products,Germany (DE),Home Office / Border Force,276
ICID00033235,2018-10-22,Allergens,Prepared Dishes & Snacks,Belgium (BE),Industry,56
ICID00033236,2018-10-22,Allergens,Prepared Dishes & Snacks,Netherlands (NL),Local Authority,528
ICID00033238,2018-10-22,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00033239,2018-10-23,Chemical Contamination (other),Fish & Fish Products,France (FR),General Public,250
ICID00033240,2018-10-23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033241,2018-10-23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00033243,2018-10-23,Allergens,Prepared Dishes & Snacks,United States (US),Local Authority,840
