Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,6318218,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",3665072,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3556629,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Girls Like You (feat. Cardi B)","Maroon 5",3517483,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"SICKO MODE","Travis Scott",3454664,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Lucid Dreams","Juice WRLD",3207568,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"Eastside (with Halsey & Khalid)","benny blanco",3166420,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"I Like It","Cardi B",3034522,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"In My Mind",Dynoro,2839003,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"Taste (feat. Offset)",Tyga,2797271,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,SAD!,XXXTENTACION,2764929,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"Solo (feat. Demi Lovato)","Clean Bandit",2753725,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
13,Rise,"Jonas Blue",2626281,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,"Better Now","Post Malone",2623360,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"Jackie Chan",Tiësto,2537499,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
16,STARGAZING,"Travis Scott",2458241,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
17,Youngblood,"5 Seconds of Summer",2422978,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"God is a woman","Ariana Grande",2416892,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
19,"One Kiss (with Dua Lipa)","Calvin Harris",2363253,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
20,"Te Boté - Remix","Nio Garcia",2188071,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
21,"Body (feat. brando)","Loud Luxury",2169337,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
22,Moonlight,XXXTENTACION,1991149,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
