scheme,netloc,source,port,subdomain,domain,suffix
https,sync.1rx.io,sync.1rx.io,None,sync,1rx,io
https,sync.1rx.io,sync.1rx.io,None,sync,1rx,io
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
https,s0.2mdn.net,s0.2mdn.net,None,s0,2mdn,net
http,46.101.24.45,46.101.24.45,None,,46.101.24.45,
https,sp.adbrn.com,sp.adbrn.com,None,sp,adbrn,com
http,m.addthis.com,m.addthis.com,None,m,addthis,com
http,m.addthis.com,m.addthis.com,None,m,addthis,com
http,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
http,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
http,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
http,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
https,m.addthis.com,m.addthis.com,None,m,addthis,com
https,m.addthis.com,m.addthis.com,None,m,addthis,com
https,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
https,s7.addthis.com,s7.addthis.com,None,s7,addthis,com
http,m.addthisedge.com,m.addthisedge.com,None,m,addthisedge,com
http,m.addthisedge.com,m.addthisedge.com,None,m,addthisedge,com
https,m.addthisedge.com,m.addthisedge.com,None,m,addthisedge,com
https,rtb.adentifi.com,rtb.adentifi.com,None,rtb,adentifi,com
https,rtb.adentifi.com,rtb.adentifi.com,None,rtb,adentifi,com
https,rtb.adentifi.com,rtb.adentifi.com,None,rtb,adentifi,com
https,track.adform.net,track.adform.net,None,track,adform,net
https,track.adform.net,track.adform.net,None,track,adform,net
https,px.adhigh.net,px.adhigh.net,None,px,adhigh,net
https,px.adhigh.net,px.adhigh.net,None,px,adhigh,net
http,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
http,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
https,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
https,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
https,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
https,ib.adnxs.com,ib.adnxs.com,None,ib,adnxs,com
http,match.adsrvr.org,match.adsrvr.org,None,match,adsrvr,org
