Title,URL,Description,Category
Ambient Mixer,https://www.ambient-mixer.com/,"My all-time favorite source of ambient sound, this website provies relatively advanced customization options, although Aura takes the cake in that regard. What I like most is the number of community-submitted pop culture soundscapes available to choose from",Customizable Ambient Soundscape on the Web
I Miss the Office,https://imisstheoffice.eu/,"This beautifully designed, customizable office noise simulator was recommended by my co-worker. For those of you who miss being in an office environment, this soundscape generator lets you build your soundscape with a variety of common office product sounds, and even lets you set the number of people murmuring in the background.",Customizable Ambient Soundscape on the Web
A Soft Murmur,https://asoftmurmur.com/,"This minimal website lets you choose and combine between 10 free sounds, and 13 premium sounds that range from natural soundscapes to urban settings",Customizable Ambient Soundscape on the Web
Noisli,https://www.noisli.com/,"The free version of this app comes with 16 sounds that can be streamed for up to 15 hours per day. Its playlist, timer, and text editor options are definite differentiators",Customizable Ambient Soundscape on the Web
Noises Online,https://noises.online/,Combine and choose between 30 different soundscape elements to create your perfect ambient atmosphere,Customizable Ambient Soundscape on the Web
Rainyscope,http://rainyscope.com/,"Although this website only provides 6 different sounds to choose from, the way it visually recreates raindrops on glass makes it worth a try",Customizable Ambient Soundscape on the Web
MyNoise,https://mynoise.net/,"If you’re looking for a soundscape repository with a lot of options, MyNoise is definitely the place for you",Customizable Ambient Soundscape on the Web
Noizio Lite,https://apps.apple.com/us/app/noizio-lite/id1481029536?mt=12,This Apple app is the free version of a different premium app with many more soundscape options if that’s your thing,Customizable Ambient Soundscape on the Web
Aura,http://www.asfreeware.ru/AuraEng.htm,"This soundscape player is quite possible the most advanced ambient sound mixer I’ve ever come across. You just have to see it to believe it. Available for Mac, Windows and Linux",Customizable Ambient Soundscape on the Web
Raining FM,https://raining.fm/,This simple app lets you layer three basic sounds to create just the right intensity of storm for your mood,Customizable Ambient Soundscape on the Web
Rainy Cafe,http://rainycafe.com/,"On the extremely simple end of the spectrum, this website lets you overlay two distinct sound elements to create a rainy cafe soundscape",Customizable Ambient Soundscape on the Web
Calmy Leon,https://calmyleon.com/,"This website provides 10 ambient sounds for layering. It categorizes them as either ‘Zen Channel’ sounds, or ‘White Noise’ sounds",Customizable Ambient Soundscape on the Web
Radio Garden,http://radio.garden/,Listen to radio stations around the world live in real-time by picking from a 3D globe of the Earth,Bonus Sounds on the Web
Music for Programming,http://musicforprogramming.net/,A 50+ strong downloadable and streamable series of hour-long music mixes to listen to while working,Bonus Sounds on the Web
Hype Machine,https://hypem.com/popular,Tracks music blogs to identify music that’s trending and then further vet its popularity with user votes,Bonus Sounds on the Web
Listen to Wikipedia,http://listen.hatnote.com/,Surprisingly exactly what it sounds like. Visualizes the sounds available on Wikipedia as clickable circles in a bubble chart-like presentation,Bonus Sounds on the Web
Gnood,http://www.gnoosic.com/index.php,Recommends artists you might like based on 3 of your favorite artists,Bonus Sounds on the Web
Radiohere,https://www.radiohere.com/,A curated list of live radio stations from around the world categorized by language,Bonus Sounds on the Web
Get Work Done Music,http://www.getworkdonemusic.com/,Streams a curated mix of Soundcloud music that plays either fast or faster,Bonus Sounds on the Web
Postconscious,http://postconscio.us/,A site that pulls the latest posts from Twitter and reads them. You can search for certain topics to narrow down which Twitter posts are read,Bonus Sounds on the Web
Every Noise at Once,http://everynoise.com/,"An interactive scatterplot that visualizes musical genres based on Spotify listening data, as well as the relative aural quality of the genre in question. It’s so freaking cool!",Bonus Sounds on Spotify
Playlist Souffle,https://playlistsouffle.com/,Swap out each track in a Spotify playlist with another song from the same album or by the same artist. This is a great way to discover new music based on what you already like,Bonus Sounds on Spotify
MangoMoji,http://www.mangomoji.com/,"Find new music on Spotify to listen to based on the emojis you click, including emoji combinations. Kind of game-like",Bonus Sounds on Spotify
Klarafy,http://klarafy.klara.be/en/,"I wasn’t able to actually get this one working, but it’s description says, “Based on a personal Spotify playlist, Klarafy finds corresponding classical music.”",Bonus Sounds on Spotify
The Playlist Miner,http://playlistminer.playlistmachinery.com/index.html,"Search for common playlists on Spotify by keyword, and then click to see what the top common songs are within that group of playlists. This is a really cool way to explore popular music by arbitrary topic or subject",Bonus Sounds on Spotify
Dubolt,https://dubolt.com/,Search for new music on Spotify by searching for your favorite artist or track. You’ll get a list of results that are based on various musical qualities like tempo and energy.,Bonus Sounds on Spotify
Setify,https://setify.co/,"Converts setlists into Spotify playlists so you can revisit your favorite concert – kind of. This won’t necessarily feature the exact sounds that were played at your favorite concerts, but it’ll recreate the playlist order.",Bonus Sounds on Spotify
Set Listener,http://static.echonest.com/SetListener/,"Generate a Spotify playlist that features the most recent setlist from your favorite artist. Same as with Setify, this dosen’t necessarily feature the exact recordings of the show in question, just the setlist from that show.",Bonus Sounds on Spotify
Noon Pacific,https://noonpacific.com/los-angeles/noon-383,"Curated Spotify mixes of music out of LA, NYC and London released weekly for your listening pleasure. A great way to discover up and coming music from some of the cultural capitals of the world",Bonus Sounds on Spotify
Acrostify,http://static.echonest.com/enspex/web/Acrostify/,"Encode cryptic acrostic messages in your Spotify playlists subtly and playfully with this website. Simply choose your preferred genre, and type in your secret message to generate a playlist wherein the first letter of each song spells your encoded words",Bonus Sounds on Spotify
Boil the Frog,http://static.echonest.com/BoilTheFrog/,"This is like 7 Degrees of Kevin Bacon, but with automatically generated Spotify playlists, and this time there’s only 2 degrees involved, and Kevin Bacon is two musicians",Bonus Sounds on Spotify
Snowy Escape,http://snowyescape.com/,"Kick back in a cozy, warm cabin during a snow storm with this visually and aurally pleasing website",Pre-Made Ambient Soundscape on the Web
Moszen,https://www.moszen.com/,Choose from 24 different nature-inspired soundscapes based on their photos,Pre-Made Ambient Soundscape on the Web
Coffitivity,https://coffitivity.com/,"Includes three free urban soundscapes, and three additional premium soundscapes",Pre-Made Ambient Soundscape on the Web
Rainy Mood,https://www.rainymood.com/,All it takes is the click of a button to be transported to a rainy day,Pre-Made Ambient Soundscape on the Web
Snowy Mood,http://snowymood.demouth.net/,"Inspired by Rainy Mood, this website transports you to a snowy day with the click of a button",Pre-Made Ambient Soundscape on the Web
Time for Zen,http://timeforzen.com/,Choose from 25 different soundscapes that range from infitely loopable to fixed-time,Pre-Made Ambient Soundscape on the Web
Tabletop Audio,https://tabletopaudio.com/,10-minute long soundscapes best suited as backdrops for games and stories,Pre-Made Ambient Soundscape on the Web
Hipster Sound,https://hipstersound.com/,"A collection of 3 free, and 5 premium soundscapes inspired by urban scenes from around the world",Pre-Made Ambient Soundscape on the Web
Ambient Noise for Ubuntu,https://www.youtube.com/watch?v=5NWABrC0kOI,A simple Ubuntu-based app that’s installed through the CLI and plays ambient noise,Pre-Made Ambient Soundscape on the Web
