id,group,US8K,KFSD,BOTH
Speech,Voice,512,1666,2178
"Male speech, man speaking",Voice,0,3,3
"Female speech, woman speaking",Voice,1,22,23
"Child speech, kid speaking",Voice,117,417,534
Conversation,Voice,0,1,1
"Narration, monologue",Voice,0,2,2
Babbling,Voice,72,192,264
Speech synthesizer,Voice,28,128,156
Shout,Voice,0,14,14
Bellow,Voice,30,401,431
Whoop,Voice,22,249,271
Yell,Voice,1,2,3
Battle cry,Voice,3,5,8
Children shouting,Voice,7,4,11
Screaming,Voice,127,40,167
Whispering,Voice,0,8,8
Laughter,Voice,66,226,292
Baby laughter,Voice,23,143,166
Giggle,Voice,224,163,387
Snicker,Voice,12,122,134
Belly laugh,Voice,298,518,816
"Chuckle, chortle",Voice,11,73,84
"Crying, sobbing",Voice,92,100,192
"Baby cry, infant cry",Voice,12,24,36
Whimper,Voice,28,3,31
"Wail, moan",Voice,14,55,69
Sigh,Voice,2,5,7
Singing,Voice,45,291,336
Choir,Voice,0,1,1
Yodeling,Voice,35,275,310
Chant,Voice,47,195,242
Mantra,Voice,8,69,77
Male singing,Voice,0,3,3
Female singing,Voice,1,6,7
Child singing,Voice,1,4,5
Synthetic singing,Voice,0,6,6
Rapping,Voice,3,49,52
Humming,Voice,124,327,451
Groan,Voice,12,68,80
Grunt,Voice,51,23,74
Whistling,Voice,123,248,371
Breathing,Voice,97,92,189
Wheeze,Voice,844,551,1395
Snoring,Voice,31,23,54
Gasp,Voice,71,206,277
Pant,Voice,100,50,150
Snort,Voice,186,248,434
Cough,Voice,180,713,893
Throat clearing,Voice,588,612,1200
Sneeze,Voice,140,406,546
Sniff,Voice,41,97,138
Run,Voice,2,6,8
Shuffle,Voice,7,1,8
"Walk, footsteps",Voice,51,78,129
"Chewing, mastication",Voice,222,890,1112
Biting,Voice,101,157,258
Gargling,Voice,12,23,35
Stomach rumble,Voice,58,31,89
"Burping, eructation",Voice,19,18,37
Hiccup,Voice,112,309,421
Fart,Voice,8,4,12
Hands,Voice,53,306,359
Finger snapping,Voice,140,364,504
Clapping,Voice,7,164,171
"Heart sounds, heartbeat",Voice,0,15,15
Heart murmur,Voice,7,41,48
Cheering,Voice,0,0,0
Applause,Voice,0,15,15
Chatter,Voice,4,37,41
Crowd,Voice,0,4,4
"Hubbub, speech noise, speech babble",Voice,0,10,10
Children playing,Voice,0,1,1
Animal,Animal,1173,1007,2180
"Domestic animals, pets",Animal,473,408,881
Dog,Animal,507,368,875
Bark,Animal,52,24,76
Yip,Animal,210,63,273
Howl,Animal,91,73,164
Bow-wow,Animal,155,37,192
Growling,Animal,136,141,277
Whimper (dog),Animal,98,91,189
Cat,Animal,14,12,26
Purr,Animal,130,337,467
Meow,Animal,27,214,241
Hiss,Animal,136,33,169
Caterwaul,Animal,4,2,6
"Livestock, farm animals, working animals",Animal,125,93,218
Horse,Animal,22,36,58
Clip-clop,Animal,25,12,37
"Neigh, whinny",Animal,73,89,162
"Cattle, bovinae",Animal,38,29,67
Moo,Animal,55,60,115
Cowbell,Animal,0,1,1
Pig,Animal,314,119,433
Oink,Animal,14,37,51
Goat,Animal,212,161,373
Bleat,Animal,82,65,147
Sheep,Animal,53,54,107
Fowl,Animal,173,628,801
"Chicken, rooster",Animal,237,759,996
Cluck,Animal,67,125,192
"Crowing, cock-a-doodle-doo",Animal,244,1028,1272
Turkey,Animal,16,7,23
Gobble,Animal,9,17,26
Duck,Animal,69,338,407
Quack,Animal,79,367,446
Goose,Animal,8,99,107
Honk,Animal,7,116,123
Wild animals,Animal,42,62,104
"Roaring cats (lions, tigers)",Animal,52,2,54
Roar,Animal,39,37,76
Bird,Animal,82,163,245
"Bird vocalization, bird call, bird song",Animal,45,47,92
"Chirp, tweet",Animal,120,139,259
Squawk,Animal,6,19,25
"Pigeon, dove",Animal,1,13,14
Coo,Animal,0,6,6
Crow,Animal,218,902,1120
Caw,Animal,162,613,775
Owl,Animal,18,100,118
Hoot,Animal,14,80,94
"Bird flight, flapping wings",Animal,245,226,471
"Canidae, dogs, wolves",Animal,75,39,114
"Rodents, rats, mice",Animal,62,80,142
Mouse,Animal,188,136,324
Patter,Animal,165,102,267
Insect,Animal,0,14,14
Cricket,Animal,0,1,1
Mosquito,Animal,0,5,5
"Fly, housefly",Animal,1,30,31
Buzz,Animal,1,2,3
"Bee, wasp, etc.",Animal,0,11,11
Frog,Animal,99,52,151
Croak,Animal,91,48,139
Snake,Animal,44,8,52
Rattle,Animal,116,120,236
Whale vocalization,Animal,7,12,19
Music,Music,84,1061,1145
Musical instrument,Music,34,79,113
Plucked string instrument,Music,0,1,1
Guitar,Music,1,7,8
Electric guitar,Music,0,1,1
Bass guitar,Music,0,2,2
Acoustic guitar,Music,1,0,1
"Steel guitar, slide guitar",Music,0,2,2
Tapping (guitar technique),Music,1,3,4
Strum,Music,0,1,1
Banjo,Music,1,4,5
Sitar,Music,14,55,69
Mandolin,Music,1,4,5
Zither,Music,0,0,0
Ukulele,Music,0,21,21
Keyboard (musical),Music,0,7,7
Piano,Music,0,9,9
Electric piano,Music,0,3,3
Organ,Music,0,41,41
Electronic organ,Music,0,7,7
Hammond organ,Music,0,25,25
Synthesizer,Music,1,67,68
Sampler,Music,37,320,357
Harpsichord,Music,0,0,0
Percussion,Music,15,63,78
Drum kit,Music,0,12,12
Drum machine,Music,0,18,18
Drum,Music,1,31,32
Snare drum,Music,0,11,11
