Year,GDP,Government Debt,Social Spending,Household Spending,Unemployment Rate,Hours Worked,Average Annual Wages,Involuntary Part-Time Employment,Temporary Employment 15-24,Temporary Employment 25-54,Temporary Employment 55-64
2000,26607.7163,59.3955,26.2090,57.1376,7.7556,1452.0000,40664.0000,4.3,52.4100,7.5300,4.3700
2001,27683.0910,58.5430,26.3110,57.3375,7.8360,1441.9000,41087.0000,4.4,52.0800,7.1100,4.3600
2002,28399.3848,60.9694,26.9440,56.8382,8.6539,1430.9000,41304.0000,4.4,51.4200,6.7000,4.3400
2003,29324.5113,64.4336,27.3740,57.6708,9.6371,1424.8000,41236.0000,5.3,52.9500,6.8600,4.2000
2004,30667.7049,67.3675,26.7530,57.3933,9.7937,1422.2000,41224.0000,5.9,55.5200,6.9900,3.9300
2005,32143.6304,69.8742,26.9860,57.7698,11.1677,1411.3000,41121.0000,7.8,58.2300,8.5600,4.4700
2006,34672.0610,68.0264,25.7910,57.0013,10.2527,1424.7000,41145.0000,8.6,57.5400,9.0400,4.5000
2007,36737.3559,63.9796,24.8100,55.1202,8.6615,1424.4000,41079.0000,8.4,57.4200,9.1300,4.5100
2008,38378.3086,67.8369,25.0100,55.2725,7.5278,1418.4000,41352.0000,8.8,56.7500,9.4400,4.4500
2009,37082.4982,75.2882,27.6020,57.3310,7.7432,1372.7000,41518.0000,8.2,57.3100,9.3700,4.4700
2010,39562.8230,83.8070,26.8190,56.1174,7.0669,1389.9000,41643.0000,8.1,57.2200,9.7500,4.5900
2011,42089.4573,83.2592,25.5450,55.8261,5.8274,1393.1000,42415.0000,6.3,56.0200,9.9100,4.3700
2012,42730.1933,86.1639,25.4450,55.9830,5.3808,1374.2000,42893.0000,6,53.6700,9.5500,4.2100
2013,43108.3088,81.5153,25.5820,55.9360,5.2320,1362.5000,43326.0000,6.3,52.9100,9.3900,3.7500
2014,44802.4795,74.70000,25.7950,55.2498,4.9802,1371.0000,43872.0000,5.7,53.4300,9.3000,3.5700
