town,num_tested,num_0_4,pct_0_4,num_5,pct_5,num_10,ct_10,num_15,pct_15,num_20,pct_20
ANDOVER,30,30,100,0,0,0,0,0,0,0,0
ANSONIA,519,491,94.6,28,5.4,7,1.3,4,0.8,3,0.6
ASHFORD,71,71,100,0,0,0,0,0,0,0,0
AVON,261,258,98.9,3,1.1,1,0.4,1,0.4,0,0
BARKHAMSTED,38,37,97.4,1,2.6,0,0,0,0,0,0
BEACON FALLS,79,78,98.7,1,1.3,1,1.3,0,0,0,0
BERLIN,231,228,98.7,3,1.3,2,0.9,0,0,0,0
BETHANY,57,56,98.2,1,1.8,0,0,0,0,0,0
BETHEL,302,299,99,3,1,1,0.3,1,0.3,1,0.3
BETHLEHEM,45,45,100,0,0,0,0,0,0,0,0
BLOOMFIELD,329,327,99.4,2,0.6,0,0,0,0,0,0
BOLTON,60,59,98.3,1,1.7,0,0,0,0,0,0
BOZRAH,22,21,95.5,1,4.5,0,0,0,0,0,0
BRANFORD,382,378,99,4,1,2,0.5,2,0.5,2,0.5
BRIDGEPORT,6086,5794,95.2,292,4.8,72,1.2,29,0.5,17,0.3
BRIDGEWATER,13,11,84.6,2,15,1,7.7,0,0,0,0
BRISTOL,1148,1118,97.4,30,2.6,11,1,6,0.5,3,0.3
BROOKFIELD,220,220,100,0,0,0,0,0,0,0,0
BROOKLYN,121,115,95,6,4.9,2,1.7,0,0,0,0
BURLINGTON,128,127,99.2,1,0.8,1,0.8,0,0,0,0
CANAAN,12,11,91.7,1,8.3,0,0,0,0,0,0
CANTERBURY,72,72,100,0,0,0,0,0,0,0,0
CANTON,118,116,98.3,2,1.7,1,0.8,0,0,0,0
CHAPLIN,25,25,100,0,0,0,0,0,0,0,0
CHESHIRE,348,347,99.7,1,0.3,1,0.3,0,0,0,0
CHESTER,52,50,96.2,2,3.8,0,0,0,0,0,0
CLINTON,171,171,100,0,0,0,0,0,0,0,0
COLCHESTER,143,142,99.3,1,0.7,1,0.7,0,0,0,0
COLEBROOK,10,10,100,0,0,0,0,0,0,0,0
COLUMBIA,51,50,98,1,2,0,0,0,0,0,0
CORNWALL,11,11,100,0,0,0,0,0,0,0,0
COVENTRY,211,207,98.1,4,1.9,0,0,0,0,0,0
CROMWELL,261,260,99.6,1,0.4,0,0,0,0,0,0
DANBURY,2164,2117,97.8,47,2.2,11,0.5,4,0.2,2,0.1
DARIEN,450,450,100,0,0,0,0,0,0,0,0
DEEP RIVER,53,52,98.1,1,1.9,0,0,0,0,0,0
DERBY,253,242,95.7,11,4.3,2,0.8,0,0,0,0
DURHAM,97,97,100,0,0,0,0,0,0,0,0
EAST GRANBY,78,76,97.4,2,2.5,2,2.6,0,0,0,0
EAST HADDAM,123,121,98.4,2,1.6,1,0.8,1,0.8,1,0.8
EAST HAMPTON,192,191,99.5,1,0.5,0,0,0,0,0,0
EAST HARTFORD,1229,1203,97.9,26,2.1,9,0.7,5,0.4,3,0.2
EAST HAVEN,493,485,98.4,8,1.6,2,0.4,0,0,0,0
EAST LYME,241,239,99.2,2,0.8,0,0,0,0,0,0
EAST WINDSOR,194,185,95.4,9,4.6,1,0.5,0,0,0,0
EASTFORD,18,17,94.4,1,5.6,0,0,0,0,0,0
EASTON,88,88,100,0,0,0,0,0,0,0,0
ELLINGTON,261,256,98.1,5,1.9,2,0.8,1,0.4,1,0.4
ENFIELD,660,646,97.9,14,2.1,2,0.3,2,0.3,0,0
ESSEX,61,60,98.4,1,1.6,0,0,0,0,0,0
FAIRFIELD,1061,1056,99.5,5,0.5,1,0.1,0,0,0,0
FARMINGTON,394,392,99.5,2,0.5,0,0,0,0,0,0
FRANKLIN,23,23,100,0,0,0,0,0,0,0,0
GLASTONBURY,432,428,99.1,4,0.9,1,0.2,1,0.2,1,0.2
GOSHEN,30,30,100,0,0,0,0,0,0,0,0
GRANBY,113,113,100,0,0,0,0,0,0,0,0
