yearmonth	rate
1999-01	1.1591
1999-02	1.1203
1999-03	1.0886
1999-04	1.0701
1999-05	1.063
1999-06	1.0377
1999-07	1.037
1999-08	1.0605
1999-09	1.0497
1999-10	1.0706
1999-11	1.0328
1999-12	1.011
2000-01	1.0131
2000-02	0.9834
2000-03	0.9643
2000-04	0.9449
2000-05	0.9059
2000-06	0.9505
2000-07	0.9386
2000-08	0.9045
2000-09	0.8695
2000-10	0.8525
2000-11	0.8552
2000-12	0.8983
2001-01	0.9376
2001-02	0.9205
2001-03	0.9083
2001-04	0.8925
2001-05	0.8753
2001-06	0.853
2001-07	0.8615
2001-08	0.9014
2001-09	0.9114
2001-10	0.905
2001-11	0.8883
2001-12	0.8912
2002-01	0.8832
2002-02	0.8707
2002-03	0.8766
2002-04	0.886
2002-05	0.917
2002-06	0.9561
2002-07	0.9935
2002-08	0.9781
2002-09	0.9806
2002-10	0.9812
2002-11	1.0013
2002-12	1.0194
2003-01	1.0622
2003-02	1.0785
2003-03	1.0797
2003-04	1.0862
2003-05	1.1556
2003-06	1.1674
2003-07	1.1365
2003-08	1.1155
2003-09	1.1267
2003-10	1.1714
2003-11	1.171
2003-12	1.2298
2004-01	1.2638
2004-02	1.264
2004-03	1.2261
2004-04	1.1989
2004-05	1.2
2004-06	1.2146
2004-07	1.2266
2004-08	1.2191
2004-09	1.2224
2004-10	1.2507
2004-11	1.2997
2004-12	1.3406
2005-01	1.3123
2005-02	1.3013
2005-03	1.3185
2005-04	1.2943
2005-05	1.2697
2005-06	1.2155
2005-07	1.2041
2005-08	1.2295
2005-09	1.2234
2005-10	1.2022
2005-11	1.1789
2005-12	1.1861
2006-01	1.2126
2006-02	1.194
2006-03	1.2028
2006-04	1.2273
2006-05	1.2767
2006-06	1.2661
2006-07	1.2681
2006-08	1.281
2006-09	1.2722
2006-10	1.2617
2006-11	1.2888
2006-12	1.3205
2007-01	1.2993
2007-02	1.308
2007-03	1.3246
2007-04	1.3513
2007-05	1.3518
2007-06	1.3421
2007-07	1.3726
2007-08	1.3626
2007-09	1.391
2007-10	1.4233
2007-11	1.4683
2007-12	1.4559
2008-01	1.4728
2008-02	1.4759
2008-03	1.552
2008-04	1.5754
2008-05	1.5554
2008-06	1.5562
2008-07	1.5759
2008-08	1.4955
2008-09	1.4342
2008-10	1.3266
2008-11	1.2744
2008-12	1.3511
2009-01	1.3244
2009-02	1.2797
2009-03	1.305
2009-04	1.3199
2009-05	1.3646
2009-06	1.4014
2009-07	1.4092
2009-08	1.4266
2009-09	1.4575
2009-10	1.4821
2009-11	1.4908
2009-12	1.4579
2010-01	1.4266
2010-02	1.368
2010-03	1.357
2010-04	1.3417
2010-05	1.2563
2010-06	1.2223
2010-07	1.2811
2010-08	1.2903
2010-09	1.3103
2010-10	1.3901
2010-11	1.3654
2010-12	1.3221
2011-01	1.3371
2011-02	1.3656
2011-03	1.402
2011-04	1.446
2011-05	1.4335
2011-06	1.4403
2011-07	1.4275
2011-08	1.4333
2011-09	1.3747
2011-10	1.3732
2011-11	1.3558
2011-12	1.3155
2012-01	1.291
2012-02	1.3238
2012-03	1.3208
2012-04	1.316
2012-05	1.2806
2012-06	1.2541
2012-07	1.2278
2012-08	1.2406
2012-09	1.2885
2012-10	1.2974
2012-11	1.2837
2012-12	1.3119
2013-01	1.3304
2013-02	1.3347
2013-03	1.2953
2013-04	1.3025
2013-05	1.2983
2013-06	1.3197
2013-07	1.3088
2013-08	1.3314
2013-09	1.3364
2013-10	1.3646
2013-11	1.3491
2013-12	1.3708
2014-01	1.3624
