count,action_taken,county_name,state_name,race
700,1,,,1
3435,3,,,1
5,1,,Alabama,1
69,3,,Alabama,1
127,1,Autauga County,Alabama,1
72,3,Autauga County,Alabama,1
160,1,Baldwin County,Alabama,1
124,3,Baldwin County,Alabama,1
28,1,Barbour County,Alabama,1
52,3,Barbour County,Alabama,1
21,1,Bibb County,Alabama,1
29,3,Bibb County,Alabama,1
27,1,Blount County,Alabama,1
11,3,Blount County,Alabama,1
23,1,Bullock County,Alabama,1
59,3,Bullock County,Alabama,1
36,1,Butler County,Alabama,1
63,3,Butler County,Alabama,1
164,1,Calhoun County,Alabama,1
161,3,Calhoun County,Alabama,1
61,1,Chambers County,Alabama,1
79,3,Chambers County,Alabama,1
10,1,Cherokee County,Alabama,1
12,3,Cherokee County,Alabama,1
31,1,Chilton County,Alabama,1
47,3,Chilton County,Alabama,1
22,1,Choctaw County,Alabama,1
36,3,Choctaw County,Alabama,1
58,1,Clarke County,Alabama,1
55,3,Clarke County,Alabama,1
10,1,Clay County,Alabama,1
16,3,Clay County,Alabama,1
2,1,Cleburne County,Alabama,1
5,3,Cleburne County,Alabama,1
100,1,Coffee County,Alabama,1
67,3,Coffee County,Alabama,1
95,1,Colbert County,Alabama,1
59,3,Colbert County,Alabama,1
20,1,Conecuh County,Alabama,1
20,3,Conecuh County,Alabama,1
13,1,Coosa County,Alabama,1
14,3,Coosa County,Alabama,1
21,1,Covington County,Alabama,1
27,3,Covington County,Alabama,1
18,1,Crenshaw County,Alabama,1
18,3,Crenshaw County,Alabama,1
20,1,Cullman County,Alabama,1
13,3,Cullman County,Alabama,1
59,1,Dale County,Alabama,1
55,3,Dale County,Alabama,1
113,1,Dallas County,Alabama,1
117,3,Dallas County,Alabama,1
25,1,DeKalb County,Alabama,1
7,3,DeKalb County,Alabama,1
146,1,Elmore County,Alabama,1
154,3,Elmore County,Alabama,1
49,1,Escambia County,Alabama,1
61,3,Escambia County,Alabama,1
97,1,Etowah County,Alabama,1
93,3,Etowah County,Alabama,1
12,1,Fayette County,Alabama,1
13,3,Fayette County,Alabama,1
11,1,Franklin County,Alabama,1
13,3,Franklin County,Alabama,1
23,1,Geneva County,Alabama,1
16,3,Geneva County,Alabama,1
25,1,Greene County,Alabama,1
35,3,Greene County,Alabama,1
57,1,Hale County,Alabama,1
40,3,Hale County,Alabama,1
16,1,Henry County,Alabama,1
23,3,Henry County,Alabama,1
176,1,Houston County,Alabama,1
163,3,Houston County,Alabama,1
18,1,Jackson County,Alabama,1
21,3,Jackson County,Alabama,1
2105,1,Jefferson County,Alabama,1
1670,3,Jefferson County,Alabama,1
5,1,Lamar County,Alabama,1
11,3,Lamar County,Alabama,1
57,1,Lauderdale County,Alabama,1
46,3,Lauderdale County,Alabama,1
38,1,Lawrence County,Alabama,1
39,3,Lawrence County,Alabama,1
365,1,Lee County,Alabama,1
286,3,Lee County,Alabama,1
197,1,Limestone County,Alabama,1
91,3,Limestone County,Alabama,1
32,1,Lowndes County,Alabama,1
57,3,Lowndes County,Alabama,1
41,1,Macon County,Alabama,1
98,3,Macon County,Alabama,1
1100,1,Madison County,Alabama,1
586,3,Madison County,Alabama,1
59,1,Marengo County,Alabama,1
70,3,Marengo County,Alabama,1
6,1,Marion County,Alabama,1
4,3,Marion County,Alabama,1
35,1,Marshall County,Alabama,1
26,3,Marshall County,Alabama,1
838,1,Mobile County,Alabama,1
753,3,Mobile County,Alabama,1
32,1,Monroe County,Alabama,1
46,3,Monroe County,Alabama,1
1066,1,Montgomery County,Alabama,1
757,3,Montgomery County,Alabama,1
124,1,Morgan County,Alabama,1
115,3,Morgan County,Alabama,1
13,1,Perry County,Alabama,1
30,3,Perry County,Alabama,1
29,1,Pickens County,Alabama,1
35,3,Pickens County,Alabama,1
51,1,Pike County,Alabama,1
47,3,Pike County,Alabama,1
18,1,Randolph County,Alabama,1
28,3,Randolph County,Alabama,1
255,1,Russell County,Alabama,1
141,3,Russell County,Alabama,1
515,1,Shelby County,Alabama,1
260,3,Shelby County,Alabama,1
127,1,St. Clair County,Alabama,1
100,3,St. Clair County,Alabama,1
24,1,Sumter County,Alabama,1
35,3,Sumter County,Alabama,1
125,1,Talladega County,Alabama,1
229,3,Talladega County,Alabama,1
44,1,Tallapoosa County,Alabama,1
99,3,Tallapoosa County,Alabama,1
530,1,Tuscaloosa County,Alabama,1
386,3,Tuscaloosa County,Alabama,1
26,1,Walker County,Alabama,1
45,3,Walker County,Alabama,1
10,1,Washington County,Alabama,1
50,3,Washington County,Alabama,1
19,1,Wilcox County,Alabama,1
32,3,Wilcox County,Alabama,1
2,1,Winston County,Alabama,1
2,3,Winston County,Alabama,1
14,3,,Alaska,1
1,1,Aleutians East Borough,Alaska,1
2,3,Aleutians East Borough,Alaska,1
1,1,Aleutians West Census Area,Alaska,1
1,3,Aleutians West Census Area,Alaska,1
943,1,Anchorage Municipality,Alaska,1
247,3,Anchorage Municipality,Alaska,1
22,1,Bethel Census Area,Alaska,1
11,3,Bethel Census Area,Alaska,1
2,1,Bristol Bay Borough,Alaska,1
3,3,Bristol Bay Borough,Alaska,1
1,1,Denali Borough,Alaska,1
13,1,Dillingham Census Area,Alaska,1
3,3,Dillingham Census Area,Alaska,1
140,1,Fairbanks North Star Borough,Alaska,1
44,3,Fairbanks North Star Borough,Alaska,1
4,1,Haines Borough,Alaska,1
1,3,Haines Borough,Alaska,1
2,1,Hoonah-Angoon Census Area,Alaska,1
69,1,Juneau City and Borough,Alaska,1
16,3,Juneau City and Borough,Alaska,1
77,1,Kenai Peninsula Borough,Alaska,1
12,3,Kenai Peninsula Borough,Alaska,1
23,1,Ketchikan Gateway Borough,Alaska,1
9,3,Ketchikan Gateway Borough,Alaska,1
39,1,Kodiak Island Borough,Alaska,1
14,3,Kodiak Island Borough,Alaska,1
1,3,Lake and Peninsula Borough,Alaska,1
211,1,Matanuska-Susitna Borough,Alaska,1
45,3,Matanuska-Susitna Borough,Alaska,1
14,1,Nome Census Area,Alaska,1
11,3,Nome Census Area,Alaska,1
11,1,North Slope Borough,Alaska,1
6,3,North Slope Borough,Alaska,1
9,1,Northwest Arctic Borough,Alaska,1
3,3,Northwest Arctic Borough,Alaska,1
1,1,Petersburg Census Area,Alaska,1
7,1,Prince of Wales-Hyder Census Area,Alaska,1
3,3,Prince of Wales-Hyder Census Area,Alaska,1
11,1,Sitka City and Borough,Alaska,1
3,3,Sitka City and Borough,Alaska,1
5,1,Southeast Fairbanks Census Area,Alaska,1
1,3,Southeast Fairbanks Census Area,Alaska,1
13,1,Valdez-Cordova Census Area,Alaska,1
1,3,Valdez-Cordova Census Area,Alaska,1
1,1,Wade Hampton Census Area,Alaska,1
1,3,Wade Hampton Census Area,Alaska,1
3,1,Wrangell City and Borough,Alaska,1
1,3,Wrangell City and Borough,Alaska,1
1,1,Yakutat City and Borough,Alaska,1
