Oid,New_house,New_renter,Previous_renter,House_value_divided_by_wealth,Rent_divided _by_welth,Income_divided_by_wealth,Respoders_networth,Responder_age,white,married,kids,Location
1,0,0,0,0.628,0,0.174,136960.6,46,1,1,0,South
2,1,0,0,5,0,0.708,32165,34,1,1,2,West
3,1,0,0,2.7,0,0.518,48766.3,27,1,0,0,NE
4,0,0,0,2.229,0,0.306,51879,64,1,1,0,West
5,0,0,0,0.87,0,0.093,47209.9,53,1,0,1,West
6,0,0,0,4.032,0,0.322,115690.2,46,1,1,0,MW
7,0,0,0,0.558,0,0.272,89231.9,29,1,1,1,South
8,0,0,1,0.566,0,0.516,44200.9,56,1,0,0,MW
9,0,0,0,0.747,0,0.534,62462.4,37,1,1,3,NE
10,0,0,0,2.683,0,0.337,79374.9,43,0,0,0,South
11,0,0,0,2.49,0,0.296,163418.9,59,1,0,0,MW
12,0,0,1,0,0.331,0.811,14422.4,39,1,0,0,MW
13,0,0,0,1.587,0,0.128,107389.6,42,1,0,0,West
14,0,0,0,2.964,0,0.275,59453.4,39,0,0,2,West
15,0,0,0,0.514,0,0.087,174832.3,76,1,1,0,West
16,0,0,0,1.252,0,0.452,90269.5,49,1,1,0,West
17,0,0,0,1.803,0,0.42,24590.7,53,1,1,0,West
18,0,0,0,2.552,0,0.665,20751.6,29,1,1,2,West
19,0,0,0,1.887,0,0.515,31957.5,53,1,1,0,South
20,0,0,0,0.451,0,0.455,76054.7,41,1,1,2,West
21,0,0,0,0.615,0,0.574,23864.4,24,1,1,0,West
22,0,0,0,0.403,0,0.254,152316.8,49,1,1,1,West
23,1,0,0,0.767,0,0.333,98570.2,45,1,1,0,West
24,1,0,0,1.071,0,0.334,108738.5,38,1,1,1,West
25,0,0,0,1.175,0,0.048,79478.7,74,1,1,0,MW
26,0,0,0,1.212,0,0.497,47728.7,51,1,1,0,South
27,0,1,1,0,0.677,0.69,18676.5,28,1,1,2,West
28,0,0,0,0.621,0,0.052,119321.8,75,1,1,1,South
29,0,0,0,3.636,0,0.46,86741.7,33,1,1,2,South
30,0,0,0,3.289,0,0.109,75224.6,63,1,1,0,South
31,1,0,1,2.796,0,0.519,24901.9,27,1,1,0,South
32,1,0,0,2.634,0,0.505,70244.2,30,1,1,0,South
33,0,0,0,0.412,0,0.219,24175.6,71,1,0,0,MW
34,0,1,1,0,0.075,0.304,148892.8,55,1,0,0,South
35,0,0,0,3.182,0,0.718,16601.3,45,1,0,1,West
36,0,0,0,3.478,0,0.539,52397.8,32,1,1,0,West
37,1,0,0,3.405,0,0.493,46691.1,29,1,1,2,South
38,0,0,0,4.679,0,0.547,28534.5,45,1,0,0,South
39,0,0,0,4.55,0,0.83,14318.6,34,1,1,4,West
40,0,0,0,0.372,0,0.351,125651,51,1,1,0,South
41,0,1,0,0,0.044,0.763,27495.9,41,1,1,1,South
42,1,0,0,3.3,0,0.3,152939.4,39,1,1,2,NE
43,0,0,0,0.706,0,0.126,183133,61,1,0,0,West
44,0,0,0,0.718,0,0.079,121915.7,63,1,1,0,West
45,0,0,0,0.863,0,0.207,109257.2,81,0,0,0,South
46,0,1,1,0,0.145,0.326,79893.7,31,1,0,0,NE
47,0,0,0,4.132,0,0.577,36834.1,37,1,1,1,NE
48,0,0,0,0.535,0,0.604,47728.7,51,1,1,0,South
49,0,0,0,1.507,0,0.472,130735.2,42,1,1,3,NE
50,0,0,0,3.087,0,0.612,29571,48,1,1,0,West
51,0,0,0,0.622,0,0.309,163937.7,60,1,1,0,West
52,0,0,0,3.704,0,0.396,126584.8,56,1,1,0,West
53,0,0,0,1.379,0,0.395,145261.3,47,1,1,1,West
54,0,0,0,0.511,0,0.167,88713.1,73,1,0,0,South
55,0,0,0,0.883,0,0.568,56029.4,71,0,1,0,NE
56,0,0,0,1.14,0,0.335,132810.3,47,1,1,1,South
57,0,0,0,0.993,0,0.319,109153.5,57,1,1,0,South
58,0,0,0,2.941,0,0.451,75639.6,31,1,1,2,South
59,0,0,0,2.933,0,0.426,65367.6,63,1,1,0,West
60,0,0,0,1.43,0,0.279,92344.7,56,1,1,2,West
61,0,0,0,1.06,0,0.325,180539,63,1,1,0,West
62,0,0,0,1.015,0,0.208,104795.6,66,1,1,1,West
63,0,0,0,1.176,0,0.074,62462.4,89,1,0,0,South
64,0,0,0,1.078,0,0.424,89231.9,62,1,0,0,South
65,0,0,1,0,0.04,0.613,13281,49,1,0,0,NE
66,0,0,0,0.479,0,0.264,158749.8,57,1,1,0,South
67,1,0,0,4.019,0,0.644,49803.9,38,1,1,2,South
68,0,0,0,0.952,0,0.222,112577.5,35,1,0,0,West
69,1,0,0,4.02,0,0.583,32165,33,1,1,0,West
70,1,0,0,0.411,0,0.851,12969.8,64,1,1,0,South
71,0,0,0,3.797,0,0.263,172238.4,39,1,1,0,MW
72,0,0,0,4.37,0,0.485,102201.7,44,1,1,2,NE
73,0,0,0,1.266,0,0.33,109983.5,27,1,0,0,South
74,1,0,0,2.099,0,0.352,115171.5,28,1,1,0,West
75,0,0,0,1.696,0,0.728,30608.6,42,1,1,2,South
76,1,0,0,0.688,0,0.344,60179.7,43,1,1,2,South
77,1,0,1,2.045,0,0.311,147336.5,43,1,0,0,MW
78,0,0,0,2.653,0,0.606,50841.5,43,1,1,2,West
79,1,0,0,1.743,0,0.497,54784.3,32,1,1,1,West
80,0,0,0,1.846,0,0.551,41503.2,57,1,0,0,West
81,0,0,0,1.047,0,0.429,52190.3,53,1,1,0,West
82,0,0,1,0,0.028,0.384,116209,59,1,0,0,South
83,0,0,0,1.674,0,0.556,28204.6,47,1,1,1,South
84,0,0,0,0.635,0,0.225,89231.9,38,1,1,2,MW
85,0,0,0,1.636,0,0.245,164975.3,53,0,1,0,MW
86,0,1,0,0,0.716,0.604,31750,27,1,1,2,MW
87,0,0,0,4.124,0,0.518,132810.3,34,1,1,2,NE
88,0,0,0,2.273,0,0.571,108946,61,1,1,0,West
89,0,0,1,0,0.418,0.553,17327.6,33,1,1,0,MW
90,0,1,1,0,0.375,0.699,20232.8,29,1,0,0,West
91,0,0,0,0.189,0,0.087,169706.7,57,1,1,0,MW
92,0,0,0,3.797,0,0.381,123472.1,33,1,1,2,West
93,0,0,1,0,0.232,0.217,63084.9,25,1,0,0,West
94,0,1,0,0,0.796,0.289,59660.9,50,1,0,0,South
95,0,0,0,1.823,0,0.109,170163.2,45,1,0,2,South
96,0,0,0,2.557,0,0.322,104795.6,56,1,0,0,West
97,0,0,0,0,0.097,0.392,46691.1,28,1,1,0,MW
98,0,0,0,4.609,0,0.696,48247.5,37,1,1,2,South
99,1,0,0,1.187,0,0.534,45134.8,44,1,1,2,West
100,1,0,0,3.106,0,0.324,41503.2,44,1,0,1,MW
101,0,0,0,3.077,0,0.565,42540.8,35,1,1,0,West
102,0,0,0,0.577,0,0.553,19921.5,36,1,1,5,West
103,0,0,0,1.027,0,0.058,143912.4,49,1,1,0,South
104,0,1,1,0,0.255,0.273,39428.1,59,0,0,0,MW
105,0,0,0,1.136,0,0.536,114133.9,58,1,1,0,South
106,0,0,0,3.333,0,0.626,63811.2,32,1,1,2,South
107,0,0,0,1.74,0,0.597,28222.2,59,1,0,0,West
108,1,0,1,2.474,0,0.441,78856.1,52,1,1,0,MW
109,0,0,0,0.945,0,0.09,69414.1,79,1,0,0,South
110,0,0,0,0.93,0,0.224,181576.6,58,1,1,0,South
111,0,1,1,0,0.073,0.449,26977.1,27,1,1,1,South
112,0,0,0,1.37,0,0.477,72630.7,39,1,1,5,West
113,0,0,0,3.929,0,0.539,88194.4,37,1,1,2,West
114,0,0,0,2.32,0,0.361,72008.1,54,1,1,0,West
115,0,0,0,1.209,0,0.284,147855.3,39,1,1,2,South
116,1,0,1,1.867,0,0.677,41503.2,56,1,1,0,South
117,0,0,0,0.659,0,0.276,89128.2,59,1,0,0,South
118,0,0,0,2.699,0,0.537,22826.8,54,1,0,0,West
119,0,0,0,0.048,0,0.394,85081.6,30,1,1,2,South
120,0,0,0,1.083,0,0.347,106870.8,38,1,1,2,South
