key,value,date
Microsoft,10,01/08/13
Microsoft,15,01/09/13
Microsoft,35,01/10/13
Microsoft,38,01/11/13
Microsoft,22,01/12/13
Microsoft,16,01/13/13
Microsoft,7,01/14/13
Microsoft,2,01/15/13
Microsoft,17,01/16/13
Microsoft,33,01/17/13
Microsoft,14,01/18/13
Microsoft,32,01/19/13
Microsoft,26,01/20/13
Microsoft,35,01/21/13
Microsoft,40,01/22/13
Microsoft,32,01/23/13
Microsoft,26,01/24/13
Microsoft,22,01/25/13
Microsoft,16,01/26/13
Microsoft,22,01/27/13
Microsoft,12,01/28/13
Google,35,01/08/13
Google,36,01/09/13
Google,37,01/10/13
Google,22,01/11/13
Google,24,01/12/13
Google,26,01/13/13
Google,34,01/14/13
Google,21,01/15/13
Google,18,01/16/13
Google,45,01/17/13
Google,32,01/18/13
Google,35,01/19/13
Google,13,01/20/13
Google,28,01/21/13
Google,27,01/22/13
Google,26,01/23/13
Google,15,01/24/13
Google,3,01/25/13
Google,35,01/26/13
Google,42,01/27/13
Google,42,01/28/13
Samsung,21,01/08/13
Samsung,25,01/09/13
Samsung,27,01/10/13
Samsung,23,01/11/13
Samsung,24,01/12/13
Samsung,21,01/13/13
Samsung,35,01/14/13
Samsung,39,01/15/13
Samsung,24,01/16/13
Samsung,36,01/17/13
Samsung,33,01/18/13
Samsung,43,01/19/13
Samsung,17,01/20/13
Samsung,34,01/21/13
Samsung,28,01/22/13
Samsung,26,01/23/13
Samsung,37,01/24/13
Samsung,41,01/25/13
Samsung,46,01/26/13
Samsung,47,01/27/13
Samsung,41,01/28/13
Lenovo,9,01/08/13
Lenovo,15,01/09/13
Lenovo,35,01/10/13
Lenovo,38,01/11/13
Lenovo,22,01/12/13
Lenovo,16,01/13/13
Lenovo,07,01/14/13
Lenovo,02,01/15/13
Lenovo,17,01/16/13
Lenovo,33,01/17/13
Lenovo,10,01/18/13
Lenovo,32,01/19/13
Lenovo,26,01/20/13
Lenovo,35,01/21/13
Lenovo,22,01/22/13
Lenovo,32,01/23/13
Lenovo,26,01/24/13
Lenovo,22,01/25/13
Lenovo,16,01/26/13
Lenovo,22,01/27/13
Lenovo,12,01/28/13
Sony,12,01/08/13
Sony,15,01/09/13
Sony,35,01/10/13
Sony,38,01/11/13
Sony,22,01/12/13
Sony,16,01/13/13
Sony,7,01/14/13
Sony,25,01/15/13
Sony,17,01/16/13
Sony,33,01/17/13
Sony,4,01/18/13
Sony,32,01/19/13
Sony,26,01/20/13
Sony,35,01/21/13
Sony,27,01/22/13
Sony,32,01/23/13
Sony,26,01/24/13
Sony,22,01/25/13
Sony,16,01/26/13
Sony,22,01/27/13
Sony,33,01/28/13
Yandex,10,01/08/13
Yandex,15,01/09/13
Yandex,35,01/10/13
Yandex,38,01/11/13
Yandex,22,01/12/13
Yandex,16,01/13/13
Yandex,7,01/14/13
Yandex,2,01/15/13
Yandex,17,01/16/13
Yandex,33,01/17/13
Yandex,4,01/18/13
Yandex,32,01/19/13
Yandex,26,01/20/13
Yandex,35,01/21/13
Yandex,28,01/22/13
Yandex,32,01/23/13
Yandex,26,01/24/13
Yandex,22,01/25/13
Yandex,16,01/26/13
Yandex,22,01/27/13
Yandex,11,01/28/13
