MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
210138000,-12.493310,130.875500,0,220,3,2013-11-20T16:09:00
538003142,10.760050,106.795000,0,331,0,2013-11-20T16:10:00
566946000,1.276475,103.776200,4,180,0,2013-11-20T16:12:00
525007025,1.156115,103.716700,29,287,15,2013-11-20T16:06:00
563010630,1.208955,103.670200,157,290,0,2013-11-20T16:11:00
229584000,1.112355,103.513400,132,121,0,2013-11-20T16:09:00
325580000,1.307875,103.652700,0,20,8,2013-11-20T16:09:00
312825000,1.260572,103.692700,7,27,99,2013-11-20T16:09:00
413900365,0.058420,113.881500,58,177,99,2013-11-20T16:10:00
563000520,1.250683,103.636900,50,95,99,2013-11-20T16:08:00
372047903,1.286835,103.946800,0,328,1,2013-11-20T16:07:00
574476000,10.383530,106.827100,104,144,8,2013-11-20T15:34:00
503371000,-12.481170,130.835800,3,307,1,2013-11-20T16:09:00
335440002,1.290968,103.747900,65,43,99,2013-11-20T16:10:00
565470000,10.520450,100.285600,0,0,3,2013-11-20T15:35:00
564256000,1.306520,103.653500,0,163,0,2013-11-20T16:11:00
563007820,1.225595,103.716100,0,84,1,2013-11-20T16:05:00
572628210,1.237028,103.824800,2,121,1,2013-11-20T15:42:00
525261069,-5.899673,105.875300,66,295,8,2013-11-20T16:10:00
457779000,1.290972,103.745000,54,295,99,2013-11-20T16:10:00
563024330,1.235830,103.602900,1,282,15,2013-11-20T16:11:00
355042000,1.235550,103.645700,1,27,1,2013-11-20T16:07:00
228030600,1.272103,103.885200,0,298,1,2013-11-20T16:04:00
529407000,1.306743,103.697300,0,115,99,2013-11-20T16:04:00
564034000,1.208000,103.852400,50,65,1,2013-11-20T16:11:00
564068000,1.234933,103.817400,2,343,0,2013-11-20T16:05:00
565891000,1.269317,103.851700,1,239,0,2013-11-20T16:10:00
525019536,1.303087,103.754600,0,211,5,2013-11-20T16:09:00
353037000,10.758130,106.791700,0,353,5,2013-11-20T16:11:00
565894000,1.209980,103.857500,49,79,5,2013-11-20T16:12:00
565690000,1.236622,103.793400,3,205,5,2013-11-20T15:47:00
574491000,10.469870,106.941600,97,170,5,2013-11-20T16:09:00
356195000,1.201850,103.655000,50,214,0,2013-11-20T16:08:00
566575000,-16.931800,145.779800,1,290,5,2013-11-20T16:09:00
563004680,1.272652,103.747100,50,143,99,2013-11-20T15:30:00
548394100,10.311670,123.944300,0,150,2,2013-11-20T16:07:00
566378000,1.238895,103.599000,1,184,1,2013-11-20T16:08:00
357269000,1.274353,103.883900,1,148,1,2013-11-20T16:11:00
565695000,1.236295,103.595400,2,11,1,2013-11-20T16:11:00
477958800,-5.864594,105.598000,120,303,0,2013-11-20T16:00:00
566209000,1.265343,103.841500,1,22,0,2013-11-20T16:09:00
574012729,10.756890,106.798900,0,35,0,2013-11-20T16:09:00
232136000,1.175308,103.714100,1,191,1,2013-11-20T15:57:00
211433000,1.260988,103.850900,0,138,5,2013-11-20T16:11:00
563016990,1.227625,103.610700,9,130,1,2013-11-20T16:07:00
566108000,1.306183,103.714600,0,214,0,2013-11-20T16:11:00
209469000,1.308438,103.645300,0,0,5,2013-11-20T16:11:00
566770000,1.242070,103.643800,1,339,1,2013-11-20T16:08:00
563003010,1.258500,103.594700,0,257,5,2013-11-20T15:54:00
566864000,-10.759540,142.697400,147,114,0,2013-11-20T16:12:00
235088261,-12.492370,130.864500,1,223,0,2013-11-20T16:09:00
574447000,1.231267,103.803500,1,238,1,2013-11-20T16:05:00
574460000,10.602660,106.783400,0,336,5,2013-11-20T16:01:00
218441000,1.273678,103.761000,0,67,5,2013-11-20T16:06:00
538002289,1.251780,103.688500,0,77,5,2013-11-20T16:10:00
565660000,1.259102,103.842100,0,183,0,2013-11-20T16:09:00
