month,BrusselsNational,Antwerp,Ostende,Charleroi,Liege
01/2009,7932,775,396,843,896
02/2009,7848,787,417,805,930
03/2009,9062,1166,542,909,1018
04/2009,9105,1059,492,1037,1034
05/2009,9445,1183,701,1096,1030
06/2009,9640,1177,683,1138,1103
07/2009,9678,1131,716,1248,1254
08/2009,9127,1186,834,1258,1118
09/2009,9592,1022,612,1181,1144
10/2009,9141,923,571,1215,1174
11/2009,8050,699,493,1235,1107
12/2009,7305,649,512,1194,1137
01/2010,7656,621,424,1268,1081
02/2010,7406,686,476,1158,1114
03/2010,8655,1197,796,1395,1249
04/2010,7033,1094,593,1241,952
05/2010,9108,1004,672,1594,1181
06/2010,9367,1058,822,1638,1260
07/2010,9577,924,825,1780,1272
08/2010,9238,894,741,1805,1191
09/2010,9289,896,801,1584,1270
10/2010,9317,918,683,1655,1209
11/2010,8427,536,388,1492,1156
12/2010,7573,444,542,1386,976
01/2011,8075,624,602,1547,1082
02/2011,7812,695,545,1398,1078
03/2011,9050,1257,806,1560,1215
04/2011,8938,1164,842,1621,1078
05/2011,9758,1249,894,1789,1203
06/2011,9301,1174,808,1760,1245
07/2011,9744,1048,752,1845,1294
08/2011,9365,1059,757,1838,1215
09/2011,9802,1172,670,1811,1173
10/2011,9348,1046,695,1826,1116
11/2011,8273,807,471,1446,1138
12/2011,7632,622,540,1476,1019
01/2012,7481,767,480,1478,1001
02/2012,7560,857,459,1452,1028
03/2012,8463,1126,488,1663,1106
04/2012,8618,820,407,1981,959
05/2012,9285,1123,534,2054,1009
06/2012,9408,1055,546,1993,1124
07/2012,9587,964,593,2184,1189
08/2012,9016,1110,715,2195,1110
09/2012,9369,1109,669,2041,1073
10/2012,9074,800,391,2033,1050
11/2012,7889,728,430,1577,1001
12/2012,7033,453,327,1555,861
01/2013,7208,570,250,1576,964
02/2013,7012,660,343,1385,925
03/2013,7897,974,666,1614,979
