name,latitude_deg,longitude_deg,iso_country,municipality,elevation_ft
Lowell Field,59.94919968,-151.695999146,US,Anchor Point,450
Epps Airpark,34.86479949951172,-86.77030181884766,US,Harvest,820
Cordes Airport,34.305599212646484,-112.16500091552734,US,Cordes,3810
Goldstone /Gts/ Airport,35.350498199499995,-116.888000488,US,Barstow,3038
Cass Field,40.62220001220703,-104.34400177001953,US,Briggsdale,4830
Grass Patch Airport,28.64550018310547,-82.21900177001953,US,Bushnell,53
River Oak Airport,27.230899810791016,-80.96920013427734,US,Okeechobee,35
Lt World Airport,33.76750183105469,-84.06829833984375,US,Lithonia,700
Delta Shores Airport,48.145301818847656,-116.21399688720703,US,Clark Fork,2064
Hammer Airport,41.97840118408203,-89.5604019165039,US,Polo,840
Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,US,Kings,820
Hayden Farm Airport,38.72779846191406,-94.93049621582031,US,Gardner,1100
Robbins Roost Airport,37.409400939941406,-84.61969757080078,US,Stanford,1265
Lejeune Airport,30.13629913330078,-92.42939758300781,US,Esterwood,12
Slater Field,38.75709915161133,-75.75379943847656,US,Federalsburg,45
Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,US,Battle Lake,1365
Cooper Flying Service Airport,37.20280075073242,-94.41239929199219,US,Alba,970
Sands Ranch Airport,48.537498474121094,-109.70500183105469,US,Havre,2600
Bucks Airport,39.473201751708984,-75.1852035522461,US,Bridgeton,105
North Raleigh Airport,36.085201263427734,-78.37139892578125,US,Louisburg,348
Weiss Airfield,42.90010070800781,-77.49970245361328,US,West Bloomfield,1000
Exit 3 Airport,41.59090042114258,-84.14219665527344,US,Wauseon,785
Ferrell Field,41.2995,-80.211111,US,Mercer,1301
Thomas Field,40.37779998779297,-77.36530303955078,US,Loysville,815
Mc Kenzie Bridge State Airport,44.183200836199994,-122.088996887,US,Mc Kenzie Bridge,1620
Flying O Airport,34.0093994140625,-80.26719665527344,US,Sumter,150
Ragsdale Road Airport,35.515899658203125,-85.95359802246094,US,Manchester,1100
Alpine Range Airport,32.607601165771484,-97.24199676513672,US,Everman,670
Vaughan Airport,36.57600021,-78.9991684,US,Alton,551
Groundhog Mountain Airport,36.663299560546875,-80.49949645996094,US,Hillsville,2680
Lower Granite State Airport,46.673500061035156,-117.44300079345703,US,Colfax,719
Howell Airport,47.17839813232422,-122.77200317382812,US,Longbranch,150
Northern Lite Airport,44.304298400878906,-89.05010223388672,US,Waupaca,860
Hawks Run Airport,46.25,-117.2490005493164,US,Asotin,2900
Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,US,Beverly,2060
L P Askew Farms Airport,33.03340148925781,-101.93399810791016,US,O'Donnell,3110
Purkeypile Airport,62.943599700927734,-152.27000427246094,US,Purkeypile,1950
Ware Island Airport,32.94599914550781,-86.51390075683594,US,Clanton,344
Grant Airport,43.34170150756836,-85.7750015258789,US,Grant,815
Swansboro Country Airport,38.79990005493164,-120.73400115966797,US,Placerville,2594
Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,US,Orlando,55
Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,US,Geneva,19
The Farm Airport,32.674400329589844,-82.77110290527344,US,Wrightsville,375
Stender Airport,41.66109848022461,-90.74130249023438,US,Maysville,725
Lava Hot Springs Airport,42.60820007324219,-112.03199768066406,US,Lava Hot Springs,5268
Myers Field,39.8849983215332,-86.50669860839844,US,Lizton,950
William E. Koenig Airport,39.01620101928711,-90.31819915771484,US,Dow,670
Hilliard Airpark,30.68630027770996,-81.90570068359375,US,Hilliard,59
Caldwell Municipal Airport,37.03609848022461,-97.5864028930664,US,Caldwell,1157
Flying N Ranch Airport,38.54059982299805,-97.00330352783203,US,Lost Springs,1485
Barham Airport,32.638999938964844,-91.77369689941406,US,Oak Ridge,90
Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,US,Pinckneyville,555
Country Breeze Airport,30.70599937438965,-91.07740020751953,US,Slaughter,125
Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341797,US,Fortine,3141
Topsail Airpark,34.47529983520508,-77.5813980102539,US,Holly Ridge,65
Detour Airport,40.84360122680664,-100.65299987792969,US,Wellfleet,3000
Moore Airfield,43.644500732421875,-72.08699798583984,US,Enfield,835
Champion Ranch Airport,33.008611,-104.540278,US,Artesia,3630
Lantana Ranch Airport,38.76390075683594,-119.0270004272461,US,Yerington,4600
Lawrence Airport,35.294498443603516,-98.6364974975586,US,Eakly,1525
Red & White Flying Service Airport,43.119300842285156,-121.04499816894531,US,Silver Lake,4346
Bierly(Personal Use) Airport,40.930599212646484,-77.73889923095703,US,Bellefonte,960
Nort's Resort Airport,41.59590148925781,-76.02960205078125,US,Meshoppen,1040
York Airport,35.032100677490234,-81.25279998779297,US,York,779
Smith Field,32.73759841918945,-96.4280014038086,US,Forney,505
Colonial Air Park,34.99589920043945,-89.73059844970703,US,Collierville,370
Mims Farm Ultralightport,32.38759994506836,-96.87750244140625,US,Waxahachie,610
Duckwater Airport,38.851600646972656,-115.63400268554688,US,Duckwater,5124
La Sal Junction Airport,38.30830001831055,-109.39600372314453,US,La Sal,6000
Pickles Airport,39125,-77.9250030518,US,Berryville,500
Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,US,Tomah,930
Keyhole Airport,44.347198486328125,-104.81099700927734,US,Moorcroft,4250
Rustic Wilderness Airport,61.87689971923828,-150.09800720214844,US,Willow,190
Bass Field,30.37150001525879,-87.76439666748047,US,Foley,61
Three Rivers Airport,34.8224449158,-92.4444198608,US,Little Rock,264
Winchester Farm Airstrip,32.376399993896484,-109.93699645996094,US,Willcox,4200
Shannon Field,34.129600524902344,-90.52400207519531,US,Clarksdale,165
Conover Air Lodge Airport,34.76110076904297,-119.05899810791016,US,Frazier Park,5160
Mc Cullough Airport,37.64329910279999,-106.04699707,US,Monte Vista,7615
Osborn Airfield,28.52669906616211,-81.87480163574219,US,Groveland,121
Cuchens Airport,30.642778,-86.123889,US,Defuniak Springs,215
Doug Bolton Field,34.202598571777344,-83.42900085449219,US,Commerce,884
Etowah Fields Airport,34.17530059814453,-84.92440032958984,US,Euharlee,710
Morgan Ranch Airport,44.55550003051758,-115.30500030517578,US,Cascade,5634
King Ultralightport,40.06230163574219,-86.21050262451172,US,Westfield,925
Diamond P. Field,40.208900451660156,-85.54080200195312,US,Muncie,904
Jmj Landing Airport,39.222198486328125,-96.0552978515625,US,St Marys,1170
Old Acton Airfield,43.53730010986328,-70.92939758300781,US,Acton,700
Fairplains Airpark,43.157100677490234,-85.14849853515625,US,Greenville,850
Greenbush Municipal Airport,48.68330001831055,-96.19200134277344,US,Greenbush,1070
Troy Airpark,39.04999923706055,-91.03350067138672,US,Troy,650
Watts Field,34.100101470947266,-90.8468017578125,US,Rochdale,153
Barrett Field,47.23740005493164,-111.74199676513672,US,Cascade,3350
Timber Line Airpark,36.65420150756836,-93.79740142822266,US,Cassville,1550
Benes Service Airport,41.074501037597656,-96.90450286865234,US,Valparaiso,1550
Paiute Meadows Airport,41.30329895019531,-118.5979995727539,US,Winnemucca,4443
Zimmerman Airport,41.376399993896484,-83.08329772949219,US,Fremont,614
Murtha Airport,41.801998138427734,-80.56539916992188,US,Conneaut,950
Rowena Dell Airport,45.68149948120117,-121.31600189208984,US,The Dalles,705
Cuylers Airport,18.45330047607422,-66.36689758300781,PR,Vega Baja,15
Hughes Ultralightport,41.90060043334961,-77.23030090332031,US,Tioga,1700
Harpers Airport,32.75849914550781,-81.22480010986328,US,Estill,111
Wise River Airport,45.769100189208984,-112.98200225830078,US,Wise River,5830
Ellis Field,35.780601501464844,-86.58419799804688,US,Murfreesboro,840
The Palms At Kitty Hawk Airport,33.3704032898,-101.92288208,US,New Home,3235
Lucin Airport,41.36629867553711,-113.84300231933594,US,Lucin,4412
The Greenhouse Airport,38.435699462890625,-77.8572006225586,US,Culpeper,320
Cawleys South Prairie Airport,47.15230178833008,-122.09400177001953,US,South Prairie,690
Beer Airport,45.031898498535156,-92.65579986572266,US,Hudson,920
Fowler Field,48.74580001831055,-119.31900024414062,US,Tonasket,2150
Seidel Ranch Airport,30.1476993560791,-97.66280364990234,US,Elroy,510
Thompson International Aviation Airport,31.433399200439453,-110.08399963378906,US,Hereford,4275
Kugel-Strong Airport,40.2125015259,-104.744003296,US,Platteville,4950
Lake Persimmon Airstrip,27.353099822998047,-81.40809631347656,US,Lake Placid,70
Tharpe Airport,30.828800201416016,-85.73100280761719,US,Bonifay,115
Clarks Dream Strip,39.64419937133789,-83.01820373535156,US,Circleville,680
East Field,41.58190155029297,-92.4613037109375,US,Montezuma,954
Flying Y Ranch Airport,44.7943000793457,-116.53299713134766,US,Council,3180
Davis Field Ultralightport,37.9620018005,-87.7789001465,US,Mount Vernon,465
Wix Airport,41.40230178833008,-87.81670379638672,US,Monee,750
Heinzman Airport,40.18000030517578,-86.01249694824219,US,Arcadia,850
Flying H Farms Airport,37.79169845581055,-87.54139709472656,US,Henderson,385
Hadley Airport,42.39310073852539,-72.552001953125,US,Hadley,150
Maple Ridge Airport,44.08420181274414,-70.6272964477539,US,Harrison,556
Nauerth Land Ranch Airport,43.62519836425781,-95.22470092773438,US,Lakefield,1435
Cahoochie Airport,37.884498596191406,-93.13159942626953,US,Urbana,1010
Cascade Airport,47.27080154418945,-111.72200012207031,US,Cascade,3580
Mc Donnell Airport,38.4925003052,-94.41249847410002,US,Archie,874
Utirik Airport,11.222000122070312,169.8520050048828,MH,Utirik Island,4
Pilots Ridge Airport,34.10430145263672,-77.9041976928711,US,Carolina Beach,35
Olafson Brothers Airport,48.626399993896484,-97.8290023803711,US,Edinburg,1045
Hyde Ranch Airport,41.5463981628418,-99.3311996459961,US,Comstock,2430
Llama Ranch Airport,40.58440017700195,-115.2979965209961,US,Ruby Valley,6120
Talmage Field,40.95840072631836,-72.716796875,US,Riverhead,95
Gibbs Field,41.418399810791016,-83.01740264892578,US,Fremont,580
Sahoma Lake Airport,36.04119873046875,-96.1613998413086,US,Sapulpa,890
Powwatka Ridge Airport,45.85540008544922,-117.48400115966797,US,Troy,3340
Ziggy's Field,40.849998474121094,-77.90560150146484,US,Bellefonte,1050
Sandy River Airport,45.401798248291016,-122.22899627685547,US,Sandy,704
Gay Hill Farm Airport,30.262699127197266,-96.50019836425781,US,Gay Hill,505
Barronena Ranch Airport,27.491100311279297,-98.66950225830078,US,Hebbronville,600
A Z Minerals Corporation Airport,37.12080001831055,-109.98600006103516,US,Mexican Hat,5315
Spangle Field,47.408199310302734,-117.37200164794922,US,Spangle,2440
Zink Airport,44.02750015258789,-88.88089752197266,US,Berlin,880
Aerostone Ranch Airport,45875,-120.66999816894531,US,Goldendale,2320
Creekside Airport,31.318099975585938,-100.75399780273438,US,Mertzon,2100
Chinle Airport,36.15420150756836,-109.5510025024414,US,Chinle,5515
Gray Butte Field,34.563899993896484,-117.67500305175781,US,Palmdale,3020
Hunt's Sky Ranch Airport,33.08169937133789,-116.44100189208984,US,Julian,2310
De Leon Municipal Airport,32.09880065917969,-98.52529907226562,US,De Leon,1293
Richards Field,25.558700561523438,-80.51509857177734,US,Homestead,9
Cross Creek Farms Airport,29.23940086364746,-81.22200012207031,US,Ormond,30
Columbus Southwest Airport,39.91120147705078,-83.18879699707031,US,Columbus,920
Middlekoop Airport,41.08829879760742,-92.05460357666016,US,Packwood,801
Lanham Field,43.87770080566406,-116.53700256347656,US,Emmett,2343
Turkey Run Airport,41.13059997558594,-84.99410247802734,US,New Haven,765
Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842,US,Hudson,755
Van Gorder Airport,40.1786003112793,-88.56900024414062,US,Mansfield,728
Natchez Trace Farm Airport,37.135101318359375,-85.78939819335938,US,Hiseville,710
Brunner Airport,42.13610076904297,-88.28759765625,US,West Dundee,750
Beech Hill Airport,44.66669845581055,-69.8938980102539,US,Mercer,625
Rapids Airway Airport,42.53450012207031,-84.62830352783203,US,Eaton Rapids,880
Helblad Airport,47.985801696777344,-94.68689727783203,US,Kelliher,1195
Airpark Private Airport,39.30120086669922,-91.45149993896484,US,Vandalia,767
Nick's Flying Service Inc Airport,32.939601898199996,-90.8373031616,US,Rolling Fork,100
Pluhar Airport,47.13749777779999,-106.488095,US,Cohagen,2715
Mc Connell Field Airport,41.159999847399995,-101.299003601,US,Sarben,3035
Emmanuel Airport,39.596801757799994,-75.2334976196,US,Elmer,155
Kingston Ranch Airport,35.7555007935,-115.665000916,US,Sandy Valley,2620
Klaverack Airport,42.262298584,-73.6961975098,US,Hudson,250
Bossow Airport,41.2476997375,-81.10070037839999,US,Garrettsville,1080
Collins Landing Strip,44.7499008179,-120.200996399,US,Mitchell,1500
Hensley Airpark,36.183300018299995,-82.67890167239999,US,Chuckey,1430
Pocock Airport,31.7322006226,-97.36889648440001,US,China Spring,565
Navajo Mountain Airport,37.0083007812,-110.794998169,US,Navajo Mountain Trdng Post,6160
Saguache Municipal Airport,38.0990833,-106.1743889,US,Saguache,7826
Manquin Flight Park Ultralightport,37.7144012451,-77.21179962160001,US,Manquin,50
Lightning Bolt Field Airport,44.4011001587,-72.26360321039999,US,Cabot,2156
Field of Dreams Airport,46.0228004456,-92.895401001,US,Hinckley,1021
Ox Meadows Airport,47.5817985535,-117.43699646,US,Spokane,2345
Dutch Gap Airstrip,42.523399353,-88.0167007446,US,Bristol,760
Stillwater Creek Airport,46.963889,-119.641667,US,Royal City,1510
Wasilla Creek Airpark,61.66830063,-149.1880035,US,Palmer,620
Ozark Skies Airpark,36.000633,-93.57025,US,Kingston,1900
Pope Valley Airport,38.6106987,-122.39099884,US,Pope Valley,618
Rancho De Aereo Airport,40.2149839,-104.9844228,US,Mead,4978
Melanie's Airport,30.918899536132812,-86.21829986572266,US,Florala,295
Charlton Strip,26.523099899291992,-81.4083023071289,US,La Belle,36
Raju Airport,32.0713996887207,-84.71440124511719,US,Richland,625
Spotts Field,43.13750076293945,-93.06829833984375,US,Nora Springs,1155
Running Creek Ranch Airport,45.914100646972656,-114.83599853515625,US,Grangeville,2969
Reichhart Airport,41.02870178222656,-84.99720001220703,US,New Haven,795
Classic Landings Airport,41.156700134277344,-88.0167007446289,US,Bonfield,635
Cooper Airport,39.641998291015625,-86.50420379638672,US,Belleville,860
Hardy Airport,39.72589874267578,-89.26399993896484,US,Mount Auburn,605
Darbro Field,37.26620101928711,-95.95919799804688,US,Elk City,945
Cartersville Airport,37.53689957,-84.40720367,US,Berea,1070
Greg's Flying Service Airport,32.26530075073242,-91.69779968261719,US,Baskin,76
Grass Roots Airport,31.252199172973633,-92.47579956054688,US,Alexandria,83
Breezecroft Airport,39.250099182128906,-76.2052001953125,US,Chestertown,20
Drisko Airport,44.65700149536133,-67.55919647216797,US,Jonesboro,70
Mc Kay Airport,41.7221984863,-98.3089981079,US,Spalding,2010
Dorlon Airpark,41.28839874267578,-81.96260070800781,US,Columbia Station,830
Hawk Haven Airport,35.85340118408203,-97.56749725341797,US,Crescent,1075
Peacock Ranch Airport,45.44150161743164,-117.35099792480469,US,Enterprise,3500
Mills Brothers Airport,40.142799377441406,-77.86190032958984,US,Burnt Cabins,1210
Vernonia Airfield,45.85150146484375,-123.24199676513672,US,Vernonia,647
Brandes Air Field,29.809099197387695,-96.26509857177734,US,Sealy,276
Hilde-Griff Field,30.72209930419922,-97.79139709472656,US,Georgetown,950
Dew Drop Airport,33.12929916381836,-97.35859680175781,US,Justin,750
Circle 'A' Ranch Airport,32.12919998168945,-97.4041976928711,US,Blum,608
Oljato Airport,37.03329849243164,-110.31700134277344,US,Oljato,4838
Blanca Airport,37.41109848022461,-105.552001953125,US,Blanca,7720
Providence Airport,37.22420120239258,-78.4186019897461,US,Farmville,445
Ames Private Airport,42.651100158691406,-88.74590301513672,US,Darien,958
Flat Creek Field,48.702222,-118.0475,US,Kettle Falls,1570
Johnson Memorial Airport,33.07929992675781,-91.54319763183594,US,Wilmot,105
Henning Municipal Airport,46.30379867553711,-95.43949890136719,US,Henning,1455
June Lake Airpark,61.627619,-149.575331,US,Wasilla,425
Bondair Airport,35.544498443603516,-92.18489837646484,US,Higden,499
Jecan Airport,37.38750076293945,-103.69100189208984,US,Branson,5100
William P Gwinn Airport,26.90839958190918,-80.32890319824219,US,Jupiter,28
Grass Roots Airpark,28.641700744628906,-81.88500213623047,US,Mascotte,105
Rich Field,41.841400146484375,-91.83429718017578,US,Walford,880
Larkin Airport,43.46269989013672,-116.35900115966797,US,Kuna,2750
Humm Airport,41.5994987487793,-88.86990356445312,US,Earlville,708
Ellis Fly-In Airport,39.282798767089844,-87.30359649658203,US,Blackhawk,575
Sinele Strip,40.5463981628418,-91.27429962158203,US,Nauvoo,695
Pike Field Airport,47.6519012451,-92.41670227050001,US,Virginia,1463
Noahs Ark Airport,39.23059844970703,-94.80439758300781,US,Waldron,755
Torgerson Airport,48.55830001831055,-112.10900115966797,US,Ethridge,3541
Randall Airport,41.43199920654297,-74.3916015625,US,Middletown,523
Tailwinds Airport,34.82749938964844,-78.9302978515625,US,St. Pauls,163
Fitterer's Strip,46.7489013671875,-101.66899871826172,US,Glen Ullin,2180
Cole Farm Airport,42.92839813232422,-70.97309875488281,US,Kensington,160
Murphy Field,42.84280014038086,-76.44529724121094,US,Auburn,1100
Hal Joy Airfield,41.50979995727539,-80.59120178222656,US,Williamsfield,1160
Green Acres Airport,39.734798431396484,-84.3822021484375,US,New Lebanon,915
Hayden Mountain Airport,45.4650993347168,-123.08000183105469,US,Forest Grove,850
Freefall Oz Airport,42.008399963378906,-78.25810241699219,US,Ceres,1440
Grawunder Field,29.9419002532959,-96.24610137939453,US,Bellville,289
Beyer Farm Airport,37.583900451660156,-97.25309753417969,US,Derby,1340
Glaser Field,30.90850067138672,-97.11689758300781,US,Buckholts,480
Ainsworth Airport,30.312700271606445,-95.02690124511719,US,Cleveland,129
Hunter STOLport,35.69729995727539,-86.95690155029297,US,Columbia,640
