Tujuan,Berangkat,Sampai,Perkiraan Waktu,Transportasi,Biaya,Keterangan
Apato - Tokaigakuen-Mae Station,,6:30 AM,,Sepeda,,
Tokaigakuen-Mae Station - Kumamoto Station,5:31,5:44,15 Menit,Kereta,JR Pass,https://goo.gl/maps/WJmUv2uBLtAQS8nF9
Kumamoto Station - Shin-Tosu Station,6:01,6:37,50 Menit,Shinkansen,JR Pass,
Shin-Tosu Station - Futsukaichi Station,6:52,7:09,16 Menit,Kereta,JR Pass,
Futsukaichi Station - Nishitetsu-Futsukaichi Station,,,14 menit,Jalan Kaki,,
Nishitetsu-Futsukaichi Station - Dazaifu Station,7:33,7:39,6 Menit,Nishitetsu-Dazaifu Line Local Dazaifu,160 Yen,
Dazaifu Station - Dazaifu Tenman-gu,,,4 menit,Jalan Kaki,,
Dazaifu Tenman-gu,,11:00,3 jam,,,
Dazaifu Tenman-gu - Dazaifu Station,,,4 menit,Jalan Kaki,,
Dazaifu Station - Hakata Station,11:12,11:52,40 Menit,Bus,600 Yen,https://goo.gl/maps/D7vFBK8poGeBmycM9
Beli One Day Subway Pass,,,,,820 Yen,https://yokanavi.com/en/tourist-city-pass/
Hakata Subway Station - Ohorikoen Station,,,9 Menit,Subway,One Day Pass,
Ohorikoen Station - Maizuru Park,,,10 menit,Jalan Kaki,,
Maizuru Park,,,1 jam,,,
Maizuru Park - Ropponmatsu Station,,,11 menit,Jalan Kaki,,
Ropponmatsu Station - Chayama Station,,,3 menit,Subway,One day pass subway,
Chayama Station - Yusentei Park,,,±13 menit,Jalan kaki,,
Yusentei Park,,,1 jam,,,
Yusentei Park - Chayama Station,,,±13 menit,Jalan kaki,,
Chayama Station - Tenjin-minami Station,,,12 menit,Subway,One day pass subway,
Tenjin-minami Station - Tenjin Station,,,±9 menit,Jalan kaki,,
Tenjin Station - Chiyo-Kenchōguchi Station,,,5 menit,Subway,One day pass subway,
Chiyo-Kenchōguchi Station - Gyomu Super,,,±12 menit,Jalan kaki,,
Gyomu Supa,,,30 menit,,,
Gyomu Supa - Gofukumachi,,,±12 menit,Jalan kaki,,
Gofukumachi - Hakata Station,,,10 menit,Bus,100 Yen,
Hakata Station - Kumamoto Station,,,50 Menit,Shinkansen,JR Pass,Last Train 23:10
Kumamoto Station - Tokaigakuen-Mae Station ,,,±15 Menit,Kereta,JR Pass,

Saga Station - Saga Eki Bus Terminal,,,±1 menit,Jalan kaki,,
Saga Eki Bus Terminal - Kosoku Kanzaki,12:15,12:46,±31 menit,Fukuoka-Airport Limousine Bus,440,
Kosoku Kanzaki - Kunenan Mansion,,,±20 menit,Jalan kaki,,
Kunenan Mansion/Niiyama Jinja Shrine,,,2 Jam,,400 Yen,
Kunenan Mansion - Kosoku Kanzaki,,,±20 menit,Jalan kaki,,
Kosoku Kanzaki - Saga Eki Bus Terminal,,,±31 menit,Fukuoka-Airport Limousine Bus,440,
Saga Eki Bus Terminal - Saga Station,,,±1 menit,Jalan kaki,,
Saga Station - Yoshinogari-Kōen,,,±10 menit,JR Nagasaki Line Local Tosu,JR Pass,
Yoshinogari-Kōen - Yoshinogari Historical Park,,,±13 menit,,Jalan kaki,
Yoshinogari Historical Park,,,1 Jam,,,
Yoshinogari Historical Park - Yoshinogari-Kōen,,,±13 menit,,Jalan kaki,
Yoshinogari-Kōen - Shin-Tosu Station,,,±30 menit,Kereta,JR Pass,
Yoshinogari-Kōen - Hakata Station,,,±1 jam,Kereta,JR Pass,
