x,y,value
Desserts,Desserts,1.2
Italian,Italian,1.2
Latin American,Latin American,1.2
Delis,Delis,1.2
Food Court,Food Court,1.2
Hot Pot,Hot Pot,1.2
Cupcakes,Cupcakes,1.2
Patisserie/Cake Shop,Patisserie/Cake Shop,1.2
Mediterranean,Mediterranean,1.2
Taiwanese,Taiwanese,1.2
Bangladeshi,Bangladeshi,1.2
Shanghainese,Shanghainese,1.2
Persian/Iranian,Persian/Iranian,1.2
Pubs,Pubs,1.2
Food Delivery Services,Food Delivery Services,1.2
Fast Food,Fast Food,1.2
Piano Bars,Piano Bars,1.2
Spanish,Spanish,1.2
Salad,Salad,1.2
Turkish,Turkish,1.2
Cantonese,Cantonese,1.2
Egyptian,Egyptian,1.2
Thai,Thai,1.2
Soup,Soup,1.2
Beer Bar,Beer Bar,1.2
Meat Shops,Meat Shops,1.2
Specialty Food,Specialty Food,1.2
Gelato,Gelato,1.2
Brazilian,Brazilian,1.2
Indonesian,Indonesian,1.2
Cambodian,Cambodian,1.2
Vegetarian,Vegetarian,1.2
Breweries,Breweries,1.2
Sushi Bars,Sushi Bars,1.2
Cheese Shops,Cheese Shops,1.2
Laotian,Laotian,1.2
Cafes,Cafes,1.2
Pizza,Pizza,1.2
Cuban,Cuban,1.2
Arabian,Arabian,1.2
Caribbean,Caribbean,1.2
Falafel,Falafel,1.2
Ukrainian,Ukrainian,1.2
Live/Raw Food,Live/Raw Food,1.2
Middle Eastern,Middle Eastern,1.2
Dominican,Dominican,1.2
Ethnic Food,Ethnic Food,1.2
Filipino,Filipino,1.2
Shaved Ice,Shaved Ice,1.2
Wine Bars,Wine Bars,1.2
Vegetarian,Hot Pot,1
Live/Raw Food,Cafes,1
Fast Food,Italian,1
Salad,Specialty Food,1
Ethnic Food,Patisserie/Cake Shop,1
Falafel,Patisserie/Cake Shop,1
Cupcakes,Food Court,1
Salad,Vegetarian,1
Soup,Vegetarian,1
Live/Raw Food,Wine Bars,1
Fast Food,Cheese Shops,1
Meat Shops,Beer Bar,1
Cupcakes,Cafes,1
Falafel,Arabian,1
Mediterranean,Gelato,1
Desserts,Falafel,1
Mediterranean,Fast Food,1
Live/Raw Food,Hot Pot,1
Delis,Fast Food,1
Piano Bars,Desserts,1
Arabian,Meat Shops,1
Arabian,Hot Pot,1
Cafes,Delis,1
Turkish,Cupcakes,1
Food Delivery Services,Desserts,1
Falafel,Cheese Shops,1
Shaved Ice,Arabian,1
Cupcakes,Delis,1
Mediterranean,Italian,1
Gelato,Wine Bars,1
Cheese Shops,Ethnic Food,1
Cantonese,Cheese Shops,1
Pubs,Specialty Food,1
Cheese Shops,Persian/Iranian,1
Falafel,Delis,1
Meat Shops,Turkish,1
Pubs,Soup,1
Patisserie/Cake Shop,Hot Pot,1
Desserts,Piano Bars,1
Vegetarian,Piano Bars,1
Pizza,Desserts,1
Beer Bar,Italian,1
Pubs,Meat Shops,1
Cupcakes,Cantonese,1
Cafes,Italian,1
Persian/Iranian,Soup,1
Falafel,Meat Shops,1
Cafes,Specialty Food,1
Desserts,Pubs,1
Pizza,Specialty Food,1
Cafes,Patisserie/Cake Shop,1
Piano Bars,Hot Pot,1
Mediterranean,Wine Bars,1
Turkish,Wine Bars,1
Turkish,Live/Raw Food,1
Hot Pot,Cantonese,1
Piano Bars,Falafel,1
Vegetarian,Cantonese,1
Fast Food,Shaved Ice,1
Shaved Ice,Specialty Food,1
Hot Pot,Vegetarian,1
Cupcakes,Arabian,1
Live/Raw Food,Vegetarian,1
Wine Bars,Hot Pot,1
Desserts,Soup,1
Beer Bar,Food Court,1
Vegetarian,Soup,1
Beer Bar,Food Delivery Services,1
Cafes,Cantonese,1
Cafes,Wine Bars,1
Vegetarian,Pizza,1
Gelato,Hot Pot,1
Mediterranean,Cheese Shops,1
Cafes,Cupcakes,1
Patisserie/Cake Shop,Meat Shops,1
Gelato,Meat Shops,1
Turkish,Meat Shops,1
Soup,Desserts,1
Desserts,Meat Shops,1
Live/Raw Food,Cupcakes,1
Wine Bars,Pizza,1
Falafel,Salad,1
Pubs,Shaved Ice,1
Delis,Turkish,1
Gelato,Delis,1
Hot Pot,Food Court,1
Meat Shops,Soup,1
Delis,Cheese Shops,1
Vegetarian,Beer Bar,1
Vegetarian,Meat Shops,1
Gelato,Salad,1
Pizza,Falafel,1
Live/Raw Food,Falafel,1
Specialty Food,Italian,1
Specialty Food,Mediterranean,1
Delis,Vegetarian,1
Pubs,Cafes,1
Fast Food,Cafes,1
Desserts,Patisserie/Cake Shop,1
Beer Bar,Cantonese,1
Cantonese,Turkish,1
Gelato,Arabian,1
Mediterranean,Persian/Iranian,1
Italian,Fast Food,1
Cafes,Gelato,1
Vegetarian,Cheese Shops,1
Italian,Cupcakes,1
Vegetarian,Ethnic Food,1
Mediterranean,Piano Bars,1
Cupcakes,Falafel,1
Specialty Food,Hot Pot,1
Delis,Italian,1
Gelato,Shaved Ice,1
Piano Bars,Soup,1
