SECTOR_NAME,POSTED_TIME,day,month,year,,,,,,,,,,,,,,
Housing,16/1/2017 8:58,16,1,2017,,,,,,,,,,,,,,
Services,31/7/2017 4:05,31,7,2017,,,,,,,,,,,,,,
Education,28/9/2015 7:06,28,9,2015,,,,,,,,,,,,,,
Clothing,9/12/2013 4:47,9,12,2013,,,,,,,,,,,,,,
Agriculture,13/11/2017 7:28,13,11,2017,,,,,,,,,,,,,,
Food,9/12/2013 17:28,9,12,2013,,,,,,,,,,,,,,
Retail,6/5/2013 12:04,6,5,2013,,,,,,,,,,,,,,
Retail,10/7/2014 12:37,10,7,2014,,,,,,,,,,,,,,
Retail,20/6/2017 7:20,20,6,2017,,,,,,,,,,,,,,
Food,9/2/2016 6:30,9,2,2016,,,,,,,,,,,,,,
Services,22/6/2016 15:49,22,6,2016,,,,,,,,,,,,,,
Agriculture,26/2/2014 11:32,26,2,2014,,,,,,,,,,,,,,
Agriculture,18/6/2016 14:47,18,6,2016,,,,,,,,,,,,,,
Food,27/6/2014 7:36,27,6,2014,,,,,,,,,,,,,,
Education,30/6/2016 7:25,30,6,2016,,,,,,,,,,,,,,
Housing,25/11/2015 8:24,25,11,2015,,,,,,,,,,,,,,
Manufacturing,27/12/2013 11:56,27,12,2013,,,,,,,,,,,,,,
Transportation,7/2/2017 14:19,7,2,2017,,,,,,,,,,,,,,
Personal Use,30/8/2017 4:18,30,8,2017,,,,,,,,,,,,,,
Agriculture,21/1/2016 10:02,21,1,2016,,,,,,,,,,,,,,
Retail,23/8/2013 17:35,23,8,2013,,,,,,,,,,,,,,
Food,22/11/2017 20:44,22,11,2017,,,,,,,,,,,,,,
Food,10/11/2013 5:16,10,11,2013,,,,,,,,,,,,,,
Retail,25/8/2017 16:45,25,8,2017,,,,,,,,,,,,,,
Transportation,11/4/2016 7:11,11,4,2016,,,,,,,,,,,,,,
Food,1/9/2015 7:45,1,9,2015,,,,,,,,,,,,,,
Housing,4/11/2013 20:23,4,11,2013,,,,,,,,,,,,,,
Agriculture,16/2/2017 21:00,16,2,2017,,,,,,,,,,,,,,
Agriculture,22/1/2016 14:23,22,1,2016,,,,,,,,,,,,,,
Retail,6/9/2013 16:26,6,9,2013,,,,,,,,,,,,,,
Food,28/3/2016 20:54,28,3,2016,,,,,,,,,,,,,,
Food,17/3/2017 8:00,17,3,2017,,,,,,,,,,,,,,
Food,20/5/2013 9:00,20,5,2013,,,,,,,,,,,,,,
Agriculture,17/10/2016 15:38,17,10,2016,,,,,,,,,,,,,,
Retail,17/6/2014 7:35,17,6,2014,,,,,,,,,,,,,,
Retail,2/10/2015 3:43,2,10,2015,,,,,,,,,,,,,,
Agriculture,31/8/2016 0:37,31,8,2016,,,,,,,,,,,,,,
Agriculture,14/7/2016 8:48,14,7,2016,,,,,,,,,,,,,,
Services,25/4/2013 9:03,25,4,2013,,,,,,,,,,,,,,
Services,2/1/2015 14:42,2,1,2015,,,,,,,,,,,,,,
Retail,5/9/2016 7:24,5,9,2016,,,,,,,,,,,,,,
Retail,9/3/2016 2:30,9,3,2016,,,,,,,,,,,,,,
Retail,18/8/2016 7:30,18,8,2016,,,,,,,,,,,,,,
Personal Use,12/11/2015 7:45,12,11,2015,,,,,,,,,,,,,,
Agriculture,15/4/2013 5:23,15,4,2013,,,,,,,,,,,,,,
Agriculture,23/6/2017 11:08,23,6,2017,,,,,,,,,,,,,,
Retail,21/6/2016 3:32,21,6,2016,,,,,,,,,,,,,,
Agriculture,15/3/2013 10:00,15,3,2013,,,,,,,,,,,,,,
Agriculture,30/3/2016 15:00,30,3,2016,,,,,,,,,,,,,,
Health,9/11/2013 7:30,9,11,2013,,,,,,,,,,,,,,
Personal Use,25/12/2017 9:22,25,12,2017,,,,,,,,,,,,,,
Transportation,17/2/2016 6:49,17,2,2016,,,,,,,,,,,,,,
Food,22/10/2015 22:38,22,10,2015,,,,,,,,,,,,,,
Personal Use,9/1/2017 11:10,9,1,2017,,,,,,,,,,,,,,
Retail,29/6/2017 3:49,29,6,2017,,,,,,,,,,,,,,
Food,21/7/2014 10:10,21,7,2014,,,,,,,,,,,,,,
Agriculture,11/6/2015 2:22,11,6,2015,,,,,,,,,,,,,,
Food,28/5/2014 5:11,28,5,2014,,,,,,,,,,,,,,
Retail,9/8/2016 5:12,9,8,2016,,,,,,,,,,,,,,
Retail,19/5/2014 14:02,19,5,2014,,,,,,,,,,,,,,
Food,30/7/2015 9:34,30,7,2015,,,,,,,,,,,,,,
Food,23/9/2015 15:49,23,9,2015,,,,,,,,,,,,,,
Agriculture,10/11/2014 8:45,10,11,2014,,,,,,,,,,,,,,
Clothing,2/7/2015 20:44,2,7,2015,,,,,,,,,,,,,,
Food,9/2/2017 0:01,9,2,2017,,,,,,,,,,,,,,
Food,17/7/2014 18:05,17,7,2014,,,,,,,,,,,,,,
Housing,26/8/2014 20:10,26,8,2014,,,,,,,,,,,,,,
Retail,12/2/2013 9:46,12,2,2013,,,,,,,,,,,,,,
Retail,24/3/2017 1:59,24,3,2017,,,,,,,,,,,,,,
Agriculture,7/10/2014 5:36,7,10,2014,,,,,,,,,,,,,,
Education,27/6/2014 7:59,27,6,2014,,,,,,,,,,,,,,
Agriculture,7/6/2016 6:07,7,6,2016,,,,,,,,,,,,,,
Services,10/2/2014 11:33,10,2,2014,,,,,,,,,,,,,,
Services,17/1/2013 12:00,17,1,2013,,,,,,,,,,,,,,
Agriculture,26/11/2014 10:51,26,11,2014,,,,,,,,,,,,,,
Retail,31/7/2015 14:48,31,7,2015,,,,,,,,,,,,,,
Food,19/9/2017 8:44,19,9,2017,,,,,,,,,,,,,,
Education,29/1/2014 20:08,29,1,2014,,,,,,,,,,,,,,
Retail,18/11/2014 12:41,18,11,2014,,,,,,,,,,,,,,
Services,8/5/2017 10:17,8,5,2017,,,,,,,,,,,,,,
Agriculture,6/2/2013 11:41,6,2,2013,,,,,,,,,,,,,,
Agriculture,26/1/2017 11:19,26,1,2017,,,,,,,,,,,,,,
Retail,28/11/2016 5:57,28,11,2016,,,,,,,,,,,,,,
Food,1/7/2014 3:13,1,7,2014,,,,,,,,,,,,,,
Services,8/9/2014 12:13,8,9,2014,,,,,,,,,,,,,,
Services,26/5/2017 7:24,26,5,2017,,,,,,,,,,,,,,
Retail,6/11/2014 22:31,6,11,2014,,,,,,,,,,,,,,
Clothing,30/12/2015 11:59,30,12,2015,,,,,,,,,,,,,,
Food,25/4/2016 17:34,25,4,2016,,,,,,,,,,,,,,
Education,30/8/2014 2:25,30,8,2014,,,,,,,,,,,,,,
Food,12/6/2014 22:08,12,6,2014,,,,,,,,,,,,,,
Construction,25/4/2013 4:17,25,4,2013,,,,,,,,,,,,,,
Food,19/6/2014 9:50,19,6,2014,,,,,,,,,,,,,,
Agriculture,25/11/2014 14:38,25,11,2014,,,,,,,,,,,,,,
Services,20/12/2013 10:57,20,12,2013,,,,,,,,,,,,,,
Food,20/12/2016 3:06,20,12,2016,,,,,,,,,,,,,,
Personal Use,10/10/2013 21:08,10,10,2013,,,,,,,,,,,,,,
Personal Use,17/11/2017 2:55,17,11,2017,,,,,,,,,,,,,,
Services,5/6/2013 8:45,5,6,2013,,,,,,,,,,,,,,
Agriculture,16/10/2017 22:31,16,10,2017,,,,,,,,,,,,,,
Retail,25/6/2013 8:48,25,6,2013,,,,,,,,,,,,,,
Clothing,5/8/2014 20:20,5,8,2014,,,,,,,,,,,,,,
Retail,28/10/2015 14:39,28,10,2015,,,,,,,,,,,,,,
Agriculture,20/12/2017 7:15,20,12,2017,,,,,,,,,,,,,,
Agriculture,22/9/2016 11:30,22,9,2016,,,,,,,,,,,,,,
Retail,11/3/2017 1:26,11,3,2017,,,,,,,,,,,,,,
Agriculture,17/10/2016 11:39,17,10,2016,,,,,,,,,,,,,,
Agriculture,20/3/2017 23:04,20,3,2017,,,,,,,,,,,,,,
Agriculture,3/2/2015 5:44,3,2,2015,,,,,,,,,,,,,,
Food,30/3/2016 7:54,30,3,2016,,,,,,,,,,,,,,
Retail,15/2/2014 0:28,15,2,2014,,,,,,,,,,,,,,
Agriculture,16/6/2014 20:24,16,6,2014,,,,,,,,,,,,,,
Retail,5/11/2015 16:19,5,11,2015,,,,,,,,,,,,,,
Agriculture,18/6/2013 12:26,18,6,2013,,,,,,,,,,,,,,
Agriculture,24/11/2015 7:17,24,11,2015,,,,,,,,,,,,,,
Food,12/11/2015 7:44,12,11,2015,,,,,,,,,,,,,,
Food,20/2/2013 7:00,20,2,2013,,,,,,,,,,,,,,
Agriculture,28/2/2014 8:42,28,2,2014,,,,,,,,,,,,,,
Agriculture,14/7/2017 4:10,14,7,2017,,,,,,,,,,,,,,
Personal Use,9/1/2017 6:40,9,1,2017,,,,,,,,,,,,,,
Agriculture,7/10/2016 13:50,7,10,2016,,,,,,,,,,,,,,
Agriculture,14/12/2013 14:40,14,12,2013,,,,,,,,,,,,,,
Retail,2/4/2014 2:05,2,4,2014,,,,,,,,,,,,,,
Agriculture,19/9/2013 21:13,19,9,2013,,,,,,,,,,,,,,
Retail,20/10/2014 9:58,20,10,2014,,,,,,,,,,,,,,
Services,31/5/2013 6:50,31,5,2013,,,,,,,,,,,,,,
Agriculture,31/3/2017 5:09,31,3,2017,,,,,,,,,,,,,,
Manufacturing,22/10/2013 11:13,22,10,2013,,,,,,,,,,,,,,
Clothing,5/2/2015 0:59,5,2,2015,,,,,,,,,,,,,,
Retail,12/3/2014 10:09,12,3,2014,,,,,,,,,,,,,,
Agriculture,18/5/2013 17:42,18,5,2013,,,,,,,,,,,,,,
Clothing,28/12/2016 20:10,28,12,2016,,,,,,,,,,,,,,
Food,30/10/2017 7:25,30,10,2017,,,,,,,,,,,,,,
Personal Use,19/12/2017 3:26,19,12,2017,,,,,,,,,,,,,,
