Date,Manual Bikes,e-Bikes,Gross Value Added
01/10/2013,993234,14744,96447862
01/04/2015,978284,11049,126809350
01/01/2010,596461,,112910065
01/07/2016,745763,39169,61237204
01/01/2014,688177,7284,111250168
01/01/2016,529218,42364,120985418
01/10/2011,985975,,107130798
01/10/2016,719043,30230,89563770
01/10/2014,1095899,26705,102639760
01/10/2010,1154239,,116660659
01/07/2014,959767,21006,79630767
01/07/2011,941338,,62064086
01/07/2013,961435,7501,68076514
01/01/2011,536364,,133175165
01/01/2012,600722,8647,108924691
01/07/2015,1045568,38207,71286961
01/04/2016,774019,21392,101664534
01/04/2012,862344,5014,114089756
01/10/2015,878595,117320,113199810
01/10/2012,986445,18784,99784088
01/04/2013,833512,6826,114144141
01/07/2010,1150913,,69018068
01/01/2015,616069,8421,111057159
01/07/2012,1055922,6871,69511120
01/01/2013,588324,3914,122183507
01/04/2010,1008193,,136366634
01/04/2011,925835,,133560025
01/04/2014,887023,10647,114929714
