LOAN_AMOUNT,SECTOR_NAME,POSTED_TIME,day,month,year,,,,,,,,,,,,,,
1025,Housing,16/1/2017 8:58,16,1,2017,,,,,,,,,,,,,,
400,Services,31/7/2017 4:05,31,7,2017,,,,,,,,,,,,,,
575,Education,28/9/2015 7:06,28,9,2015,,,,,,,,,,,,,,
250,Clothing,9/12/2013 4:47,9,12,2013,,,,,,,,,,,,,,
200,Agriculture,13/11/2017 7:28,13,11,2017,,,,,,,,,,,,,,
450,Food,9/12/2013 17:28,9,12,2013,,,,,,,,,,,,,,
1875,Retail,6/5/2013 12:04,6,5,2013,,,,,,,,,,,,,,
2200,Retail,10/7/2014 12:37,10,7,2014,,,,,,,,,,,,,,
225,Retail,20/6/2017 7:20,20,6,2017,,,,,,,,,,,,,,
200,Food,9/2/2016 6:30,9,2,2016,,,,,,,,,,,,,,
150,Services,22/6/2016 15:49,22,6,2016,,,,,,,,,,,,,,
2675,Agriculture,26/2/2014 11:32,26,2,2014,,,,,,,,,,,,,,
675,Agriculture,18/6/2016 14:47,18,6,2016,,,,,,,,,,,,,,
250,Food,27/6/2014 7:36,27,6,2014,,,,,,,,,,,,,,
1400,Education,30/6/2016 7:25,30,6,2016,,,,,,,,,,,,,,
675,Housing,25/11/2015 8:24,25,11,2015,,,,,,,,,,,,,,
400,Manufacturing,27/12/2013 11:56,27,12,2013,,,,,,,,,,,,,,
1100,Transportation,7/2/2017 14:19,7,2,2017,,,,,,,,,,,,,,
125,Personal Use,30/8/2017 4:18,30,8,2017,,,,,,,,,,,,,,
225,Agriculture,21/1/2016 10:02,21,1,2016,,,,,,,,,,,,,,
775,Retail,23/8/2013 17:35,23,8,2013,,,,,,,,,,,,,,
500,Food,22/11/2017 20:44,22,11,2017,,,,,,,,,,,,,,
450,Food,10/11/2013 5:16,10,11,2013,,,,,,,,,,,,,,
3850,Retail,25/8/2017 16:45,25,8,2017,,,,,,,,,,,,,,
225,Transportation,11/4/2016 7:11,11,4,2016,,,,,,,,,,,,,,
400,Food,1/9/2015 7:45,1,9,2015,,,,,,,,,,,,,,
500,Housing,4/11/2013 20:23,4,11,2013,,,,,,,,,,,,,,
250,Agriculture,16/2/2017 21:00,16,2,2017,,,,,,,,,,,,,,
450,Agriculture,22/1/2016 14:23,22,1,2016,,,,,,,,,,,,,,
