Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,4785390,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Girls Like You (feat. Cardi B)","Maroon 5",3152633,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2929835,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"SICKO MODE","Travis Scott",2912470,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"Lucid Dreams","Juice WRLD",2904727,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"No Brainer","DJ Khaled",2866617,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
7,"Eastside (with Halsey & Khalid)","benny blanco",2824072,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"God is a woman","Ariana Grande",2793371,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
9,"In My Mind",Dynoro,2685118,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,breathin,"Ariana Grande",2645598,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
11,"I Like It","Cardi B",2591209,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Taste (feat. Offset)",Tyga,2425494,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,SAD!,XXXTENTACION,2292233,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
14,"Solo (feat. Demi Lovato)","Clean Bandit",2197044,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
15,"Vaina Loca",Ozuna,2175271,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
16,"Promises (with Sam Smith)","Calvin Harris",2163692,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
17,"Better Now","Post Malone",2113120,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,Rise,"Jonas Blue",2093447,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
19,"Jackie Chan",Tiësto,2067741,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
20,"Body (feat. brando)","Loud Luxury",2033751,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
21,Youngblood,"5 Seconds of Summer",2001585,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
22,Happier,Marshmello,1956658,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,"Te Boté - Remix","Nio Garcia",1916240,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
24,"Be Alright","Dean Lewis",1908105,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
25,"One Kiss (with Dua Lipa)","Calvin Harris",1840169,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
26,Moonlight,XXXTENTACION,1748287,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
27,Nonstop,Drake,1717279,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
28,"no tears left to cry","Ariana Grande",1683222,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
29,"Happy Now",Zedd,1666010,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
30,"Sin Pijama","Becky G",1587733,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
31,"God's Plan",Drake,1573272,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
32,"Beautiful (feat. Camila Cabello)",Bazzi,1561359,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
33,"No Es Justo","J Balvin",1486908,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
34,STARGAZING,"Travis Scott",1482470,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
35,"rockstar (feat. 21 Savage)","Post Malone",1367638,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
36,"Jocelyn Flores",XXXTENTACION,1367158,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
37,Shotgun,"George Ezra",1362965,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
38,2002,Anne-Marie,1352187,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
39,"Psycho (feat. Ty Dolla $ign)","Post Malone",1297247,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
40,Nevermind,"Dennis Lloyd",1294591,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
41,changes,XXXTENTACION,1277565,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
42,Clandestino,Shakira,1252895,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
43,"Nice For What",Drake,1203430,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
44,"Praise The Lord (Da Shine)","A$AP Rocky",1192694,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
45,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1143264,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
46,"Born To Be Yours",Kygo,1139778,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
47,everytime,"Ariana Grande",1138616,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
48,IDOL,BTS,1116046,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
49,"Ocean (feat. Khalid)","Martin Garrix",1115789,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
50,"Shape of You","Ed Sheeran",1088117,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
51,"I'm a Mess","Bebe Rexha",1058137,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
52,"High Hopes","Panic! At The Disco",1054310,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
53,"Yes Indeed","Lil Baby",1044131,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
54,Natural,"Imagine Dragons",1043447,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
55,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1034357,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
56,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1007641,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
57,Unica,Ozuna,962622,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
58,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",958959,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
59,SWISH,Tyga,956967,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
60,Havana,"Camila Cabello",938904,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
61,sweetener,"Ariana Grande",927012,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
