Account,Owner,City,State,Product,Product Family,Stage,Pipeline Amount,Source,Contract Amount,Stage Date/Close Date,Close Month,Close Quarter
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,8386,Referral,,4/7/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,104729,Referral,,3/3/16,3,1
Gleason LLC,J. Coltrane,Salt Lake City,UT,Laptop-13,Laptop,2-Needs Analysis,198843,Referral,,6/19/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,444960,Web,,3/25/16,3,1
Gleason LLC,J. Coltrane,Washington,DC,Laptop-17,Laptop,2-Needs Analysis,360883,Partner,,4/13/16,4,2
Gleason LLC,J. Coltrane,Philadelphia,PA,Laptop-15,Laptop,1-Prospect,283669,Web,,8/17/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,289323,Referral,,4/20/16,4,2
Gleason LLC,J. Coltrane,Riverside,CA,Laptop-17,Laptop,1-Prospect,373214,Advertisement,,9/20/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,343538,Trade Show,,7/18/16,7,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,144043,Web,,12/1/16,12,4
Gleason LLC,J. Coltrane,Huntington,WV,Laptop-15,Laptop,2-Needs Analysis,131252,Partner,,4/18/16,4,2
Zieme Inc,D. Gillespie,Portland,OR,Laptop-17,Laptop,1-Prospect,97583,Web,,9/4/16,9,3
Gleason LLC,J. Coltrane,Fredericksburg,VA,Laptop-17,Laptop,1-Prospect,27845,Partner,,10/28/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,99407,Trade Show,,5/4/16,5,2
