channel_title,trending_count,views,subscribers,classification
12 News,1,85643,2710.0,Traditional Media
1MILLION Dance Studio,4,433369,8528852.0,Commercial
20th Century Fox,17,2857190,2453494.0,Movie Trailer
2CELLOS,1,205869,3073400.0,Music
3Blue1Brown,3,254965,789986.0,Youtuber
3D Printing Nerd,2,44170,183465.0,Youtuber
42Fab - Metalworking and Multi-Medium Fabrication,1,17812,3311.0,Conventional Viral
494ta,1,637942,115.0,Conventional Viral
5-Minute Crafts,3,3907731,14960134.0,Traditional Media
52 Skillz,1,29469,30616.0,Youtuber
5FDPVEVO,2,405799,1358269.0,Music
5MadMovieMakers,2,330721,247252.0,Youtuber
5SOSVEVO,3,604619,3969847.0,Music
60 Minutes,2,99118,140963.0,Traditional Media
730 WVFN,1,6064,326.0,Conventional Viral
9-1-1 on FOX,1,1172,8871.0,Traditional Media
90s Commercials,1,773,1752.0,Youtuber
A Chick Called Albert,1,1481728,659954.0,Youtuber
A24,5,388904,189346.0,Movie Trailer
ABC Action News,3,633042,150769.0,Traditional Media
ABC News,22,179591,3346641.0,Traditional Media
ABC Television Network,4,1075313,0.0,Traditional Media
ABC7,1,299090,10445.0,Traditional Media
AFP news agency,1,3634,203158.0,Traditional Media
AIA awards,1,66888,13062.0,Commercial
ALL URBAN CENTRAL,1,481171,521624.0,Traditional Media
ANDREW HUANG,5,161815,1267765.0,Youtuber
ASMR Darling,1,555758,1473338.0,Youtuber
AT&T,1,130858,181136.0,Commercial
ATPWorldTour,1,33042,3311.0,Traditional Media
AaronsAnimals,5,238577,387118.0,Youtuber
Abhishek Singh,1,199488,3359.0,Conventional Viral
Abroad in Japan,2,127351,770495.0,Youtuber
Absolut,1,586498,0.0,Commercial
Access,2,511901,156448.0,Traditional Media
Access Hollywood,4,53699,156448.0,Traditional Media
Adam Neely,1,208289,386201.0,Youtuber
Adam Smith,1,1697125,2358.0,Conventional Viral
Adam Whitley,1,943,72.0,Traditional Media
Adam's Apple,1,201784,915.0,Conventional Viral
AdelaineMorin,2,421268,2336919.0,Youtuber
Adult Swim,1,1980168,2778467.0,Traditional Media
Adult Swim UK,1,23468,439014.0,Traditional Media
Aerie,1,5144,14652.0,Commercial
AirPano,1,44813,36463.0,Youtuber
Al Jazeera English,5,21358,1957681.0,Traditional Media
Alabama Crimson Tide on AL.com,1,315661,34435.0,Traditional Media
Alan Walker,6,602879,12672164.0,Music
Alec Steele,1,159742,734669.0,Youtuber
Alesso,1,373301,780937.0,Music
Alex Aiono,1,177486,5554364.0,Music
Alex Gilbert,1,193082,2312.0,Youtuber
