Title, ID, Date
You're Welcome, qI3E11_Im7k, 12-28-16
ODESZA - All We Need, Oi4Cf6lkDr4, 12-15-2016
ODESZA - Say My Name, HdzI-191xhU, 12-8-2016
BØRNS - Past Lives, Cux2qJjApGA, 3-15-2016
BØRNS - The Emotion, z_CfRxf3kPI, 3-15-2016
Jon Bellion - The Good In Me, UP4Q81jxEfs, 12-22-2016
MIKA - Blame It On The Girls, iF_w7oaBHNo, 12-23-2016
The Paper Kites - Bloom, 8inJtTG_DuU, 12-22-2016
The Naked And Famous - Punching In A Dream, kC29pd_5sQU, 12-15-2016
John Newman - Love Me Again, CfihYWRWRTQ, 9-28-2016
Five for Fighting - The Riddle, 4BtqElO1OX4, 12-15-2016
Sylvan Esso - Coffee, Qr5AIKRPIHo, 12-13-2016
Sylvan Esso - Dress, 1e_t_1vPhTY, 12-12-2016
Norah Jones - Sunrise, fd02pGJx0s0, 11-10-2016
Calum Scott - Dancing On My Own, q31tGyBJhRY, 11-10-2016
Christine and the Queens - Tilted (Paradis Remix), 8OAN_P5-Tz0, 12-12-2016
Guster - Center of Attention, 1zbKXKB77ks, 12-13-2016
KEANE - Walnut Tree, THzJsylwOL8, 12-12-2016
Keane - Nothing In My Way, y5l-GSDo72c, 12-12-2016
Saint Motel - Cold Cold Man, MaUXpJ8Hvj8, 12-13-2016
Chairlift - I Belong In Your Arms, j_aTOyFRwJ0, 12-13-2016
Marina and the Diamonds - Blue, gDr7aTfBffU, 12-12-2016
Penguin Prison - Show Me The Way, LSnGm_DCw6U, 12-12-2016
Death Cab for Cutie - Grapevine Fires, gQEi6HU3E0M, 10-21-2016
Death Cab For Cutie - Marching Bands Of Manhattan, be2LvYXOcSI, 10-21-2016
Bag Raiders - Shooting Stars, KVyxS_myebw, 10-29-2016
Good Old War - Amazing Eyes, TmvYexqzrSc, 10-21-2016
BROADHURST - Little Lover, Bc1wxOzruWk, 11-10-2016
Angus and Julia Stone - Big Jet Plane, yFTvbcNhEgc, 12-7-2016
Ingrid Michaelson - You and I, XdEN1b-dwlw, 11-5-2016
Alex Da Kid - Not Easy, U-e90ELRnnQ, 11-21-2016
Bastille - Fake It, GIwyqsqHsic, 10-8-2016
Calvin Harris - This Is What You Came For PEN TAPPING Cover, EZgTo1kKSsg, 10-27-2016
Ember - Cold Water, sDg23LlCNjM, 10-2-2016
Calvin Harris & Disciples - How Deep Is Your Love, qWWSM3wCiKY, 11-13-2016
A Great Big World - Hold Each Other, hx5P6WJLxHw, 11-13-2016
Good Old War - Calling Me Names, rfUYPKkB5Mc, 11-4-2016
Ben Folds - Jesusland, 7F5-UdF-dXE, 4-27-2015
