Department,Course,Humanities,Humanities (performance),Social Science,Diversity
American Sign Language,121,true,false,false,false
American Sign Language,122,true,false,false,false
American Sign Language,123,true,false,false,false
American Sign Language,221,true,false,false,false
American Sign Language,222,true,false,false,false
American Sign Language,223,true,false,false,false
Anthropology,100,false,false,true,true
Anthropology,104,false,false,false,true
Anthropology,106,false,false,false,true
Anthropology,108,false,false,true,true
Anthropology,117,false,false,false,true
Anthropology,180,false,false,true,true
Anthropology,200,false,false,false,true
Anthropology,204,false,false,true,false
Anthropology,206,false,false,true,true
Anthropology,208,true,false,true,true
Anthropology,209,false,false,false,true
Anthropology,210,false,false,false,true
Anthropology,211,false,false,false,true
Anthropology,212,false,false,false,true
Anthropology,214,false,false,false,true
Anthropology,219,false,false,true,true
Anthropology,220,false,false,true,true
Anthropology,222,false,false,true,true
Anthropology,224,false,false,true,true
Anthropology,230,false,false,true,false
Anthropology,232,false,false,true,false
Anthropology,234,false,false,true,false
Anthropology,235,false,false,true,true
Anthropology,236,false,false,true,false
Anthropology,260,false,false,false,true
Anthropology,265,false,false,false,true
Arabic,121,true,false,false,false
Arabic,122,true,false,false,false
Arabic,123,true,false,false,false
Art,101,true,false,false,false
Art,103,true,false,false,true
Art,105,true,false,false,false
Art,110,false,true,false,false
Art,111,false,true,false,false
Art,112,false,true,false,false
Art,120,false,true,false,false
Art,121,false,true,false,false
Art,150,false,true,false,false
Art,151,false,true,false,false
Art,153,false,true,false,false
Art,154,false,true,false,false
Art,201,true,false,false,false
Art,202,true,false,false,false
Art,203,true,false,false,false
Art,205,true,false,false,false
Art,206,true,false,false,false
Art,221,false,true,false,false
Art,222,false,true,false,false
Art,225,true,false,false,false
Art,230,false,true,false,false
Art,235,false,true,false,false
Art,240,false,true,false,false
Art,242,false,true,false,false
Art,245,false,true,false,false
Art,247,false,true,false,false
Art,253,false,true,false,false
Art,254,false,true,false,false
Art,256,false,true,false,false
Art,260,false,true,false,false
Art,261,false,true,false,false
Art,280,false,true,false,false
Art,281,false,true,false,false
Business,101,false,false,true,false
Chinese,121,true,false,false,false
Chinese,122,true,false,false,false
Chinese,123,true,false,false,false
Chinese,221,true,false,false,false
Chinese,222,true,false,false,false
Chinese,223,true,false,false,false
Communication Studies,101,true,false,false,false
Communication Studies,102,false,false,true,false
Communication Studies,105,true,false,false,false
Communication Studies,106,true,false,false,false
Communication Studies,107,true,false,false,false
Communication Studies,115,true,false,false,false
Communication Studies,119,true,false,false,false
Communication Studies,120,true,false,false,false
Communication Studies,121,true,false,false,false
Communication Studies,131,true,false,false,false
Communication Studies,132,true,false,false,false
Communication Studies,133,true,false,false,false
Communication Studies,134,true,false,false,true
Communication Studies,136,true,false,false,false
Communication Studies,138,true,false,false,false
Communication Studies,141,true,false,false,false
Communication Studies,143,true,false,false,false
Communication Studies,144,true,false,false,false
Communication Studies,145,true,false,false,false
Communication Studies,146,true,false,false,false
Communication Studies,151,true,false,false,false
Communication Studies,161,true,false,false,false
Communication Studies,163,true,false,false,false
Communication Studies,202,true,false,false,false
Communication Studies,210,true,false,false,false
Communication Studies,216,true,false,false,false
Communication Studies,220,true,false,false,false
Communication Studies,230,false,false,true,false
Communication Studies,241,true,false,false,false
Communication Studies,250,true,false,false,true
Communication Studies,260,true,false,false,false
Communication Studies,261,true,false,false,false
Communication Studies,280,true,false,false,true
Communication Studies,285,true,false,false,false
Cultural & Ethnic Studies,100,true,false,true,true
Cultural & Ethnic Studies,101,true,false,true,true
Cultural & Ethnic Studies,102,true,false,true,false
Cultural & Ethnic Studies,103,true,false,false,false
Cultural & Ethnic Studies,104,true,false,true,false
Cultural & Ethnic Studies,106,false,false,true,true
Cultural & Ethnic Studies,109,false,false,true,true
Cultural & Ethnic Studies,115,true,false,true,false
Cultural & Ethnic Studies,120,true,false,true,true
Cultural & Ethnic Studies,121,true,false,true,true
Cultural & Ethnic Studies,130,true,false,true,true
Cultural & Ethnic Studies,140,true,false,true,true
Cultural & Ethnic Studies,152,true,false,true,true
Cultural & Ethnic Studies,160,true,false,true,false
Cultural & Ethnic Studies,170,false,false,true,false
Cultural & Ethnic Studies,180,true,false,true,true
Cultural & Ethnic Studies,200,true,false,true,true
Cultural & Ethnic Studies,201,false,false,true,true
Cultural & Ethnic Studies,203,false,false,true,true
Cultural & Ethnic Studies,205,false,false,true,true
Cultural & Ethnic Studies,210,true,false,true,true
